isi,block,trial,isi_ms,isi_frames,theta,log_cnt,resp,rt,stim_duration,blank_duration,cnt,correct
33,1,1,640,64,-45,-1.8546873026985,-1,0.546695,0.0482276000002457,0.645238199999767,0.0139737412527265,1
6,1,2,100,10,45,-1.8546873026985,1,0.655470899999727,0.0456859000000804,0.0989885999997568,0.0139737412527265,1
47,1,3,920,92,-45,-1.8546873026985,-1,0.426720500000101,0.0455941000000166,0.919261800000186,0.0139737412527265,1
32,1,4,620,62,45,-1.8546873026985,1,0.539590100000169,0.0426210000000538,0.617361099999926,0.0139737412527265,1
23,1,5,440,44,45,-1.8546873026985,1,0.553551399999833,0.0473550000001524,0.438402799999949,0.0139737412527265,1
30,1,6,580,58,45,-1.8546873026985,1,0.427126899999621,0.0485152000001108,0.579913000000033,0.0139737412527265,1
35,1,7,680,68,-45,-1.8546873026985,-1,0.69945800000005,0.0463738999997076,0.677684200000385,0.0139737412527265,1
42,1,8,820,82,-45,-1.8546873026985,-1,0.594481600000108,0.0443589999999858,0.816780000000108,0.0139737412527265,1
24,1,9,460,46,45,-1.8546873026985,1,0.794283700000051,0.0425936000001457,0.458700099999987,0.0139737412527265,1
35,1,10,680,68,-45,-1.8546873026985,-1,1.47713590000012,0.0496923999999126,0.680741300000136,0.0139737412527265,1
51,1,11,1000,100,-45,-1.8546873026985,-1,0.570564300000115,0.0470500000001266,0.998380099999849,0.0139737412527265,1
51,1,12,1000,100,-45,-1.8546873026985,-1,0.575508200000058,0.0434825000002093,0.996922599999834,0.0139737412527265,1
19,1,13,360,36,-45,-1.8546873026985,-1,0.623106000000007,0.0437137999997503,0.357091200000013,0.0139737412527265,1
41,1,14,800,80,45,-1.8546873026985,-1,0.697298500000215,0.0417018000002827,0.796746499999699,0.0139737412527265,0
15,1,15,280,28,45,-1.8546873026985,1,0.591114400000151,0.0440465000001495,0.276764299999741,0.0139737412527265,1
45,1,16,880,88,45,-1.8546873026985,1,0.555443799999921,0.0403391999998348,0.876594000000296,0.0139737412527265,1
39,1,17,760,76,45,-1.8546873026985,1,3.65519669999958,0.048592699999972,0.760204599999724,0.0139737412527265,1
