ID,block,theta,prev_resp,resp,correct,isi_ms
1,1,-1,0,0,1,640
1,1,-1,0,0,1,920
1,1,1,-1,1,1,620
1,1,1,1,1,1,440
1,1,1,1,1,1,580
1,1,-1,1,0,1,680
1,1,-1,-1,0,1,820
1,1,1,-1,1,1,460
1,1,-1,1,0,1,680
1,1,-1,-1,0,1,1000
1,1,-1,-1,0,1,1000
1,1,-1,-1,0,1,360
1,1,1,-1,0,0,800
1,1,1,-1,1,1,280
1,1,1,1,1,1,880
1,1,1,1,1,1,760
1,1,-1,0,1,0,240
1,1,1,1,1,1,300
1,1,1,0,1,1,600
1,1,-1,1,0,1,980
1,1,1,-1,1,1,460
1,1,1,1,1,1,540
1,1,1,1,1,1,560
1,1,-1,0,1,0,460
1,1,1,1,1,1,780
1,1,-1,0,0,1,820
1,1,-1,-1,1,0,220
1,1,1,1,1,1,580
1,1,-1,1,0,1,340
1,1,1,-1,1,1,1000
1,1,-1,1,0,1,340
1,1,1,-1,1,1,240
1,1,-1,1,0,1,660
1,1,-1,-1,0,1,600
1,1,1,0,1,1,960
1,1,-1,1,0,1,300
1,1,-1,-1,0,1,420
1,1,1,0,1,1,740
1,1,-1,1,0,1,400
1,1,1,0,1,1,660
1,1,1,0,1,1,240
1,1,1,1,1,1,680
1,1,1,1,0,0,700
1,1,-1,0,1,0,660
1,1,-1,1,1,0,400
1,1,-1,1,0,1,400
1,1,1,-1,1,1,320
1,1,1,1,1,1,860
1,1,1,1,1,1,260
1,1,-1,1,1,0,640
1,1,1,1,1,1,720
1,1,1,0,0,0,440
1,1,1,-1,1,1,380
1,1,-1,1,0,1,900
1,1,1,-1,1,1,840
1,1,1,0,1,1,340
1,1,-1,1,0,1,860
1,1,1,-1,1,1,920
1,1,1,1,1,1,940
1,1,-1,0,0,1,960
1,1,1,-1,1,1,380
1,1,-1,1,0,1,760
1,1,-1,0,0,1,640
1,1,-1,-1,0,1,560
1,1,-1,-1,1,0,700
1,1,-1,1,0,1,200
1,1,1,-1,1,1,540
1,1,-1,1,0,1,620
1,1,1,-1,1,1,840
1,1,-1,1,0,1,500
1,1,1,-1,1,1,720
1,1,-1,1,0,1,300
1,1,-1,0,1,0,880
1,1,-1,1,1,0,380
1,1,1,1,1,1,440
1,1,-1,0,0,1,860
1,1,1,-1,1,1,520
1,1,1,1,1,1,900
1,1,1,1,1,1,260
1,1,1,1,1,1,540
1,1,-1,1,0,1,500
1,1,1,-1,1,1,880
1,1,1,1,1,1,800
1,1,1,1,1,1,200
1,1,1,0,1,1,320
1,1,1,1,1,1,840
1,1,-1,0,1,0,220
1,1,1,1,0,0,600
1,1,1,-1,1,1,700
1,1,1,1,0,0,520
1,1,-1,-1,1,0,560
1,1,-1,1,1,0,920
1,1,1,1,1,1,500
1,1,-1,1,0,1,280
1,1,1,0,1,1,980
1,1,1,1,0,0,360
1,1,1,-1,0,0,780
1,1,1,-1,1,1,620
1,1,1,1,1,1,580
1,1,1,0,1,1,940
1,1,-1,1,0,1,900
1,1,1,-1,1,1,420
1,1,-1,1,1,0,360
1,1,-1,1,0,1,480
1,1,-1,-1,1,0,960
1,1,-1,1,0,1,480
1,1,1,0,1,1,940
1,1,1,1,1,1,760
1,1,-1,1,0,1,420
1,1,1,-1,0,0,480
1,1,-1,-1,1,0,320
1,1,1,0,1,1,520
1,1,-1,1,0,1,820
1,1,1,0,1,1,200
1,1,-1,1,1,0,780
1,1,1,1,1,1,800
1,1,1,1,1,1,740
1,1,1,1,1,1,280
1,1,-1,1,0,1,720
1,1,-1,-1,0,1,980
1,1,1,-1,1,1,260
