block,resp,theta,previous,contrast,state,stim*contrast,ID,correct,trial,previous_congruent,stim*contrast_congruent,Gl_Prob_State_ext,Gl_Prob_State_int,State
1,0,1,0,0.02,1,0.02,1,0,1,0,0,0.9999348265293829,6.517347018065333e-05,2
1,1,1,1,0.01,1,0.01,1,1,2,1,1,0.9516273890601831,0.04837261094070513,2
1,0,-1,-1,0.02,1,-0.02,1,1,3,1,1,0.8793316411789599,0.1206683588217612,2
1,1,-1,1,0.02,1,-0.02,1,0,4,1,0,0.754353405677868,0.24564659432301716,2
1,0,-1,-1,0.01,1,-0.01,1,1,5,1,1,0.5162470123762141,0.4837529876232679,2
1,0,1,1,0.1,1,0.1,1,0,6,0,0,0.07046945873644701,0.9295305412643031,1
1,0,-1,1,0.05,1,-0.05,1,1,7,0,1,0.015155140020754772,0.9848448599797642,1
1,1,1,-1,0.1,1,0.1,1,1,8,0,1,0.005762338918336046,0.9942376610816714,1
1,1,1,-1,0.05,1,0.05,1,1,9,0,1,0.005224131825806533,0.9947758681736419,1
1,0,1,1,0.1,1,0.1,1,0,10,0,0,0.014569773762006306,0.9854302262381655,1
1,1,-1,1,0.02,1,-0.02,1,0,11,1,0,0.09612510461867191,0.9038748953804691,1
1,0,-1,-1,0.05,1,-0.05,1,1,12,1,1,0.1114374957362975,0.8885625042642973,1
1,0,-1,1,0.02,1,-0.02,1,1,13,0,1,0.07345832107935,0.926541678921398,1
1,0,-1,1,0.01,1,-0.01,1,1,14,0,1,0.1285124329584023,0.8714875670411216,1
1,1,-1,1,0.05,2,-0.05,1,0,15,1,0,0.5191137577423164,0.48088624225845505,2
1,1,1,1,0.1,2,0.1,1,1,16,1,1,0.7100549484932545,0.2899450515074986,2
1,1,1,1,0.05,2,0.05,1,1,17,1,1,0.8259741038858064,0.17402589611336708,2
1,1,-1,1,0.01,2,-0.01,1,0,18,1,0,0.8921728489407355,0.10782715105845833,2
1,0,1,-1,0.02,2,0.02,1,0,19,1,0,0.9253417351955072,0.07465826480521316,2
1,1,1,1,0.05,2,0.05,1,1,20,1,1,0.9383675931140679,0.0616324068854351,2
1,0,-1,-1,0.1,2,-0.1,1,1,21,1,1,0.9428255728743523,0.057174427126401195,2
1,0,-1,-1,0.1,2,-0.1,1,1,22,1,1,0.9427747117566626,0.05722528824279077,2
1,1,1,1,0.01,2,0.01,1,1,23,1,1,0.9382006915770215,0.06179930842334974,2
1,0,-1,-1,0.1,2,-0.1,1,1,24,1,1,0.9220866847785674,0.07791331522126939,2
1,0,1,-1,0.05,2,0.05,1,0,25,1,0,0.8951239102841392,0.10487608971669307,2
1,1,1,1,0.02,2,0.02,1,1,26,1,1,0.8315960889104272,0.16840391108924666,2
1,1,1,1,0.1,2,0.1,1,1,27,1,1,0.7147478227814765,0.28525217721785207,2
1,0,-1,1,0.02,2,-0.02,1,1,28,0,1,0.5228202444041656,0.47717975559662884,2
1,1,-1,1,0.02,2,-0.02,1,0,29,1,0,0.5681716534379546,0.43182834656252433,2
1,1,1,1,0.05,2,0.05,1,1,30,1,1,0.5502344007472507,0.44976559925249376,2
1,1,-1,-1,0.1,1,-0.1,1,0,31,0,0,0.47337952298486147,0.5266204770160385,1
1,1,1,1,0.02,2,0.02,1,1,32,1,1,0.6802807906372753,0.31971920936228176,2
1,1,1,1,0.1,2,0.1,1,1,33,1,1,0.7902592482161287,0.20974075178316812,2
1,1,-1,1,0.02,2,-0.02,1,0,34,1,0,0.855504647252346,0.14449535274810954,2
1,1,-1,1,0.05,2,-0.05,1,0,35,1,0,0.8817515455832867,0.11824845441593008,2
1,1,1,1,0.05,2,0.05,1,1,36,1,1,0.8779906207836837,0.12200937921666676,2
1,0,-1,-1,0.02,2,-0.02,1,1,37,1,1,0.852943935652768,0.14705606434724577,2
1,0,-1,-1,0.01,2,-0.01,1,1,38,1,1,0.7931305805885455,0.2068694194111901,2
1,0,-1,1,0.02,2,-0.02,1,1,39,0,1,0.6726827740724786,0.32731722592756074,2
1,0,1,-1,0.01,2,0.01,1,0,40,1,0,0.7601055597869565,0.23989444021234374,2
1,0,-1,-1,0.05,2,-0.05,1,1,41,1,1,0.7916092954561407,0.20839070454370848,2
1,0,-1,-1,0.02,2,-0.02,1,1,42,1,1,0.7884216607159121,0.21157833928366274,2
1,0,1,-1,0.05,2,0.05,1,0,43,1,0,0.7455332644282356,0.2544667355717124,2
1,1,-1,1,0.05,2,-0.05,1,0,44,1,0,0.6315585271413745,0.36844147285817336,2
1,0,1,1,0.1,2,0.1,1,0,45,0,0,0.3895884381467704,0.6104115618538208,1
1,0,-1,-1,0.05,2,-0.05,1,1,46,1,1,0.4341436830526683,0.565856316947686,1
1,1,-1,1,0.05,1,-0.05,1,0,47,1,0,0.41847839894325645,0.581521601057169,1
1,0,1,-1,0.1,1,0.1,1,0,48,1,0,0.3202523568456888,0.6797476431539501,1
1,1,1,-1,0.1,1,0.1,1,1,49,0,1,0.06597031283839112,0.934029687162496,1
1,1,-1,-1,0.01,1,-0.01,1,0,50,0,0,0.019325978880776026,0.9806740211185064,1
1,1,1,-1,0.1,1,0.1,1,1,51,0,1,0.023616892226622003,0.9763831077726008,1
1,0,1,-1,0.02,1,0.02,1,0,52,1,0,0.07886131961194404,0.9211386803882368,1
1,0,1,-1,0.02,1,0.02,1,0,53,1,0,0.07603477045478102,0.9239652295443453,1
1,1,1,-1,0.02,1,0.02,1,1,54,0,1,0.013805160271199832,0.9861948397292812,1
1,0,-1,1,0.02,1,-0.02,1,1,55,0,1,0.004367488209625544,0.995632511791083,1
1,0,1,1,0.01,1,0.01,1,0,56,0,0,0.002721484404032103,0.9972785155956254,1
1,1,1,-1,0.05,1,0.05,1,1,57,0,1,0.002944488377058997,0.9970555116237746,1
1,1,1,-1,0.01,1,0.01,1,1,58,0,1,0.004789051472815071,0.9952109485276281,1
1,0,1,1,0.05,1,0.05,1,0,59,0,0,0.018636196423841712,0.9813638035752625,1
1,0,-1,-1,0.1,1,-0.1,1,1,60,1,1,0.11853954169481375,0.8814604583043606,1
1,1,1,1,0.02,1,0.02,1,1,61,1,1,0.15600220960246616,0.8439977903980211,1
1,0,-1,-1,0.02,1,-0.02,1,1,62,1,1,0.13464684986845316,0.865353150131878,1
1,1,-1,-1,0.02,1,-0.02,1,0,63,0,0,0.04497629695719932,0.9550237030435071,1
1,1,-1,-1,0.05,1,-0.05,1,0,64,0,0,0.051957690354763116,0.9480423096459224,1
1,0,-1,-1,0.05,1,-0.05,1,1,65,1,1,0.20355721319396414,0.7964427868064101,1
1,1,-1,1,0.05,1,-0.05,1,0,66,1,0,0.26863478622369497,0.7313652137759163,1
1,0,-1,1,0.05,1,-0.05,1,1,67,0,1,0.2584292363537475,0.7415707636462935,1
1,0,-1,-1,0.05,1,-0.05,1,1,68,1,1,0.45824470945320706,0.5417552905460009,1
1,0,1,-1,0.05,1,0.05,1,0,69,1,0,0.5582472178976873,0.44175278210256663,2
1,0,1,-1,0.01,1,0.01,1,0,70,1,0,0.5785065768879978,0.42149342311152604,2
1,0,-1,1,0.02,1,-0.02,1,1,71,0,1,0.5363716220098173,0.4636283779909586,2
1,1,1,1,0.1,2,0.1,1,1,72,1,1,0.7350171612264182,0.264982838773089,2
1,1,-1,1,0.1,2,-0.1,1,0,73,1,0,0.857529667559377,0.14247033243980362,2
1,0,1,-1,0.01,2,0.01,1,0,74,1,0,0.9117880807941581,0.08821191920622605,2
1,0,-1,-1,0.05,2,-0.05,1,1,75,1,1,0.9387958817757021,0.061204118224946896,2
1,0,1,-1,0.01,2,0.01,1,0,76,1,0,0.9548533525546729,0.04514664744506944,2
1,0,-1,-1,0.1,2,-0.1,1,1,77,1,1,0.9620409988393249,0.0379590011614941,2
1,1,-1,1,0.1,2,-0.1,1,0,78,1,0,0.9694219957758116,0.030578004223328275,2
1,1,1,1,0.01,2,0.01,1,1,79,1,1,0.9695998074460671,0.030400192553995627,2
1,1,1,1,0.05,2,0.05,1,1,80,1,1,0.9687070296431155,0.031292970356815386,2
1,1,1,1,0.02,2,0.02,1,1,81,1,1,0.9683818534369263,0.03161814656283749,2
1,1,1,1,0.01,2,0.01,1,1,82,1,1,0.9670301100209137,0.03296988997981991,2
1,1,1,1,0.01,2,0.01,1,1,83,1,1,0.9636068298329544,0.03639317016641924,2
1,1,1,1,0.01,2,0.01,1,1,84,1,1,0.9567456623794319,0.043254337621213286,2
1,1,-1,1,0.1,2,-0.1,1,0,85,1,0,0.943708076463015,0.056291923536199634,2
1,1,1,1,0.01,2,0.01,1,1,86,1,1,0.9096208065035092,0.09037919349732913,2
1,1,-1,1,0.05,2,-0.05,1,0,87,1,0,0.8484965597041658,0.15150344029650506,2
1,0,-1,-1,0.02,2,-0.02,1,1,88,1,1,0.7236995131071753,0.27630048689223136,2
1,1,1,-1,0.02,1,0.02,1,1,89,0,1,0.493567471423847,0.5064325285760348,1
1,0,-1,-1,0.01,1,-0.01,1,1,90,1,1,0.5275566585199741,0.47244334147966616,2
1,1,1,-1,0.05,1,0.05,1,1,91,0,1,0.4995946958942169,0.5004053041054171,1
1,1,-1,1,0.05,1,-0.05,1,0,92,1,0,0.7259635627397913,0.27403643726035803,2
1,1,1,1,0.1,2,0.1,1,1,93,1,1,0.8363432240146828,0.16365677598442785,2
1,1,-1,1,0.01,2,-0.01,1,0,94,1,0,0.905720762579013,0.0942792374209798,2
1,0,1,-1,0.1,2,0.1,1,0,95,1,0,0.9431214075754077,0.056878592424986135,2
1,1,1,1,0.02,2,0.02,1,1,96,1,1,0.9576076426573368,0.04239235734186511,2
