ID,resp,theta,previous,contrast,state,stim*contrast,block,correct,trial,previous_congruent,stim*contrast_congruent,Gl_Prob_State_ext,Gl_Prob_State_int,State
1,0,1,0,0.02,1,0.02,1,0,1,0,0,0.5021209016394388,0.49787909836058863,2
1,1,1,1,0.01,1,0.01,1,1,2,1,1,0.5641325715776149,0.4358674284223722,2
1,0,-1,-1,0.02,1,-0.02,1,1,3,1,1,0.5643808092013382,0.4356191907986814,2
1,1,-1,1,0.02,1,-0.02,1,0,4,1,0,0.5045933808279309,0.49540661917206996,2
1,0,-1,-1,0.01,1,-0.01,1,1,5,1,1,0.35135862842885174,0.6486413715711382,1
1,0,1,1,0.1,1,0.1,1,0,6,0,0,0.047054715649523494,0.9529452843504678,1
1,0,-1,1,0.05,1,-0.05,1,1,7,0,1,0.010694669110874258,0.9893053308891477,1
1,1,1,-1,0.1,1,0.1,1,1,8,0,1,0.005022645531046042,0.9949773544689771,1
1,1,1,-1,0.05,1,0.05,1,1,9,0,1,0.0050868102915122195,0.9949131897084792,1
1,0,1,1,0.1,1,0.1,1,0,10,0,0,0.013926349103482363,0.9860736508964961,1
1,1,-1,1,0.02,1,-0.02,1,0,11,1,0,0.09422616122269818,0.9057738387772791,1
1,0,-1,-1,0.05,1,-0.05,1,1,12,1,1,0.1084926124909399,0.8915073875090588,1
1,0,-1,1,0.02,1,-0.02,1,1,13,0,1,0.0702249579096555,0.929775042090342,1
1,0,-1,1,0.01,1,-0.01,1,1,14,0,1,0.12452217709201152,0.8754778229079991,1
1,1,-1,1,0.05,2,-0.05,1,0,15,1,0,0.5205243351704775,0.47947566482954734,2
1,1,1,1,0.1,2,0.1,1,1,16,1,1,0.7124927599496546,0.28750724005033623,2
1,1,1,1,0.05,2,0.05,1,1,17,1,1,0.8282896785258099,0.1717103214741754,2
1,1,-1,1,0.01,2,-0.01,1,0,18,1,0,0.8938940615955548,0.10610593840447245,2
1,0,1,-1,0.02,2,0.02,1,0,19,1,0,0.9263287100776,0.07367128992239999,2
1,1,1,1,0.05,2,0.05,1,1,20,1,1,0.9392590041505444,0.060740995849437346,2
1,0,-1,-1,0.1,2,-0.1,1,1,21,1,1,0.9434328936578984,0.05656710634211056,2
1,0,-1,-1,0.1,2,-0.1,1,1,22,1,1,0.9433510227126377,0.05664897728735122,2
1,1,1,1,0.01,2,0.01,1,1,23,1,1,0.9389906392050829,0.061009360794940425,2
1,0,-1,-1,0.1,2,-0.1,1,1,24,1,1,0.922857046877894,0.07714295312210269,2
1,0,1,-1,0.05,2,0.05,1,0,25,1,0,0.8962033292251951,0.1037966707747975,2
1,1,1,1,0.02,2,0.02,1,1,26,1,1,0.8339435081868494,0.16605649181317875,2
1,1,1,1,0.1,2,0.1,1,1,27,1,1,0.7182385194537155,0.2817614805462911,2
1,0,-1,1,0.02,2,-0.02,1,1,28,0,1,0.5268951759515218,0.473104824048453,2
1,1,-1,1,0.02,2,-0.02,1,0,29,1,0,0.5754754111630455,0.4245245888369738,2
1,1,1,1,0.05,2,0.05,1,1,30,1,1,0.5602631718401795,0.43973682815984244,2
1,1,-1,-1,0.1,1,-0.1,1,0,31,0,0,0.4866201616543628,0.5133798383456527,1
1,1,1,1,0.02,2,0.02,1,1,32,1,1,0.6896736941665049,0.3103263058334858,2
1,1,1,1,0.1,2,0.1,1,1,33,1,1,0.7967257300370015,0.20327426996298903,2
1,1,-1,1,0.02,2,-0.02,1,0,34,1,0,0.8597269895720056,0.1402730104279688,2
1,1,-1,1,0.05,2,-0.05,1,0,35,1,0,0.8843121503223205,0.11568784967769606,2
1,1,1,1,0.05,2,0.05,1,1,36,1,1,0.8789852127297786,0.12101478727024342,2
1,0,-1,-1,0.02,2,-0.02,1,1,37,1,1,0.8518230571316989,0.14817694286830024,2
1,0,-1,-1,0.01,2,-0.01,1,1,38,1,1,0.789498024999433,0.2105019750005527,2
1,0,-1,1,0.02,2,-0.02,1,1,39,0,1,0.665495156741642,0.3345048432583352,2
1,0,1,-1,0.01,2,0.01,1,0,40,1,0,0.7537834434648074,0.24621655653518215,2
1,0,-1,-1,0.05,2,-0.05,1,1,41,1,1,0.7858625767886552,0.2141374232113243,2
1,0,-1,-1,0.02,2,-0.02,1,1,42,1,1,0.7829461353748202,0.21705386462515894,2
1,0,1,-1,0.05,2,0.05,1,0,43,1,0,0.7401691011352197,0.25983089886475425,2
1,1,-1,1,0.05,2,-0.05,1,0,44,1,0,0.626644045017098,0.3733559549828836,2
1,0,1,1,0.1,2,0.1,1,0,45,0,0,0.38276628296134646,0.6172337170386646,1
1,0,-1,-1,0.05,2,-0.05,1,1,46,1,1,0.42867618687827214,0.5713238131217003,1
1,1,-1,1,0.05,1,-0.05,1,0,47,1,0,0.4147639928469923,0.5852360071530148,1
1,0,1,-1,0.1,1,0.1,1,0,48,1,0,0.3178507843205408,0.6821492156794766,1
1,1,1,-1,0.1,1,0.1,1,1,49,0,1,0.06811155818867484,0.9318884418112975,1
1,1,-1,-1,0.01,1,-0.01,1,0,50,0,0,0.020717305296356733,0.9792826947036605,1
1,1,1,-1,0.1,1,0.1,1,1,51,0,1,0.02484639959133373,0.9751536004086728,1
1,0,1,-1,0.02,1,0.02,1,0,52,1,0,0.07914632933803559,0.9208536706619445,1
1,0,1,-1,0.02,1,0.02,1,0,53,1,0,0.07606918957026645,0.9239308104297452,1
1,1,1,-1,0.02,1,0.02,1,1,54,0,1,0.014187697485939661,0.9858123025140575,1
1,0,-1,1,0.02,1,-0.02,1,1,55,0,1,0.004282219908286499,0.9957177800917014,1
1,0,1,1,0.01,1,0.01,1,0,56,0,0,0.002637180051919023,0.9973628199480804,1
1,1,1,-1,0.05,1,0.05,1,1,57,0,1,0.0030372684341751026,0.9969627315658307,1
1,1,1,-1,0.01,1,0.01,1,1,58,0,1,0.004904113282450479,0.9950958867175416,1
1,0,1,1,0.05,1,0.05,1,0,59,0,0,0.018244835480300904,0.9817551645197176,1
1,0,-1,-1,0.1,1,-0.1,1,1,60,1,1,0.11852425889461224,0.8814757411053951,1
1,1,1,1,0.02,1,0.02,1,1,61,1,1,0.15670151253151232,0.8432984874684969,1
1,0,-1,-1,0.02,1,-0.02,1,1,62,1,1,0.13563879644505536,0.864361203554943,1
1,1,-1,-1,0.02,1,-0.02,1,0,63,0,0,0.047081701108024225,0.9529182988919588,1
1,1,-1,-1,0.05,1,-0.05,1,0,64,0,0,0.053961015857194046,0.9460389841428138,1
1,0,-1,-1,0.05,1,-0.05,1,1,65,1,1,0.20148856603274062,0.7985114339672753,1
1,1,-1,1,0.05,1,-0.05,1,0,66,1,0,0.2645050839230371,0.7354949160769717,1
