,ID,resp,theta,previous,contrast,state,stim*contrast,block,correct,trial,previous_congruent,stim*contrast_congruent,Gl_Prob_State_ext,Gl_Prob_State_int,Predicted_state
0,1,0,-1,0,0.02,2,-0.02,1,1,1,0,1,0.7933101933024203,0.2066898066975901,1
1,1,0,-1,-1,0.01,2,-0.01,1,1,2,1,1,0.5497104431736993,0.4502895568263059,1
2,1,0,1,-1,0.1,2,0.1,1,0,3,1,0,0.376108316032193,0.6238916839677968,2
3,1,0,-1,-1,0.01,2,-0.01,1,1,4,1,1,0.2878473508955251,0.7121526491044609,2
4,1,1,-1,1,0.01,1,-0.01,1,0,5,1,0,0.2246075204322773,0.7753924795677123,2
5,1,1,-1,1,0.1,2,-0.1,1,0,6,1,0,0.1826570708803971,0.8173429291196131,2
6,1,1,1,1,0.01,2,0.01,1,1,7,1,1,0.1746903074970659,0.8253096925029472,2
7,1,0,-1,-1,0.01,2,-0.01,1,1,8,1,1,0.1746940474443473,0.8253059525556476,2
8,1,0,1,-1,0.1,2,0.1,1,0,9,1,0,0.1817145460136693,0.8182854539863262,2
9,1,1,-1,1,0.1,2,-0.1,1,0,10,1,0,0.2218813824152352,0.7781186175847514,2
10,1,1,-1,1,0.05,2,-0.05,1,0,11,1,0,0.3099493075371645,0.6900506924628388,2
11,1,1,-1,1,0.05,2,-0.05,1,0,12,1,0,0.4525762191436521,0.5474237808563558,2
12,1,0,-1,-1,0.1,1,-0.1,1,1,13,1,1,0.6825732212750283,0.3174267787249797,1
13,1,1,1,-1,0.02,1,0.02,1,1,14,0,1,0.965502546427836,0.0344974535721578,1
14,1,0,-1,1,0.05,1,-0.05,1,1,15,0,1,0.9920825329521772,0.007917467047809,1
15,1,1,-1,1,0.1,1,-0.1,1,0,16,1,0,0.948346649643903,0.0516533503560892,1
16,1,0,1,1,0.05,1,0.05,1,0,17,0,0,0.9607123955444076,0.03928760445558,1
17,1,0,1,-1,0.1,1,0.1,1,0,18,1,0,0.8078575642848116,0.1921424357151776,1
18,1,0,-1,-1,0.05,1,-0.05,1,1,19,1,1,0.7479974537288405,0.2520025462711553,1
19,1,0,1,-1,0.02,1,0.02,1,0,20,1,0,0.7268044079872698,0.2731955920127219,1
20,1,0,1,-1,0.02,1,0.02,1,0,21,1,0,0.7552520388374551,0.2447479611625364,1
21,1,1,-1,1,0.02,1,-0.02,1,0,22,1,0,0.8382861747415601,0.1617138252584535,1
22,1,0,-1,1,0.05,1,-0.05,1,1,23,0,1,0.9918375845989962,0.008162415400995,1
23,1,0,-1,1,0.1,1,-0.1,1,1,24,0,1,0.9975955507590408,0.002404449240958,1
24,1,1,1,1,0.01,1,0.01,1,1,25,1,1,0.9646089029147026,0.0353910970853032,1
