,ID,resp,theta,previous,contrast,state,stim*contrast,block,correct,trial,previous_congruent,stim*contrast_congruent,Gl_Prob_State_ext,Gl_Prob_State_int,Predicted_state
0,1,1,1,0,1.25,1,1.25,1,1,1,0,1,0.933873144916954,0.0661268550830481,1
1,1,1,1,1,1.25,1,1.25,1,1,2,1,1,0.947261140484219,0.0527388595157761,1
2,1,0,-1,1,1.5,1,-1.5,1,1,3,0,1,0.9847360131280336,0.0152639868719626,1
3,1,1,1,-1,0.75,1,0.75,1,1,4,0,1,0.9553259650276302,0.0446740349723663,1
4,1,1,1,1,0.75,1,0.75,1,1,5,1,1,0.8725192726394805,0.127480727360513,1
5,1,1,-1,1,0.5,1,-0.5,1,0,6,1,0,0.8101921448665302,0.1898078551334769,1
6,1,0,-1,-1,1.5,1,-1.5,1,1,7,1,1,0.7732903864484515,0.2267096135515453,1
7,1,1,1,-1,1.25,1,1.25,1,1,8,0,1,0.7515622814224404,0.2484377185775631,1
8,1,1,1,1,0.75,1,0.75,1,1,9,1,1,0.7072214511096316,0.292778548890366,1
9,1,1,1,1,1.25,1,1.25,1,1,10,1,1,0.6746506227821172,0.325349377217879,1
10,1,0,-1,-1,1.25,1,-1.25,1,1,11,1,1,0.6521078634298806,0.3478921365701171,1
11,1,1,1,-1,1.25,1,1.25,1,1,12,0,1,0.6384229040489807,0.3615770959510146,1
12,1,1,1,-1,1.25,1,1.25,1,1,13,0,1,0.5927836046205673,0.4072163953794395,1
13,1,1,-1,1,1.25,1,-1.25,1,0,14,1,0,0.507383289469077,0.4926167105309202,1
14,1,1,1,1,1.25,1,1.25,1,1,15,1,1,0.6041801823077819,0.395819817692219,1
15,1,0,-1,1,1.5,1,-1.5,1,1,16,0,1,0.7075459459693993,0.2924540540305953,1
16,1,1,-1,1,0.5,2,-0.5,1,0,17,1,0,0.4573128193536062,0.5426871806463928,2
17,1,0,1,-1,0.5,2,0.5,1,0,18,1,0,0.2279429946149294,0.7720570053850683,2
18,1,1,1,1,0.5,2,0.5,1,1,19,1,1,0.2124466679396515,0.7875533320603502,2
19,1,1,1,1,0.5,2,0.5,1,1,20,1,1,0.1824531525335924,0.8175468474664038,2
20,1,0,1,-1,0.75,2,0.75,1,0,21,1,0,0.1363723811772542,0.8636276188227452,2
21,1,1,-1,1,0.75,2,-0.75,1,0,22,1,0,0.353921679031692,0.6460783209683121,2
22,1,1,1,-1,0.75,1,0.75,1,1,23,0,1,0.6332823277063045,0.3667176722936912,1
23,1,1,1,1,1.5,1,1.5,1,1,24,1,1,0.7051526010477639,0.2948473989522341,1
