,ID,resp,theta,previous,contrast,state,stim*contrast,block,correct,trial,previous_congruent,stim*contrast_congruent,Gl_Prob_State_ext,Gl_Prob_State_int,Predicted_state
0,1,1,1,0,0.05,2,0.05,1,1,1,0,1,0.3526655533840974,0.647334446615901,2
1,1,0,-1,-1,0.01,2,-0.01,1,1,2,1,1,0.3197219509127643,0.6802780490872483,2
2,1,1,-1,1,0.1,2,-0.1,1,0,3,1,0,0.2939337265913498,0.7060662734086429,2
3,1,0,-1,-1,0.1,2,-0.1,1,1,4,1,1,0.2794013148341072,0.7205986851658892,2
4,1,1,1,1,0.02,2,0.02,1,1,5,1,1,0.266695414034885,0.7333045859651274,2
5,1,0,1,-1,0.01,2,0.01,1,0,6,1,0,0.257842538638384,0.7421574613616118,2
6,1,1,1,1,0.05,2,0.05,1,1,7,1,1,0.2535567170261412,0.7464432829738582,2
7,1,1,1,1,0.05,1,0.05,1,1,8,1,1,0.2513944417636203,0.7486055582363782,2
8,1,1,1,1,0.1,1,0.1,1,1,9,1,1,0.2512523125662739,0.7487476874337242,2
9,1,0,-1,-1,0.01,1,-0.01,1,1,10,1,1,0.2516383376521229,0.7483616623478894,2
10,1,1,-1,1,0.1,1,-0.1,1,0,11,1,0,0.2554706621923948,0.744529337807606,2
11,1,1,-1,1,0.1,2,-0.1,1,0,12,1,0,0.2681880644163407,0.7318119355836538,2
12,1,0,1,-1,0.02,2,0.02,1,0,13,1,0,0.2907682879718878,0.7092317120281063,2
13,1,0,1,-1,0.01,2,0.01,1,0,14,1,0,0.3204686132526346,0.6795313867473546,2
14,1,1,1,1,0.1,1,0.1,1,1,15,1,1,0.3585029768343739,0.6414970231656246,2
15,1,0,-1,-1,0.1,1,-0.1,1,1,16,1,1,0.4023261243112321,0.5976738756887638,2
16,1,1,-1,1,0.05,1,-0.05,1,0,17,1,0,0.4538337070672237,0.5461662929327759,2
17,1,0,-1,-1,0.05,1,-0.05,1,1,18,1,1,0.5230336822779349,0.476966317722059,1
18,1,0,-1,-1,0.1,1,-0.1,1,1,19,1,1,0.6079363622733497,0.3920636377266395,1
19,1,1,1,-1,0.1,1,0.1,1,1,20,0,1,0.7100348430391145,0.2899651569608802,1
20,1,1,1,1,0.05,1,0.05,1,1,21,1,1,0.6831826394260878,0.3168173605739067,1
21,1,1,1,1,0.01,1,0.01,1,1,22,1,1,0.6729088099896645,0.3270911900103339,1
22,1,0,1,-1,0.02,1,0.02,1,0,23,1,0,0.6802469225288192,0.3197530774711785,1
23,1,1,-1,1,0.05,1,-0.05,1,0,24,1,0,0.7069280046056877,0.29307199539431,1
24,1,1,1,-1,0.01,1,0.01,1,1,25,0,1,0.7561031866207496,0.2438968133792616,1
25,1,1,-1,1,0.02,1,-0.02,1,0,26,1,0,0.7006422449530603,0.2993577550469493,1
26,1,0,1,-1,0.02,1,0.02,1,0,27,1,0,0.6664915113426039,0.3335084886574063,1
27,1,1,-1,1,0.02,1,-0.02,1,0,28,1,0,0.6516810728168403,0.3483189271831652,1
