ID,resp,theta,previous,contrast,state,stim*contrast,block,correct,trial,previous_congruent,stim*contrast_congruent,Gl_Prob_State_ext,Gl_Prob_State_int,State
1,1,-1,-1,0.02,1,-0.02,1,0,1,0,0,0.15551903948599355,0.8444809605139888,1
1,0,-1,1,0.05,1,-0.05,1,1,2,0,1,0.1858528729994047,0.814147127000603,1
1,0,-1,-1,0.05,1,-0.05,1,1,3,1,1,0.21601663833922571,0.783983361660762,1
1,1,1,-1,0.01,1,0.01,1,1,4,0,1,0.2390660921985732,0.7609339078014211,1
1,1,1,-1,0.05,1,0.05,1,1,5,0,1,0.2650416127609003,0.7349583872391009,1
1,1,-1,-1,0.01,1,-0.01,1,0,6,0,0,0.29114820887248505,0.7088517911275399,1
1,1,-1,-1,0.05,1,-0.05,1,0,7,0,0,0.32309402517722535,0.6769059748227874,1
1,0,-1,1,0.05,1,-0.05,1,1,8,0,1,0.3683516442717653,0.6316483557282477,1
1,1,-1,1,0.02,1,-0.02,1,0,9,1,0,0.41463810176229465,0.5853618982377276,1
1,1,1,-1,0.05,1,0.05,1,1,10,0,1,0.44973457154167806,0.5502654284583214,1
1,1,1,1,0.05,1,0.05,1,1,11,1,1,0.48598165596487786,0.5140183440351125,1
1,1,-1,-1,0.01,1,-0.01,1,0,12,0,0,0.5149065975375231,0.48509340246246135,0
1,0,-1,-1,0.02,1,-0.02,1,1,13,1,1,0.55133919925282,0.4486608007471855,0
1,1,-1,1,0.01,1,-0.01,1,0,14,1,0,0.5793928511016297,0.4206071488983901,0
1,1,1,-1,0.02,1,0.02,1,1,15,0,1,0.59948359233986,0.4005164076601275,0
1,1,1,1,0.02,1,0.02,1,1,16,1,1,0.6232295525107832,0.37677044748921174,0
1,1,1,1,0.01,1,0.01,1,1,17,1,1,0.6404300784840883,0.35956992151589456,0
1,1,1,1,0.01,1,0.01,1,1,18,1,1,0.651513571047074,0.34848642895293436,0
1,0,-1,1,0.05,1,-0.05,1,1,19,0,1,0.6569615531528243,0.343038446847168,0
1,0,-1,1,0.02,1,-0.02,1,1,20,0,1,0.6639278742101198,0.3360721257898854,0
1,0,-1,1,0.05,1,-0.05,1,1,21,0,1,0.6742322922831533,0.3257677077168287,0
1,0,-1,-1,0.05,1,-0.05,1,1,22,1,1,0.6861532570311876,0.3138467429688323,0
1,0,-1,1,0.02,1,-0.02,1,1,23,0,1,0.6938539777011901,0.3061460222987825,0
1,1,-1,-1,0.02,1,-0.02,1,0,24,0,0,0.704974204001309,0.29502579599871465,0
1,1,1,-1,0.02,1,0.02,1,1,25,0,1,0.7232265931283511,0.27677340687165347,0
1,1,-1,1,0.02,1,-0.02,1,0,26,1,0,0.7453651285611718,0.2546348714388169,0
1,0,1,-1,0.05,0,0.05,1,0,27,1,0,0.7613805232219727,0.23861947677800713,0
1,1,-1,1,0.05,0,-0.05,1,0,28,1,0,0.7722962880329023,0.227703711967119,0
1,1,-1,1,0.02,0,-0.02,1,0,29,1,0,0.7786079176930029,0.22139208230699367,0
1,0,1,-1,0.05,0,0.05,1,0,30,1,0,0.7803818408086741,0.21961815919134042,0
1,0,-1,1,0.02,0,-0.02,1,1,31,0,1,0.7779254213665545,0.2220745786334204,0
1,0,-1,-1,0.05,0,-0.05,1,1,32,1,1,0.7788617175448754,0.22113828245514694,0
