perm_idx,state_idx,BIC
0,1,8957.708981432297
0,2,8967.94927360736
1,1,8957.708790554785
1,2,8967.949249275976
2,1,8957.708790554989
2,2,8967.886998851658
3,1,8957.70903487956
3,2,8961.628921779638
4,1,8957.708790559709
4,2,8967.949250084328
5,1,8957.70879225477
5,2,8967.949252733259
6,1,8957.708790554927
6,2,8965.777112951137
7,1,8957.708820574524
7,2,8969.962643399262
8,1,8957.708790564868
8,2,8975.09679183386
9,1,8957.708822083265
9,2,8975.131781396605
10,1,8957.708790632561
10,2,8967.949253742714
11,1,8957.708813113364
11,2,8967.949297705605
12,1,8957.708790557455
12,2,8965.66233432348
13,1,8957.709027038356
13,2,8967.949248835024
14,1,8957.70879055454
14,2,8965.418125195814
15,1,8957.708790555173
15,2,8980.482488308084
16,1,8957.7088785935
16,2,8967.94926554951
17,1,8957.708790555078
17,2,8975.105627431849
18,1,8957.708791541816
18,2,8967.949268205939
19,1,8957.708790554532
19,2,8967.949251464803
20,1,8957.708790704673
20,2,8967.949252042981
21,1,8957.7088758697
21,2,8966.642175440886
22,1,8957.708790761364
22,2,8967.949361298784
23,1,8957.708790555645
23,2,8967.94947761287
24,1,8957.708790556033
24,2,8968.08805700998
25,1,8957.708797005585
25,2,8967.949269080873
26,1,8957.708792921629
26,2,8967.70880537863
27,1,8957.708815530861
27,2,8967.949270179191
28,1,8957.708790554543
28,2,8967.50751615544
29,1,8957.708790710829
29,2,8967.94932688599
30,1,8957.708790556579
30,2,8967.949248310562
31,1,8957.708792405878
31,2,8967.938219956352
32,1,8957.708790554572
32,2,8966.172690002146
33,1,8957.708790555786
33,2,8967.949253566107
34,1,8957.70879055567
34,2,8991.442751843068
35,1,8957.708791806792
35,2,8967.949331704438
36,1,8957.708790554914
36,2,8966.380216168965
37,1,8957.708790763152
37,2,8967.9492712062
38,1,8957.70879566539
38,2,8978.292600265897
39,1,8957.708790564027
39,2,8967.949298180192
40,1,8957.708794694056
40,2,8966.569059295722
41,1,8957.708790555467
41,2,8990.113256175298
42,1,8957.708829738487
42,2,8967.72435655484
43,1,8957.708790555236
43,2,8983.117470269255
44,1,8957.708790554496
44,2,8967.949258120243
45,1,8957.708818056986
45,2,8967.949684046896
46,1,8957.7087905542
46,2,8967.949312253331
47,1,8957.708942083094
47,2,8967.949269064322
48,1,8957.70879055463
48,2,8968.23631906204
49,1,8957.708790751474
49,2,8967.949351324693
50,1,8957.708790555587
50,2,8967.94925231102
51,1,8957.708790562418
51,2,8967.94933451487
52,1,8957.708790556586
52,2,8962.667038919117
53,1,8957.708796018658
53,2,8967.949248432073
54,1,8957.70879070653
54,2,9002.411527669628
55,1,8957.708859485887
55,2,8967.949259093548
56,1,8957.708790555384
56,2,8981.604358539045
57,1,8957.708790742636
57,2,8968.507068722736
58,1,8957.708939004377
58,2,8964.19686101224
59,1,8957.708790555096
59,2,8973.843926687277
60,1,8957.708790558163
60,2,8967.94926055197
61,1,8957.708790554376
61,2,8967.949253266648
62,1,8957.708793884323
62,2,8967.840564248374
63,1,8957.708790557994
63,2,8982.651195539145
64,1,8957.708790556759
64,2,8967.94930509083
65,1,8957.708790555344
65,2,8981.303387009772
66,1,8957.708790646033
66,2,8966.052743056736
67,1,8957.708790554407
67,2,8967.949252039012
68,1,8957.70879055438
68,2,8970.150503702378
69,1,8957.70879055809
69,2,8967.949388440098
70,1,8957.708790628883
70,2,8964.419887023816
71,1,8957.709025221346
71,2,8967.949255291916
72,1,8957.708790598102
72,2,8969.675690189053
73,1,8957.708790581839
73,2,8976.796971695696
74,1,8957.708790554589
74,2,8967.949347856185
75,1,8957.708790574368
75,2,8967.568524639259
76,1,8957.708790561832
76,2,8979.189978427303
77,1,8957.708790554501
77,2,8967.949260833253
78,1,8957.70879055548
78,2,8967.94943134325
79,1,8957.708790555847
79,2,8967.949254847596
80,1,8957.708790555538
80,2,8967.949671874465
81,1,8957.708790554498
81,2,8967.949275979416
82,1,8957.708790555052
82,2,8967.949280981315
83,1,8957.709010976501
83,2,8967.949419999577
84,1,8957.708790554989
84,2,8967.949277645808
85,1,8957.708796249326
85,2,8967.949251312311
86,1,8957.70879064189
86,2,8967.949691152313
87,1,8957.708790567312
87,2,8967.555313447721
88,1,8957.708792561
88,2,8967.949273248518
89,1,8957.708814434265
89,2,8967.94927529946
90,1,8957.708790554303
90,2,8973.807209388213
91,1,8957.708790554585
91,2,8967.949675651222
92,1,8957.708814106481
92,2,8964.448151063858
93,1,8957.708790555753
93,2,8967.949253056271
94,1,8957.70879055539
94,2,8967.94927155936
95,1,8957.709149798924
95,2,8972.764337093482
96,1,8957.708790556526
96,2,8967.949260120666
97,1,8957.708811210276
97,2,8967.94927134075
98,1,8957.708790554349
98,2,8967.94925060779
99,1,8957.708790556158
99,2,8968.105712299117
