Unnamed: 0,response,previous_response,contrast,previous_contrast,orientation,ID,predictor,Gl_Prob_State_ext,Gl_Prob_State_int,correct,prev_resp_congruent,contrast_congruent,Predicted_state
0,0,0,-1,0,,2,0,1.1365623878239196e-10,0.9999999998863132,1,0,1,2
1,1,-1,1,0,0.0,2,-1,0.0005330421253648455,0.9994669578746186,1,0,1,2
2,1,1,2,1,10.0,2,2,0.0014826013475821667,0.9985173986523965,1,1,1,2
3,1,1,1,2,-2.0,2,3,0.0013890873590578325,0.9986109126409558,1,1,1,2
4,0,1,-1,1,,2,2,0.0015375251242819548,0.9984624748757062,1,0,1,2
5,1,-1,-1,0,,2,-1,2.267544497990901e-06,0.9999977324554963,0,0,0,2
6,0,1,-1,0,,2,1,0.0018624628981544547,0.9981375371017921,1,0,1,2
7,0,-1,-1,0,,2,-1,0.0019390179070955813,0.9980609820929393,1,1,1,2
8,1,-1,1,0,3.0,2,-1,0.0006468162733262281,0.9993531837266367,1,0,1,2
9,1,1,-1,1,,2,2,3.1330455071891156e-07,0.9999996866954952,0,1,0,2
10,1,1,-1,0,,2,1,2.9662821028675945e-07,0.9999997033717576,0,1,0,2
11,1,1,1,0,-3.0,2,1,0.0005860272914821862,0.9994139727085226,1,1,1,2
12,0,1,-1,1,,2,2,0.0010632929017721808,0.9989367070981933,1,0,1,2
13,1,-1,-1,0,,2,-1,2.715959210171995e-06,0.9999972840408239,0,0,0,2
14,1,1,2,0,10.0,2,1,0.0031887955255913195,0.9968112044744604,1,1,1,2
15,1,1,1,2,3.0,2,3,0.005274475910760577,0.9947255240892507,1,1,1,2
16,1,1,1,1,0.0,2,2,0.009662472910532327,0.9903375270894914,1,1,1,2
17,0,1,-1,1,,2,2,0.01877310435540535,0.9812268956445632,1,0,1,2
18,0,-1,-1,0,,2,-1,0.023535677729183774,0.9764643222708301,1,1,1,2
19,1,-1,1,0,-1.0,2,-1,0.02592723696247192,0.9740727630375687,1,0,1,2
20,0,1,-1,1,,2,2,0.03850015136292741,0.9614998486370214,1,0,1,2
21,1,-1,2,0,-10.0,2,-1,0.045375602645797444,0.9546243973542246,1,0,1,2
22,0,1,1,2,2.0,2,3,0.05070166538904023,0.9492983346109756,0,0,0,2
23,0,-1,-1,1,,2,0,0.03810609253760117,0.9618939074623458,1,1,1,2
24,0,-1,-1,0,,2,-1,0.0214354630261649,0.9785645369738828,1,1,1,2
25,1,-1,-1,0,,2,-1,7.142143962831366e-05,0.9999285785604116,0,0,0,2
26,0,1,-1,0,,2,1,0.0064608038183869235,0.9935391961816193,1,0,1,2
27,0,-1,-1,0,,2,-1,0.009669281817555251,0.9903307181824015,1,1,1,2
28,0,-1,-1,0,,2,-1,0.010989651537685663,0.9890103484622641,1,1,1,2
29,0,-1,-1,0,,2,-1,0.010470888799748,0.9895291112002559,1,1,1,2
30,1,-1,2,0,-10.0,2,-1,0.008093751394080225,0.9919062486059123,1,0,1,2
31,1,1,1,2,-3.0,2,3,0.004450841374669912,0.995549158625325,1,1,1,2
32,1,1,1,1,-3.0,2,2,0.0027113535890797603,0.9972886464108647,1,1,1,2
33,1,1,1,1,-2.0,2,2,0.001915826737855248,0.9980841732621403,1,1,1,2
34,1,1,1,1,1.0,2,2,0.001625466577800745,0.9983745334222054,1,1,1,2
35,0,1,-1,1,,2,2,0.0016801171487630165,0.9983198828512919,1,0,1,2
36,1,-1,-1,0,,2,-1,8.001061680042183e-06,0.9999919989383614,0,0,0,2
37,0,1,-1,0,,2,1,0.007293672232861319,0.9927063277671678,1,0,1,2
38,0,-1,-1,0,,2,-1,0.01112594843021164,0.988874051569759,1,1,1,2
39,0,-1,-1,0,,2,-1,0.012969474682955034,0.987030525317001,1,1,1,2
40,1,-1,2,0,10.0,2,-1,0.012892631998565544,0.9871073680014698,1,0,1,2
41,1,1,1,2,-3.0,2,3,0.011555173508286389,0.9884448264917017,1,1,1,2
42,0,1,-1,1,,2,2,0.012775405730848526,0.9872245942691648,1,0,1,2
43,0,-1,-1,0,,2,-1,0.011167794740769203,0.9888322052591895,1,1,1,2
44,1,-1,1,0,3.0,2,-1,0.007593163016357337,0.9924068369836174,1,0,1,2
45,0,1,-1,1,,2,2,0.007827565651105792,0.9921724343489086,1,0,1,2
46,1,-1,1,0,-1.0,2,-1,0.005580935886641369,0.9944190641133677,1,0,1,2
47,1,1,1,1,3.0,2,2,0.006278615074099486,0.9937213849259473,1,1,1,2
48,0,1,-1,1,,2,2,0.00883955114252502,0.9911604488574328,1,0,1,2
49,1,-1,2,0,-10.0,2,-1,0.008808658936274968,0.9911913410636937,1,0,1,2
50,1,1,1,2,1.0,2,3,0.0075596533336863515,0.9924403466663595,1,1,1,2
51,1,1,1,1,2.0,2,2,0.00820022701535931,0.991799772984697,1,1,1,2
52,0,1,-1,1,,2,2,0.01108370563388466,0.9889162943661145,1,0,1,2
53,1,-1,1,0,3.0,2,-1,0.011179733715567325,0.9888202662844392,1,0,1,2
54,0,1,-1,1,,2,2,0.0163422940972892,0.98365770590266,1,0,1,2
55,1,-1,1,0,1.0,2,-1,0.01809291825055684,0.9819070817494847,1,0,1,2
56,0,1,-1,1,,2,2,0.02788091543255371,0.9721190845674037,1,0,1,2
57,0,-1,-1,0,,2,-1,0.03288670298003726,0.9671132970200067,1,1,1,2
58,0,-1,-1,0,,2,-1,0.035328190675103274,0.9646718093248626,1,1,1,2
59,1,-1,1,0,0.0,2,-1,0.035295939413254554,0.9647040605867832,1,0,1,2
60,1,1,2,1,10.0,2,2,0.0450418105782597,0.9549581894217481,1,1,1,2
