,response,previous_response,contrast,previous_contrast,orientation,ID,predictor,Gl_Prob_State_ext,Gl_Prob_State_int,correct,prev_resp_congruent,contrast_congruent,Predicted_state
0,0,0,-1,0,,2,0,1.2457042217814843e-09,0.9999999987543332,1,0,1,2
1,1,-1,1,0,0.0,2,-1,0.0005329440896064,0.9994670559104324,1,0,1,2
2,1,1,2,1,10.0,2,2,0.0014821698015763,0.998517830198382,1,1,1,2
3,1,1,1,2,-2.0,2,3,0.0013888062214434,0.9986111937785556,1,1,1,2
4,0,1,-1,1,,2,2,0.0015370916275277,0.9984629083724972,1,0,1,2
5,1,-1,-1,0,,2,-1,2.2687819512418017e-06,0.999997731218018,0,0,0,2
6,0,1,-1,0,,2,1,0.0018617931727806,0.9981382068271788,1,0,1,2
7,0,-1,-1,0,,2,-1,0.0019383206783064,0.9980616793217254,1,1,1,2
8,1,-1,1,0,3.0,2,-1,0.0006466686610751,0.9993533313389592,1,0,1,2
9,1,1,-1,1,,2,2,3.134679139687864e-07,0.9999996865321272,0,1,0,2
10,1,1,-1,0,,2,1,2.9678009851284174e-07,0.999999703219872,0,1,0,2
11,1,1,1,0,-3.0,2,1,0.0005858900378102,0.9994141099622053,1,1,1,2
12,0,1,-1,1,,2,2,0.0010629309745933,0.9989370690254632,1,0,1,2
13,1,-1,-1,0,,2,-1,2.718280713868432e-06,0.9999972817192312,0,0,0,2
14,1,1,2,0,10.0,2,1,0.0031889558881861,0.9968110441118434,1,1,1,2
15,1,1,1,2,3.0,2,3,0.0052752479941941,0.9947247520058092,1,1,1,2
16,1,1,1,1,0.0,2,2,0.0096632950794126,0.9903367049205604,1,1,1,2
17,0,1,-1,1,,2,2,0.0187720356996443,0.9812279643003712,1,0,1,2
18,0,-1,-1,0,,2,-1,0.0235333553809202,0.9764666446191116,1,1,1,2
19,1,-1,1,0,-1.0,2,-1,0.0259243028593531,0.974075697140598,1,0,1,2
20,0,1,-1,1,,2,2,0.0384910022767077,0.9615089977232516,1,0,1,2
21,1,-1,2,0,-10.0,2,-1,0.0453619600964653,0.954638039903516,1,0,1,2
22,0,1,1,2,2.0,2,3,0.0506841030567954,0.94931589694318,0,0,0,2
23,0,-1,-1,1,,2,0,0.0380932537225174,0.9619067462775118,1,1,1,2
24,0,-1,-1,0,,2,-1,0.0214284737486981,0.9785715262512662,1,1,1,2
25,1,-1,-1,0,,2,-1,7.146809951840231e-05,0.999928531900528,0,0,0,2
26,0,1,-1,0,,2,1,0.0064591797280111,0.993540820271968,1,0,1,2
27,0,-1,-1,0,,2,-1,0.0096667078535168,0.9903332921465056,1,1,1,2
28,0,-1,-1,0,,2,-1,0.0109867769228642,0.989013223077149,1,1,1,2
29,0,-1,-1,0,,2,-1,0.0104683640094842,0.989531635990565,1,1,1,2
30,1,-1,2,0,-10.0,2,-1,0.0080922350081936,0.9919077649918446,1,0,1,2
31,1,1,1,2,-3.0,2,3,0.004450841255896,0.9955491587440516,1,1,1,2
32,1,1,1,1,-3.0,2,2,0.0027117193480081,0.9972882806520458,1,1,1,2
33,1,1,1,1,-2.0,2,2,0.0019161673940204,0.9980838326060336,1,1,1,2
34,1,1,1,1,1.0,2,2,0.001625632375411,0.998374367624563,1,1,1,2
35,0,1,-1,1,,2,2,0.001679955035755,0.9983200449642096,1,0,1,2
36,1,-1,-1,0,,2,-1,8.008747194608288e-06,0.9999919912528518,0,0,0,2
37,0,1,-1,0,,2,1,0.0072930221321988,0.9927069778678084,1,0,1,2
38,0,-1,-1,0,,2,-1,0.0111250066836972,0.9888749933162948,1,1,1,2
39,0,-1,-1,0,,2,-1,0.0129687678044315,0.987031232195546,1,1,1,2
40,1,-1,2,0,10.0,2,-1,0.0128927125390787,0.9871072874609398,1,0,1,2
41,1,1,1,2,-3.0,2,3,0.0115565177424584,0.9884434822574903,1,1,1,2
42,0,1,-1,1,,2,2,0.0127768062247557,0.9872231937752296,1,0,1,2
43,0,-1,-1,0,,2,-1,0.0111697046155881,0.9888302953844288,1,1,1,2
44,1,-1,1,0,3.0,2,-1,0.0075960921609832,0.9924039078389756,1,0,1,2
45,0,1,-1,1,,2,2,0.0078306567821184,0.992169343217924,1,0,1,2
46,1,-1,1,0,-1.0,2,-1,0.005584459313028,0.9944155406869496,1,0,1,2
47,1,1,1,1,3.0,2,2,0.0062824785057233,0.993717521494252,1,1,1,2
48,0,1,-1,1,,2,2,0.0088436580649049,0.9911563419350904,1,0,1,2
49,1,-1,2,0,-10.0,2,-1,0.0088131513745402,0.9911868486255117,1,0,1,2
50,1,1,1,2,1.0,2,3,0.0075649559655299,0.9924350440345224,1,1,1,2
51,1,1,1,1,2.0,2,2,0.0082062529633421,0.9917937470366524,1,1,1,2
52,0,1,-1,1,,2,2,0.0110905613716732,0.9889094386283812,1,0,1,2
53,1,-1,1,0,3.0,2,-1,0.0111873479451487,0.9888126520548672,1,0,1,2
54,0,1,-1,1,,2,2,0.0163508520398714,0.9836491479600886,1,0,1,2
55,1,-1,1,0,1.0,2,-1,0.0181022305169223,0.9818977694831296,1,0,1,2
56,0,1,-1,1,,2,2,0.027890145195223,0.9721098548048216,1,0,1,2
57,0,-1,-1,0,,2,-1,0.0328957654552067,0.9671042345447672,1,1,1,2
58,0,-1,-1,0,,2,-1,0.035337449943286,0.9646625500567444,1,1,1,2
59,1,-1,1,0,0.0,2,-1,0.035305789798396,0.9646942102016058,1,0,1,2
60,1,1,2,1,10.0,2,2,0.0450494335165614,0.9549505664833952,1,1,1,2
61,0,1,-1,2,,2,3,0.0534743259615213,0.9465256740385152,1,0,1,2
62,0,-1,-1,0,,2,-1,0.0567153624796682,0.9432846375203418,1,1,1,2
63,0,-1,-1,0,,2,-1,0.057122972792713,0.942877027207295,1,1,1,2
64,0,-1,-1,0,,2,-1,0.0547122800185933,0.9452877199813996,1,1,1,2
65,0,-1,-1,0,,2,-1,0.0493938428699079,0.950606157130068,1,1,1,2
66,1,-1,2,0,10.0,2,-1,0.0409703372120121,0.95902966278803,1,0,1,2
67,0,1,-1,2,,2,3,0.0308898486221711,0.9691101513778776,1,0,1,2
68,1,-1,1,0,3.0,2,-1,0.0141960663916842,0.9858039336083044,1,0,1,2
69,1,1,1,1,0.0,2,2,0.0090730301209995,0.9909269698789676,1,1,1,2
70,1,1,1,1,2.0,2,2,0.0069843958144396,0.9930156041855612,1,1,1,2
71,1,1,1,1,2.0,2,2,0.0067787906733547,0.9932212093266288,1,1,1,2
72,1,1,1,1,0.0,2,2,0.0083428735704988,0.9916571264294838,1,1,1,2
73,0,1,-1,1,,2,2,0.0125388550407387,0.9874611449592986,1,0,1,2
74,1,-1,2,0,-10.0,2,-1,0.0136820401193149,0.986317959880724,1,0,1,2
75,1,1,1,2,-2.0,2,3,0.013559316080288,0.986440683919682,1,1,1,2
76,0,1,1,1,0.0,2,2,0.0164012590087551,0.9835987409912064,0,0,0,2
77,1,-1,1,1,0.0,2,0,0.0082015364743332,0.9917984635256958,1,0,1,2
78,1,1,1,1,1.0,2,2,0.0060148514192087,0.9939851485807604,1,1,1,2
79,1,1,1,1,0.0,2,2,0.0055597875279975,0.9944402124719736,1,1,1,2
80,1,1,1,1,3.0,2,2,0.0065854879683916,0.99341451203163,1,1,1,2
81,0,1,1,1,-3.0,2,2,0.0096573765596414,0.9903426234403512,0,0,0,2
82,1,-1,1,1,1.0,2,0,0.0043167809137073,0.9956832190862864,1,0,1,2
83,1,1,1,1,-3.0,2,2,0.0028149670259958,0.9971850329739776,1,1,1,2
