perm_idx,state_idx,BIC
0,1,10900.045006156834
0,2,10152.833880643599
1,1,10900.045002741483
1,2,10214.715179765992
2,1,10900.046951647788
2,2,10152.834100061134
3,1,10900.045222565233
3,2,10245.516800416088
4,1,10900.045236756187
4,2,10152.832660638822
5,1,10900.045003233981
5,2,10152.833699899416
6,1,10900.045413983771
6,2,10253.469043653211
7,1,10900.045118301134
7,2,10152.834510677496
8,1,10900.045002336487
8,2,10152.832958003837
9,1,10900.04500632863
9,2,10216.649724797115
10,1,10900.04500602115
10,2,10152.833237089253
11,1,10900.045003879854
11,2,10229.121076651894
12,1,10900.045002432478
12,2,10233.210309649028
13,1,10900.045030613603
13,2,10152.832819709696
14,1,10900.04500315799
14,2,10148.393032452177
15,1,10900.045884689884
15,2,10152.83272770618
16,1,10900.046769095636
16,2,10140.83593663333
17,1,10900.045003367219
17,2,10152.833326554384
18,1,10900.045002756895
18,2,10233.847674213452
19,1,10900.045013113247
19,2,10152.832974982202
20,1,10900.045021070508
20,2,10152.83301978664
21,1,10900.045325572177
21,2,10151.318773699428
22,1,10900.045002595096
22,2,10217.27230543221
23,1,10900.045259863246
23,2,10230.500788068655
24,1,10900.045596684411
24,2,10190.48483126427
25,1,10900.045253359422
25,2,10152.832797044257
26,1,10900.045046356952
26,2,10152.834029751213
27,1,10900.04520032274
27,2,10225.859360874865
28,1,10900.045002510262
28,2,10152.837514548373
29,1,10900.045014209863
29,2,10152.832757443457
30,1,10900.045465477264
30,2,10150.675894193022
31,1,10900.045003731408
31,2,10152.833321257303
32,1,10900.04523860793
32,2,10152.83509614025
33,1,10900.04500688211
33,2,10219.121880112923
34,1,10900.045009338066
34,2,10252.697554377091
35,1,10900.045002933262
35,2,10146.032687956369
36,1,10900.045003949224
36,2,10248.023570110368
37,1,10900.0450271177
37,2,10152.83267674172
38,1,10900.045007310993
38,2,10235.112642379454
39,1,10900.04545108783
39,2,10152.832732323066
40,1,10900.045002382549
40,2,10224.920125318698
41,1,10900.045120463312
41,2,10152.834759178591
42,1,10900.045472286836
42,2,10227.33803837918
43,1,10900.045004644797
43,2,10217.965137270196
44,1,10900.045009041187
44,2,10152.832882795536
45,1,10900.045016183185
45,2,10240.923307882675
46,1,10900.045011602951
46,2,10152.833043489338
47,1,10900.045002870802
47,2,10152.83306417735
48,1,10900.045005722988
48,2,10218.334947423436
49,1,10900.045002478764
49,2,10152.833026001277
50,1,10900.045021932763
50,2,10151.405122023674
51,1,10900.045597532004
51,2,10238.730679537304
52,1,10900.045005987908
52,2,10234.569677122074
53,1,10900.04500275115
53,2,10152.834505728893
54,1,10900.045297378261
54,2,10152.834662437186
55,1,10900.045055775385
55,2,10149.287104950568
56,1,10900.045317995637
56,2,10152.035331780075
57,1,10900.04561257211
57,2,10153.682003943659
58,1,10900.045407889414
58,2,10152.832859745202
59,1,10900.045145478778
59,2,10151.905447124462
60,1,10900.045080137506
60,2,10144.353303979915
61,1,10900.045071975686
61,2,10238.494643013935
62,1,10900.045006999437
62,2,10147.893341133704
63,1,10900.045020933172
63,2,10261.826375908573
64,1,10900.045027934939
64,2,10152.83349212173
65,1,10900.045003027059
65,2,10149.443121561142
66,1,10900.045003178617
66,2,10146.265382180436
67,1,10900.04514535336
67,2,10217.712009416653
68,1,10900.045052695848
68,2,10152.833546123804
69,1,10900.045017528715
69,2,10247.943247227231
70,1,10900.045002482288
70,2,10152.832686965216
71,1,10900.04500434781
71,2,10152.83322820552
72,1,10900.04517524037
72,2,10152.835114658907
73,1,10900.045003235422
73,2,10152.833118217475
74,1,10900.045005669424
74,2,10220.88229432459
75,1,10900.045003896726
75,2,10217.848767364212
76,1,10900.046616321875
76,2,10152.836196226977
77,1,10900.045010446514
77,2,10152.832856121846
78,1,10900.045247119302
78,2,10152.838416097557
79,1,10900.045008017145
79,2,10150.955389628678
80,1,10900.045053647056
80,2,10152.834267885703
81,1,10900.045009601232
81,2,10152.832882647643
82,1,10900.04500309473
82,2,10152.832946348803
83,1,10900.045282193212
83,2,10152.833420478568
84,1,10900.045007463761
84,2,10152.83379080833
85,1,10900.04503294097
85,2,10152.833580201897
86,1,10900.046595003814
86,2,10152.06188334725
87,1,10900.045619392302
87,2,10225.765126275743
88,1,10900.045006190376
88,2,10209.060999122998
89,1,10900.045757231022
89,2,10199.361928449565
90,1,10900.045002432991
90,2,10152.833871836061
91,1,10900.046609766823
91,2,10152.833193983599
92,1,10900.045002515448
92,2,10152.834382312165
93,1,10900.045002671044
93,2,10152.832995679693
94,1,10900.04500266795
94,2,10206.502150352448
95,1,10900.045040149407
95,2,10151.865775174185
96,1,10900.045174383713
96,2,10248.50576823213
97,1,10900.045112547725
97,2,10152.83282541545
98,1,10900.045358596395
98,2,10152.832688484876
99,1,10900.045051787167
99,2,10231.526040161723
