response,previous_response,contrast,previous_contrast,orientation,ID,predictor,Gl_Prob_State_ext,Gl_Prob_State_int,correct
0,0,-1,0,,2,0,9.575649136250659e-11,0.9999999999042757,1
1,-1,1,0,0.0,2,-1,0.0006073501303682131,0.9993926498696036,1
1,1,2,1,10.0,2,2,0.0017287898543264118,0.9982712101457112,1
1,1,1,2,-2.0,2,3,0.00145763814503321,0.9985423618549524,1
0,1,-1,1,,2,2,0.0017497384987718195,0.9982502615011825,1
1,-1,-1,0,,2,-1,1.2842055879657425e-06,0.9999987157944193,0
0,1,-1,0,,2,1,0.002315976098078434,0.9976840239019354,1
0,-1,-1,0,,2,-1,0.0024358291031831084,0.9975641708967918,1
1,-1,1,0,3.0,2,-1,0.0007733735838520475,0.9992266264161018,1
1,1,-1,1,,2,2,1.665991782276655e-07,0.9999998334008208,0
1,1,-1,0,,2,1,1.4867753849080842e-07,0.9999998513224111,0
1,1,1,0,-3.0,2,1,0.0006194481064549774,0.9993805518935084,1
0,1,-1,1,,2,2,0.0012645129589125685,0.9987354870410999,1
1,-1,-1,0,,2,-1,1.2094619056609803e-06,0.9999987905380787,0
1,1,2,0,10.0,2,1,0.002849864544205796,0.9971501354558316,1
1,1,1,2,3.0,2,3,0.004259552888436747,0.9957404471115999,1
1,1,1,1,0.0,2,2,0.008350130006643471,0.9916498699933637,1
0,1,-1,1,,2,2,0.018885826221296385,0.9811141737786655,1
0,-1,-1,0,,2,-1,0.024706192647756732,0.9752938073522978,1
1,-1,1,0,-1.0,2,-1,0.027647030482936475,0.9723529695171012,1
0,1,-1,1,,2,2,0.04402633010526271,0.9559736698947715,1
1,-1,2,0,-10.0,2,-1,0.05382026726988231,0.946179732730172,1
0,1,1,2,2.0,2,3,0.061493632969184836,0.9385063670308409,0
0,-1,-1,1,,2,0,0.04616012921618783,0.9538398707838576,1
0,-1,-1,0,,2,-1,0.025910730293162175,0.974089269706793,1
1,-1,-1,0,,2,-1,3.877010027693079e-05,0.9999612298997779,0
0,1,-1,0,,2,1,0.0075153359319851685,0.9924846640680196,1
0,-1,-1,0,,2,-1,0.011388445507077103,0.9886115544928882,1
0,-1,-1,0,,2,-1,0.01288829688027596,0.9871117031197376,1
0,-1,-1,0,,2,-1,0.012067232055617308,0.9879327679443386,1
1,-1,2,0,-10.0,2,-1,0.008896597408393863,0.991103402591582,1
1,1,1,2,-3.0,2,3,0.004025000283699654,0.9959749997162616,1
1,1,1,1,-3.0,2,2,0.002119805762625152,0.9978801942373694,1
1,1,1,1,-2.0,2,2,0.0014278160006618741,0.9985721839993669,1
1,1,1,1,1.0,2,2,0.001312248272646072,0.998687751727337,1
0,1,-1,1,,2,2,0.0016667548595341167,0.9983332451404506,1
1,-1,-1,0,,2,-1,3.516849750329131e-06,0.9999964831502435,0
0,1,-1,0,,2,1,0.007781837498681949,0.9922181625012947,1
0,-1,-1,0,,2,-1,0.011876220981775465,0.9881237790182675,1
0,-1,-1,0,,2,-1,0.013563871821086438,0.9864361281789032,1
1,-1,2,0,10.0,2,-1,0.012903685870311668,0.9870963141296638,1
1,1,1,2,-3.0,2,3,0.01057232441814952,0.9894276755818401,1
0,1,-1,1,,2,2,0.011992778659418982,0.9880072213406186,1
0,-1,-1,0,,2,-1,0.01032516421431137,0.9896748357857447,1
1,-1,1,0,3.0,2,-1,0.006309787746487204,0.9936902122535031,1
0,1,-1,1,,2,2,0.006470984919203844,0.9935290150808469,1
1,-1,1,0,-1.0,2,-1,0.00395327434207371,0.9960467256579136,1
1,1,1,1,3.0,2,2,0.004315451520969492,0.9956845484789895,1
0,1,-1,1,,2,2,0.006824487311535416,0.9931755126884991,1
1,-1,2,0,-10.0,2,-1,0.006623308092541875,0.993376691907447,1
1,1,1,2,1.0,2,3,0.004845736513978524,0.9951542634860533,1
1,1,1,1,2.0,2,2,0.005229726589057526,0.9947702734109014,1
0,1,-1,1,,2,2,0.00812863361273595,0.9918713663872162,1
1,-1,1,0,3.0,2,-1,0.008173450665610642,0.9918265493344111,1
0,1,-1,1,,2,2,0.013323321585957702,0.9866766784139878,1
1,-1,1,0,1.0,2,-1,0.015002615437872934,0.9849973845620814,1
0,1,-1,1,,2,2,0.025544752757198533,0.9744552472427709,1
0,-1,-1,0,,2,-1,0.03116591701310592,0.9688340829869463,1
0,-1,-1,0,,2,-1,0.03379262807472838,0.9662073719252225,1
1,-1,1,0,0.0,2,-1,0.033516553238894874,0.966483446761078,1
1,1,2,1,10.0,2,2,0.04499636442920335,0.9550036355707617,1
0,1,-1,2,,2,3,0.05470747978292535,0.9452925202170341,1
0,-1,-1,0,,2,-1,0.05887505333209415,0.9411249466678496,1
0,-1,-1,0,,2,-1,0.05967029574384733,0.9403297042561779,1
0,-1,-1,0,,2,-1,0.057120959489030176,0.942879040511025,1
0,-1,-1,0,,2,-1,0.05113807750669168,0.9488619224933489,1
1,-1,2,0,10.0,2,-1,0.04151285842023749,0.9584871415797512,1
0,1,-1,2,,2,3,0.029714320714250675,0.9702856792857489,1
1,-1,1,0,3.0,2,-1,0.011063647202190057,0.9889363527977735,1
1,1,1,1,0.0,2,2,0.005576831325567945,0.9944231686744863,1
1,1,1,1,2.0,2,2,0.0036508257419715206,0.9963491742580034,1
1,1,1,1,2.0,2,2,0.0035132818537556986,0.9964867181462831,1
1,1,1,1,0.0,2,2,0.00503762904270765,0.9949623709572908,1
0,1,-1,1,,2,2,0.009626601872879061,0.9903733981270797,1
1,-1,2,0,-10.0,2,-1,0.01104505590096798,0.9889549440990294,1
1,1,1,2,-2.0,2,3,0.0108256706781625,0.989174329321833,1
0,1,1,1,0.0,2,2,0.01463359227844283,0.9853664077215026,0
1,-1,1,1,0.0,2,0,0.006091359016171742,0.9939086409838697,1
1,1,1,1,1.0,2,2,0.003842686454364696,0.9961573135456181,1
1,1,1,1,0.0,2,2,0.0035242849854844396,0.9964757150145279,1
1,1,1,1,3.0,2,2,0.0048431552528979335,0.9951568447471074,1
