,response,previous_response,contrast,previous_contrast,orientation,ID,predictor,Gl_Prob_State_ext,Gl_Prob_State_int,correct
0,0,0,-1,0,,2,0,9.575649136250659e-11,0.9999999999042756,1
1,1,-1,1,0,0.0,2,-1,0.0006073501303682,0.9993926498696036,1
2,1,1,2,1,10.0,2,2,0.0017287898543264,0.9982712101457112,1
3,1,1,1,2,-2.0,2,3,0.0014576381450332,0.9985423618549524,1
4,0,1,-1,1,,2,2,0.0017497384987718,0.9982502615011823,1
5,1,-1,-1,0,,2,-1,1.2842055879657425e-06,0.9999987157944192,0
6,0,1,-1,0,,2,1,0.0023159760980784,0.9976840239019354,1
7,0,-1,-1,0,,2,-1,0.0024358291031831,0.9975641708967918,1
8,1,-1,1,0,3.0,2,-1,0.000773373583852,0.9992266264161018,1
9,1,1,-1,1,,2,2,1.665991782276655e-07,0.9999998334008208,0
10,1,1,-1,0,,2,1,1.4867753849080844e-07,0.9999998513224112,0
11,1,1,1,0,-3.0,2,1,0.0006194481064549,0.9993805518935084,1
12,0,1,-1,1,,2,2,0.0012645129589125,0.9987354870411,1
13,1,-1,-1,0,,2,-1,1.2094619056609805e-06,0.9999987905380788,0
14,1,1,2,0,10.0,2,1,0.0028498645442057,0.9971501354558316,1
15,1,1,1,2,3.0,2,3,0.0042595528884367,0.9957404471116,1
16,1,1,1,1,0.0,2,2,0.0083501300066434,0.9916498699933636,1
17,0,1,-1,1,,2,2,0.0188858262212963,0.9811141737786656,1
18,0,-1,-1,0,,2,-1,0.0247061926477567,0.9752938073522978,1
19,1,-1,1,0,-1.0,2,-1,0.0276470304829364,0.9723529695171012,1
20,0,1,-1,1,,2,2,0.0440263301052627,0.9559736698947716,1
21,1,-1,2,0,-10.0,2,-1,0.0538202672698823,0.946179732730172,1
22,0,1,1,2,2.0,2,3,0.0614936329691848,0.9385063670308408,0
23,0,-1,-1,1,,2,0,0.0461601292161878,0.9538398707838576,1
24,0,-1,-1,0,,2,-1,0.0259107302931621,0.974089269706793,1
25,1,-1,-1,0,,2,-1,3.877010027693079e-05,0.999961229899778,0
26,0,1,-1,0,,2,1,0.0075153359319851,0.9924846640680196,1
27,0,-1,-1,0,,2,-1,0.0113884455070771,0.9886115544928882,1
28,0,-1,-1,0,,2,-1,0.0128882968802759,0.9871117031197376,1
29,0,-1,-1,0,,2,-1,0.0120672320556173,0.9879327679443386,1
30,1,-1,2,0,-10.0,2,-1,0.0088965974083938,0.991103402591582,1
31,1,1,1,2,-3.0,2,3,0.0040250002836996,0.9959749997162616,1
32,1,1,1,1,-3.0,2,2,0.0021198057626251,0.9978801942373694,1
33,1,1,1,1,-2.0,2,2,0.0014278160006618,0.9985721839993668,1
34,1,1,1,1,1.0,2,2,0.001312248272646,0.998687751727337,1
35,0,1,-1,1,,2,2,0.0016667548595341,0.9983332451404506,1
36,1,-1,-1,0,,2,-1,3.516849750329131e-06,0.9999964831502436,0
37,0,1,-1,0,,2,1,0.0077818374986819,0.9922181625012948,1
38,0,-1,-1,0,,2,-1,0.0118762209817754,0.9881237790182676,1
39,0,-1,-1,0,,2,-1,0.0135638718210864,0.9864361281789032,1
40,1,-1,2,0,10.0,2,-1,0.0129036858703116,0.9870963141296638,1
41,1,1,1,2,-3.0,2,3,0.0105723244181495,0.98942767558184,1
42,0,1,-1,1,,2,2,0.0119927786594189,0.9880072213406186,1
43,0,-1,-1,0,,2,-1,0.0103251642143113,0.9896748357857448,1
44,1,-1,1,0,3.0,2,-1,0.0063097877464872,0.9936902122535032,1
45,0,1,-1,1,,2,2,0.0064709849192038,0.9935290150808468,1
46,1,-1,1,0,-1.0,2,-1,0.0039532743420737,0.9960467256579136,1
47,1,1,1,1,3.0,2,2,0.0043154515209694,0.9956845484789896,1
48,0,1,-1,1,,2,2,0.0068244873115354,0.9931755126884992,1
49,1,-1,2,0,-10.0,2,-1,0.0066233080925418,0.993376691907447,1
50,1,1,1,2,1.0,2,3,0.0048457365139785,0.9951542634860532,1
51,1,1,1,1,2.0,2,2,0.0052297265890575,0.9947702734109014,1
52,0,1,-1,1,,2,2,0.0081286336127359,0.9918713663872162,1
53,1,-1,1,0,3.0,2,-1,0.0081734506656106,0.9918265493344112,1
54,0,1,-1,1,,2,2,0.0133233215859577,0.9866766784139878,1
55,1,-1,1,0,1.0,2,-1,0.0150026154378729,0.9849973845620814,1
56,0,1,-1,1,,2,2,0.0255447527571985,0.9744552472427708,1
57,0,-1,-1,0,,2,-1,0.0311659170131059,0.9688340829869464,1
58,0,-1,-1,0,,2,-1,0.0337926280747283,0.9662073719252224,1
59,1,-1,1,0,0.0,2,-1,0.0335165532388948,0.966483446761078,1
60,1,1,2,1,10.0,2,2,0.0449963644292033,0.9550036355707616,1
61,0,1,-1,2,,2,3,0.0547074797829253,0.945292520217034,1
62,0,-1,-1,0,,2,-1,0.0588750533320941,0.9411249466678496,1
63,0,-1,-1,0,,2,-1,0.0596702957438473,0.940329704256178,1
64,0,-1,-1,0,,2,-1,0.0571209594890301,0.942879040511025,1
65,0,-1,-1,0,,2,-1,0.0511380775066916,0.9488619224933488,1
66,1,-1,2,0,10.0,2,-1,0.0415128584202374,0.9584871415797512,1
67,0,1,-1,2,,2,3,0.0297143207142506,0.9702856792857488,1
68,1,-1,1,0,3.0,2,-1,0.01106364720219,0.9889363527977736,1
69,1,1,1,1,0.0,2,2,0.0055768313255679,0.9944231686744864,1
70,1,1,1,1,2.0,2,2,0.0036508257419715,0.9963491742580034,1
71,1,1,1,1,2.0,2,2,0.0035132818537556,0.9964867181462832,1
72,1,1,1,1,0.0,2,2,0.0050376290427076,0.9949623709572908,1
73,0,1,-1,1,,2,2,0.009626601872879,0.9903733981270796,1
74,1,-1,2,0,-10.0,2,-1,0.0110450559009679,0.9889549440990294,1
75,1,1,1,2,-2.0,2,3,0.0108256706781625,0.989174329321833,1
76,0,1,1,1,0.0,2,2,0.0146335922784428,0.9853664077215026,0
77,1,-1,1,1,0.0,2,0,0.0060913590161717,0.9939086409838696,1
78,1,1,1,1,1.0,2,2,0.0038426864543646,0.996157313545618,1
79,1,1,1,1,0.0,2,2,0.0035242849854844,0.996475715014528,1
80,1,1,1,1,3.0,2,2,0.0048431552528979,0.9951568447471074,1
81,0,1,1,1,-3.0,2,2,0.009012947875708,0.9909870521242562,0
82,1,-1,1,1,1.0,2,0,0.0034757460915425,0.996524253908492,1
83,1,1,1,1,-3.0,2,2,0.001950291123978,0.9980497088760044,1
84,1,1,1,1,-2.0,2,2,0.0014520536180427,0.9985479463819448,1
85,1,1,1,1,1.0,2,2,0.0015225455234108,0.9984774544765675,1
86,1,1,2,1,-10.0,2,2,0.0022266348917058,0.9977733651082716,1
87,1,1,1,2,-1.0,2,3,0.0015300995478946,0.9984699004520794,1
88,1,1,1,1,2.0,2,2,0.0014704965498739,0.9985295034501528,1
89,1,1,1,1,3.0,2,2,0.0019929780348665,0.9980070219651208,1
90,1,1,1,1,1.0,2,2,0.0035783418443276,0.9964216581557048,1
91,0,1,-1,1,,2,2,0.0076854712485805,0.992314528751374,1
92,0,-1,-1,0,,2,-1,0.0088258196685812,0.9911741803314584,1
93,0,-1,-1,0,,2,-1,0.0078136709661952,0.992186329033846,1
94,1,-1,1,0,1.0,2,-1,0.0046137030472373,0.9953862969527372,1
95,1,1,1,1,-1.0,2,2,0.0047513458867138,0.9952486541132995,1
96,0,1,-1,1,,2,2,0.0071356621936234,0.9928643378064288,1
97,1,-1,1,0,1.0,2,-1,0.0067913675031865,0.993208632496864,1
98,0,1,-1,1,,2,2,0.0107572356818909,0.9892427643180676,1
99,1,-1,1,0,3.0,2,-1,0.0115646973990871,0.988435302600892,1
100,1,1,1,1,0.0,2,2,0.0193088758961991,0.9806911241038004,1
101,0,1,-1,1,,2,2,0.0396883821971465,0.960311617802895,1
102,0,-1,-1,0,,2,-1,0.0526322568481466,0.9473677431518772,1
103,1,-1,2,0,-10.0,2,-1,0.0615619742612768,0.9384380257387568,1
104,0,1,-1,2,,2,3,0.0683829984206614,0.9316170015793463,1
105,0,-1,-1,0,,2,-1,0.0696880511279398,0.9303119488720658,1
106,1,-1,1,0,1.0,2,-1,0.067515774555631,0.9324842254444136,1
107,0,1,1,1,0.0,2,2,0.0814690758000266,0.9185309242000234,0
108,0,-1,-1,1,,2,0,0.0700422215296925,0.9299577784703508,1
109,1,-1,2,0,10.0,2,-1,0.0540912122822435,0.9459087877177428,1
110,1,1,1,2,2.0,2,3,0.0356113254951801,0.964388674504864,1
111,0,1,-1,1,,2,2,0.0297990285279246,0.9702009714720295,1
112,1,-1,1,0,2.0,2,-1,0.0188662449208783,0.98113375507913,1
113,1,1,1,1,-3.0,2,2,0.0175470774985511,0.9824529225014164,1
114,0,1,-1,1,,2,2,0.0215080774410283,0.9784919225589592,1
115,1,-1,1,0,-2.0,2,-1,0.0217156172979883,0.9782843827020096,1
116,0,1,-1,1,,2,2,0.0313794492729682,0.9686205507270816,1
117,1,-1,2,0,10.0,2,-1,0.0361183218535783,0.9638816781463732,1
118,0,1,-1,2,,2,3,0.0389649336468242,0.9610350663531234,1
119,0,-1,-1,0,,2,-1,0.0373846890673216,0.9626153109326904,1
120,1,-1,1,0,-2.0,2,-1,0.032755232931985,0.9672447670680568,1
121,0,1,-1,1,,2,2,0.0383245306912927,0.9616754693087608,1
122,0,-1,-1,0,,2,-1,0.0393286667805685,0.9606713332194736,1
123,0,-1,-1,0,,2,-1,0.037329587113691,0.962670412886362,1
