perm_idx,state_idx,BIC
0,1,12987.915239473372
0,2,12937.77409603766
1,1,12987.916248950254
1,2,12953.021478324425
2,1,12987.915975177264
2,2,12953.020896075717
3,1,12987.915294761582
3,2,12953.02177362116
4,1,12987.915237186624
4,2,12724.012754490868
5,1,12987.915237396262
5,2,12727.408732393305
6,1,12987.915237626123
6,2,12953.021039492085
7,1,12987.915276145128
7,2,12953.021529027874
8,1,12987.915272731163
8,2,13035.010188147045
9,1,12987.915237250085
9,2,12953.020892846664
10,1,12987.915237354357
10,2,12953.021152227078
11,1,12987.915237192976
11,2,12953.022809920041
12,1,12987.9152389006
12,2,12953.020986707497
13,1,12987.915732266034
13,2,12953.021024265197
14,1,12987.915313676991
14,2,12953.022203595865
15,1,12987.915239470234
15,2,13034.989939040119
16,1,12987.915237194762
16,2,13035.004459406822
17,1,12987.915237186038
17,2,12728.362970229677
18,1,12987.915237237163
18,2,12953.021850288815
19,1,12987.915237190287
19,2,12947.275029461463
20,1,12987.915470441865
20,2,13035.011029122352
21,1,12987.915237186153
21,2,12953.021005243505
22,1,12987.915282041817
22,2,12952.320745536841
23,1,12987.915237312942
23,2,12953.022111593475
24,1,12987.916212661472
24,2,12953.020866488996
25,1,12987.915237422689
25,2,12953.021246999198
26,1,12987.915283074912
26,2,12952.89911277392
27,1,12987.915237584328
27,2,12953.022786652256
28,1,12987.915241607016
28,2,12953.02088086074
29,1,12987.915238082216
29,2,12953.021320786938
30,1,12987.915239338306
30,2,12953.02209270069
31,1,12987.915237187903
31,2,12953.021237325007
32,1,12987.915237250421
32,2,12947.91748717954
33,1,12987.915237228344
33,2,12953.022234465618
34,1,12987.915240498069
34,2,12953.02099183249
35,1,12987.91527856914
35,2,12953.023735494173
36,1,12987.915450749293
36,2,13035.014261922088
37,1,12987.915238267544
37,2,12953.021191354184
38,1,12987.915237187712
38,2,12953.022646974883
39,1,12987.915241602868
39,2,12950.680408033602
40,1,12987.915237643574
40,2,12953.021339361792
41,1,12987.915262769238
41,2,13035.018423055426
42,1,12987.915247265317
42,2,12953.021901802798
43,1,12987.915238609856
43,2,12953.021892557445
44,1,12987.915237619558
44,2,12953.021694294412
45,1,12987.915684364674
45,2,12953.021423965043
46,1,12987.915237327337
46,2,12952.296688144887
47,1,12987.915750639128
47,2,12727.49789521398
48,1,12987.915238124286
48,2,12953.02087083292
49,1,12987.915237587184
49,2,12725.640242443393
50,1,12987.915238019896
50,2,12953.036201160974
51,1,12987.91523722095
51,2,12953.020884877003
52,1,12987.915237207962
52,2,12946.849218532523
53,1,12987.91523803547
53,2,12953.021340633708
54,1,12987.915237384628
54,2,12953.021747718747
55,1,12987.916196476683
55,2,12953.060676385603
56,1,12987.91609660367
56,2,12953.021430177663
57,1,12987.9153709548
57,2,12724.955385867308
58,1,12987.915237286752
58,2,12953.022343665261
59,1,12987.915366003737
59,2,12953.021683235378
60,1,12987.915779600273
60,2,12953.020968045603
61,1,12987.915497760387
61,2,12953.020899391122
62,1,12987.91629928989
62,2,12953.021173041165
63,1,12987.915240591268
63,2,12953.022274084038
64,1,12987.916024849179
64,2,12953.022532376637
65,1,12987.915730418244
65,2,12952.134291709555
66,1,12987.915237190968
66,2,12953.02176992052
67,1,12987.915237187442
67,2,12953.02242732385
68,1,12987.915237285359
68,2,12953.02124403354
69,1,12987.915237718358
69,2,12953.021958216155
70,1,12987.915237527637
70,2,12953.021237449959
71,1,12987.916083720102
71,2,12953.024471433104
72,1,12987.915367062351
72,2,12953.021392837296
73,1,12987.915954940527
73,2,13035.011767498216
74,1,12987.915237290566
74,2,12953.0215291837
75,1,12987.915246163939
75,2,13018.37900227637
76,1,12987.915237188434
76,2,12953.021783448667
77,1,12987.915633273586
77,2,12727.818487242108
78,1,12987.915714600642
78,2,12952.733309574523
79,1,12987.915248544181
79,2,12953.021093307889
80,1,12987.915511158293
80,2,12953.02247792911
81,1,12987.915237187644
81,2,12727.310467823156
82,1,12987.915245674829
82,2,12952.52793524633
83,1,12987.915237370607
83,2,12953.057250235119
84,1,12987.915239274518
84,2,12953.021131927515
85,1,12987.915237540086
85,2,12953.021301674687
86,1,12987.915238224952
86,2,12953.022016169567
87,1,12987.915239115564
87,2,12952.938378703006
88,1,12987.915280092542
88,2,12953.022437841062
89,1,12987.915513785345
89,2,12727.338074858195
90,1,12987.915372698726
90,2,12953.020975731177
91,1,12987.915237221527
91,2,12727.381474495556
92,1,12987.915237246201
92,2,12953.022560849928
93,1,12987.9152377029
93,2,12953.021449504176
94,1,12987.915238570975
94,2,12953.022112158753
95,1,12987.915908732057
95,2,12953.021837186629
96,1,12987.915320437796
96,2,12727.666827750187
97,1,12987.915237279754
97,2,12953.022147147927
98,1,12987.915703391633
98,2,12723.793996964718
99,1,12987.915237189854
99,2,12948.117897747272
