response,previous_response,contrast,previous_contrast,orientation,ID,predictor,Gl_Prob_State_ext,Gl_Prob_State_int,correct
0,0,-1,0,,2,0,0.9999999995309281,4.691547384218921e-10,1
1,-1,1,0,0.0,2,-1,0.9937750573856302,0.006224942614405839,1
1,1,2,1,10.0,2,2,0.9840695107767435,0.015930489223182142,1
1,1,1,2,-2.0,2,3,0.9804379982878867,0.019562001712132203,1
0,1,-1,1,,2,2,0.9845753649146531,0.015424635085263233,1
1,-1,-1,0,,2,-1,0.9833677890869853,0.01663221091291374,0
0,1,-1,0,,2,1,0.966358684479324,0.03364131552063916,1
0,-1,-1,0,,2,-1,0.9285244855792907,0.07147551442061896,1
1,-1,1,0,3.0,2,-1,0.9018475845275659,0.0981524154724621,1
1,1,-1,1,,2,2,0.8358682620098568,0.16413173799020322,0
1,1,-1,0,,2,1,0.8280958921889578,0.171904107810976,0
1,1,1,0,-3.0,2,1,0.8698327873889635,0.13016721261093647,1
0,1,-1,1,,2,2,0.9246180315595645,0.0753819684403394,1
1,-1,-1,0,,2,-1,0.9468746337762043,0.053125366223745196,0
1,1,2,0,10.0,2,1,0.9401825186768903,0.059817481323162065,1
1,1,1,2,3.0,2,3,0.9393623448162233,0.060637655183880534,1
1,1,1,1,0.0,2,2,0.9474369320278818,0.05256306797210901,1
0,1,-1,1,,2,2,0.9646702149823664,0.035329785017680464,1
0,-1,-1,0,,2,-1,0.9690035019570044,0.030996498042897412,1
1,-1,1,0,-1.0,2,-1,0.9817854648429779,0.018214535157036377,1
0,1,-1,1,,2,2,0.9865695969822817,0.013430403017718683,1
1,-1,2,0,-10.0,2,-1,0.9866443642218494,0.013355635778120621,1
0,1,1,2,2.0,2,3,0.9871968962517107,0.01280310374824014,0
0,-1,-1,1,,2,0,0.9757872957602122,0.024212704239768932,1
0,-1,-1,0,,2,-1,0.9725524595485314,0.02744754045151926,1
1,-1,-1,0,,2,-1,0.9773866502696577,0.022613349730333705,0
0,1,-1,0,,2,1,0.9655488361658978,0.03445116383404215,1
0,-1,-1,0,,2,-1,0.9367849400163492,0.06321505998355682,1
0,-1,-1,0,,2,-1,0.918230416575811,0.08176958342424039,1
0,-1,-1,0,,2,-1,0.9092787726700515,0.09072122732984725,1
1,-1,2,0,-10.0,2,-1,0.909637405208041,0.09036259479204994,1
1,1,1,2,-3.0,2,3,0.9017082742264686,0.09829172577355369,1
1,1,1,1,-3.0,2,2,0.9031464130977932,0.09685358690212992,1
1,1,1,1,-2.0,2,2,0.9139988303812648,0.0860011696188412,1
1,1,1,1,1.0,2,2,0.9346202598976335,0.06537974010246447,1
0,1,-1,1,,2,2,0.9656847559428435,0.0343152440570518,1
1,-1,-1,0,,2,-1,0.9788694800314365,0.02113051996854775,0
0,1,-1,0,,2,1,0.9757243367857231,0.024275663214362638,1
0,-1,-1,0,,2,-1,0.9632308461959602,0.03676915380409876,1
0,-1,-1,0,,2,-1,0.9593129960740312,0.040687003925950475,1
1,-1,2,0,10.0,2,-1,0.9638427233436194,0.036157276656414716,1
1,1,1,2,-3.0,2,3,0.9652467756780497,0.034753224321925166,1
0,1,-1,1,,2,2,0.9750537337968815,0.024946266203008903,1
0,-1,-1,0,,2,-1,0.9759702871077577,0.024029712892205016,1
1,-1,1,0,3.0,2,-1,0.9849367041658933,0.015063295833996822,1
0,1,-1,1,,2,2,0.9878434056633054,0.01215659433675102,1
1,-1,1,0,-1.0,2,-1,0.9866883691475388,0.01331163085256311,1
1,1,1,1,3.0,2,2,0.980677657907923,0.019322342092098304,1
0,1,-1,1,,2,2,0.9824469076657597,0.017553092334140392,1
1,-1,2,0,-10.0,2,-1,0.978145639494052,0.02185436050593324,1
1,1,1,2,1.0,2,3,0.9724966918874008,0.027503308112682177,1
1,1,1,1,2.0,2,2,0.9749265696628663,0.025073430337244167,1
0,1,-1,1,,2,2,0.9855146984271143,0.014485301572776183,1
1,-1,1,0,3.0,2,-1,0.9897562788975566,0.010243721102351017,1
0,1,-1,1,,2,2,0.9905668435274346,0.009433156472571659,1
1,-1,1,0,1.0,2,-1,0.9885035496073181,0.011496450392620289,1
0,1,-1,1,,2,2,0.9821481521160751,0.017851847883831762,1
0,-1,-1,0,,2,-1,0.9671321455477349,0.032867854452373745,1
0,-1,-1,0,,2,-1,0.9607518767013702,0.03924812329868978,1
1,-1,1,0,0.0,2,-1,0.9627987932251818,0.03720120677472058,1
1,1,2,1,10.0,2,2,0.9532011989059878,0.04679880109395207,1
0,1,-1,2,,2,3,0.9495661290609664,0.050433870938932306,1
0,-1,-1,0,,2,-1,0.9298163986078943,0.07018360139214551,1
0,-1,-1,0,,2,-1,0.9196235970725866,0.08037640292741689,1
0,-1,-1,0,,2,-1,0.9186545515461796,0.0813454484539153,1
0,-1,-1,0,,2,-1,0.9268775867606857,0.07312241323929684,1
1,-1,2,0,10.0,2,-1,0.9445614897180875,0.05543851028184251,1
0,1,-1,2,,2,3,0.9555280682474572,0.04447193175252415,1
1,-1,1,0,3.0,2,-1,0.9532168052075625,0.0467831947924484,1
1,1,1,1,0.0,2,2,0.9360390092017113,0.06396099079818429,1
1,1,1,1,2.0,2,2,0.9281801440511168,0.07181985594884194,1
1,1,1,1,2.0,2,2,0.9293833264095115,0.07061667359059766,1
1,1,1,1,0.0,2,2,0.9396878847934786,0.060312115206608764,1
0,1,-1,1,,2,2,0.9594306451172859,0.04056935488277472,1
1,-1,2,0,-10.0,2,-1,0.964623635024738,0.0353763649751565,1
1,1,1,2,-2.0,2,3,0.9667422708147219,0.03325772918537925,1
0,1,1,1,0.0,2,2,0.9772533795492134,0.02274662045084341,0
1,-1,1,1,0.0,2,0,0.9712349425602401,0.028765057439749282,1
1,1,1,1,1.0,2,2,0.9533117629553767,0.04668823704458962,1
1,1,1,1,0.0,2,2,0.9444986872945552,0.05550131270536227,1
1,1,1,1,3.0,2,2,0.9445076418773717,0.055492358122524954,1
0,1,1,1,-3.0,2,2,0.9533389194031717,0.04666108059693799,0
1,-1,1,1,1.0,2,0,0.936044012992808,0.0639559870072879,1
1,1,1,1,-3.0,2,2,0.8919860043800671,0.10801399561983992,1
1,1,1,1,-2.0,2,2,0.8598390847548821,0.14016091524507568,1
1,1,1,1,1.0,2,2,0.8385524652152757,0.16144753478476545,1
1,1,2,1,-10.0,2,2,0.8274303483463091,0.1725696516537411,1
1,1,1,2,-1.0,2,3,0.821318786843675,0.1786812131563912,1
1,1,1,1,2.0,2,2,0.824953333634865,0.1750466663650416,1
1,1,1,1,3.0,2,2,0.8384527914382576,0.16154720856165197,1
1,1,1,1,1.0,2,2,0.8622584180975387,0.13774158190235858,1
0,1,-1,1,,2,2,0.8971483500124974,0.10285164998759232,1
0,-1,-1,0,,2,-1,0.9051682251697526,0.09483177483033747,1
0,-1,-1,0,,2,-1,0.9228597185353595,0.07714028146473821,1
1,-1,1,0,1.0,2,-1,0.9508011133505622,0.04919888664934453,1
1,1,1,1,-1.0,2,2,0.9601463470023597,0.03985365299769184,1
0,1,-1,1,,2,2,0.9785139227026691,0.021486077297258422,1
1,-1,1,0,1.0,2,-1,0.9862228649778874,0.013777135022223467,1
0,1,-1,1,,2,2,0.9885720645453338,0.011427935454614645,1
1,-1,1,0,3.0,2,-1,0.9871762892087725,0.012823710791118315,1
1,1,1,1,0.0,2,2,0.9810761257684463,0.018923874231505444,1
0,1,-1,1,,2,2,0.982740917154173,0.01725908284573999,1
0,-1,-1,0,,2,-1,0.9784309371897204,0.02156906281032936,1
1,-1,2,0,-10.0,2,-1,0.9819729975895238,0.01802700241057679,1
0,1,-1,2,,2,3,0.9849670108536777,0.015032989146344903,1
0,-1,-1,0,,2,-1,0.9828099912762176,0.017190008723719508,1
1,-1,1,0,1.0,2,-1,0.9883303849153691,0.011669615084724002,1
0,1,1,1,0.0,2,2,0.9896630863314682,0.010336913668577457,0
0,-1,-1,1,,2,0,0.9812976750515918,0.01870232494836706,1
1,-1,2,0,10.0,2,-1,0.9807589290971114,0.019241070902892118,1
1,1,1,2,2.0,2,3,0.9795997368972613,0.020400263102701422,1
0,1,-1,1,,2,2,0.9862799927060741,0.013720007293878202,1
1,-1,1,0,2.0,2,-1,0.9878409420752164,0.012159057924674508,1
1,1,1,1,-3.0,2,2,0.9853555337739319,0.014644466226163423,1
0,1,-1,1,,2,2,0.9904176669158832,0.009582333084007333,1
1,-1,1,0,-2.0,2,-1,0.992171470229997,0.007828529770009494,1
0,1,-1,1,,2,2,0.9918224543774566,0.008177545622636083,1
1,-1,2,0,10.0,2,-1,0.9891307165549312,0.010869283445135488,1
0,1,-1,2,,2,3,0.9873615706435993,0.012638429356452667,1
0,-1,-1,0,,2,-1,0.9808756940769848,0.01912430592300744,1
1,-1,1,0,-2.0,2,-1,0.9821720745500093,0.01782792545005676,1
0,1,-1,1,,2,2,0.9772653442368088,0.022734655763193907,1
0,-1,-1,0,,2,-1,0.9627827670623986,0.03721723293751231,1
0,-1,-1,0,,2,-1,0.9570000338907065,0.042999966109338,1
0,-1,-1,0,,2,-1,0.9597281240653212,0.04027187593475642,1
