perm_idx,state_idx,BIC
0,1,52994.4190487897
0,2,52626.52006204608
1,1,52994.419086707785
1,2,52617.24604794776
2,1,52994.42189078246
2,2,52635.37830968507
3,1,52994.41905741707
3,2,52614.101886132274
4,1,52994.419050551725
4,2,52625.515588572925
5,1,52994.41975776945
5,2,53048.41555177568
6,1,52994.41905754956
6,2,52635.261946000326
7,1,52994.41904879271
7,2,52644.729072827344
8,1,52994.41904887684
8,2,52621.70445947013
9,1,52994.41920453173
9,2,52631.05045011613
10,1,52994.419048864416
10,2,52625.892684043625
11,1,52994.41904884369
11,2,52612.99613307711
12,1,52994.41906776942
12,2,53048.41906752935
13,1,52994.419051070756
13,2,52620.96168594469
14,1,52994.419048798474
14,2,52620.41970485602
15,1,52994.41905158945
15,2,52615.81622903454
16,1,52994.41904878669
16,2,52625.73422366657
17,1,52994.42045441135
17,2,52628.43063841257
18,1,52994.41909705448
18,2,52620.42558701982
19,1,52994.419048937925
19,2,52622.92488087001
20,1,52994.42020704508
20,2,52628.87786089523
21,1,52994.41904884743
21,2,52632.2405396832
22,1,52994.41904913834
22,2,52622.37973558487
23,1,52994.41907145091
23,2,52622.67901604453
24,1,52994.41904885958
24,2,52619.50256629239
25,1,52994.41905361226
25,2,52636.43252828118
26,1,52994.42105910771
26,2,52618.624354212996
27,1,52994.41904887087
27,2,52618.465495772296
28,1,52994.419443678686
28,2,52608.72961201366
29,1,52994.41969197135
29,2,52632.38192011954
30,1,52994.419048803145
30,2,53048.40200860412
31,1,52994.41904914694
31,2,52635.564324979765
32,1,52994.41904880763
32,2,52636.060711443344
33,1,52994.41904887557
33,2,52620.507312076756
34,1,52994.41971243429
34,2,52599.89493247273
35,1,52994.41904880697
35,2,52607.9475385959
36,1,52994.4190487978
36,2,52627.93406473653
37,1,52994.41904881108
37,2,52611.72909024001
38,1,52994.41924674473
38,2,52618.16096207374
39,1,52994.41904881378
39,2,52623.92998008618
40,1,52994.419076102124
40,2,52618.339205753146
41,1,52994.4190494304
41,2,52625.56067194206
42,1,52994.41904879678
42,2,52616.815605577605
43,1,52994.41911441474
43,2,52636.89037418444
44,1,52994.41904878873
44,2,52619.317513867536
45,1,52994.419048806354
45,2,52631.56793518017
46,1,52994.41904918261
46,2,52611.476745551605
47,1,52994.41904909636
47,2,52619.57139270102
48,1,52994.419048799
48,2,52623.222491888046
49,1,52994.419052890975
49,2,53048.41388317803
50,1,52994.419124938686
50,2,52610.248803969145
51,1,52994.419281678085
51,2,52621.00163411476
52,1,52994.41914183151
52,2,52638.30821970254
53,1,52994.41976545721
53,2,52628.91948200767
54,1,52994.419048787226
54,2,52630.95088943518
55,1,52994.419048904056
55,2,52622.045219379506
56,1,52994.41904922208
56,2,52624.203530773644
57,1,52994.42094248538
57,2,52625.11314033362
58,1,52994.41904884883
58,2,52622.66597587917
59,1,52994.41904903931
59,2,52624.09865271357
60,1,52994.41907153029
60,2,52626.051835006154
61,1,52994.419048785385
61,2,52624.83051467082
62,1,52994.4190489299
62,2,52636.37192588425
63,1,52994.42062583413
63,2,52635.91618018725
64,1,52994.41904880099
64,2,52617.454588198685
65,1,52994.41904914185
65,2,52630.00805157352
66,1,52994.419050015924
66,2,52631.46391289411
67,1,52994.41904886413
67,2,52619.58668708033
68,1,52994.41939669024
68,2,52621.65174221073
69,1,52994.41904878993
69,2,52630.02687731282
70,1,52994.419048793854
70,2,52624.9748647671
71,1,52994.41996822697
71,2,52633.691068019485
72,1,52994.41982399806
72,2,53048.364646770344
73,1,52994.419202982135
73,2,52634.73499876681
74,1,52994.4190494705
74,2,52634.96693346136
75,1,52994.421634839186
75,2,52633.15826393909
76,1,52994.420635001305
76,2,52618.37181955593
77,1,52994.41904879129
77,2,52622.00107846924
78,1,52994.41908475756
78,2,53048.40966244994
79,1,52994.41904885665
79,2,52602.80653899872
80,1,52994.42137608121
80,2,52623.34201950813
81,1,52994.41906261174
81,2,53048.41820613091
82,1,52994.41904882538
82,2,52627.32666463265
83,1,52994.41906606728
83,2,52623.63961549081
84,1,52994.4196164987
84,2,52607.14977976399
85,1,52994.42184173453
85,2,52629.97238069449
86,1,52994.41997978386
86,2,52634.05095207733
87,1,52994.41904930879
87,2,52623.1953666748
88,1,52994.41904878736
88,2,53048.39755989129
89,1,52994.41906454916
89,2,52630.78254346802
90,1,52994.419048802316
90,2,52624.56646083112
91,1,52994.41905136231
91,2,52633.84715264819
92,1,52994.42053341722
92,2,52614.538126038926
93,1,52994.419048790915
93,2,52633.64467397418
94,1,52994.419054754115
94,2,52637.17296680302
95,1,52994.41904878914
95,2,52628.00333804055
96,1,52994.41904881686
96,2,53048.40042054196
97,1,52994.41919747924
97,2,52628.211973883546
98,1,52994.419048798285
98,2,53048.415817809066
99,1,52994.419699351245
99,2,52626.092125821946
