,response,previous_response,contrast,previous_contrast,orientation,ID,predictor,Gl_Prob_State_ext,Gl_Prob_State_int,correct,prev_resp_congruent,contrast_congruent,Predicted_state
0,1,0,2,0,-10.0,1,0,0.9767680207948636,0.0232319792050998,1,0,1,1
1,0,1,-1,2,,1,3,0.9858128187147313,0.0141871812853095,1,0,1,1
2,1,-1,1,0,-2.0,1,-1,0.9901065662235584,0.0098934337764803,1,0,1,1
3,0,1,-1,1,,1,2,0.9916798328383172,0.0083201671617364,1,0,1,1
4,0,-1,-1,0,,1,-1,0.9912766369772068,0.0087233630228433,1,1,1,1
5,1,-1,1,0,0.0,1,-1,0.9939680796464512,0.0060319203536017,1,0,1,1
6,0,1,-1,1,,1,2,0.9951114185555634,0.0048885814444405,1,0,1,1
7,1,-1,1,0,3.0,1,-1,0.9952473536716976,0.0047526463283463,1,0,1,1
8,0,1,-1,1,,1,2,0.9944401704940626,0.005559829505889,1,0,1,1
9,0,-1,-1,0,,1,-1,0.9923081415106516,0.0076918584893396,1,1,1,1
10,1,-1,1,0,-2.0,1,-1,0.9932111171304124,0.0067888828695388,1,0,1,1
11,0,1,-1,1,,1,2,0.9925591687383812,0.0074408312616309,1,0,1,1
12,1,-1,2,0,-10.0,1,-1,0.990043981388295,0.0099560186116679,1,0,1,1
13,0,1,-1,2,,1,3,0.9870005838032472,0.0129994161967068,1,0,1,1
14,0,-1,-1,0,,1,-1,0.9800192388441678,0.0199807611558575,1,1,1,1
15,0,-1,-1,0,,1,-1,0.9767064266364652,0.0232935733635361,1,1,1,1
16,1,-1,1,0,0.0,1,-1,0.9769790815266997,0.023020918473306,1,0,1,1
17,1,1,1,1,-2.0,1,2,0.9723842840502548,0.0276157159497288,1,0,1,1
18,1,1,1,1,-3.0,1,2,0.9715123470977188,0.0284876529022369,1,0,1,1
19,0,1,-1,1,,1,2,0.9743414076693668,0.0256585923306871,1,0,1,1
20,0,-1,-1,0,,1,-1,0.9720583688191892,0.0279416311808446,1,1,1,1
21,1,-1,2,0,10.0,1,-1,0.973458970408382,0.0265410295916501,1,0,1,1
22,1,1,1,2,1.0,1,3,0.972906982582225,0.0270930174177794,1,0,1,1
23,1,1,1,1,1.0,1,2,0.9760284923478826,0.023971507652119,1,0,1,1
24,0,1,-1,1,,1,2,0.9829017686299264,0.0170982313701063,1,0,1,1
25,1,-1,1,0,3.0,1,-1,0.985289002636871,0.0147109973631753,1,0,1,1
26,1,1,1,1,2.0,1,2,0.9843191486433012,0.0156808513567254,1,0,1,1
27,0,1,-1,1,,1,2,0.9867017718798068,0.0132982281202043,1,0,1,1
28,0,-1,-1,0,,1,-1,0.9859917768471969,0.0140082231528227,1,1,1,1
29,1,-1,2,0,10.0,1,-1,0.9885810890913996,0.0114189109086481,1,0,1,1
30,0,1,-1,2,,1,3,0.9905345315731744,0.0094654684268044,1,0,1,1
31,1,-1,1,0,3.0,1,-1,0.9902181992482958,0.0097818007517435,1,0,1,1
32,1,1,1,1,-2.0,1,2,0.9874824944108788,0.012517505589176,1,0,1,1
