response,previous_response,contrast,previous_contrast,orientation,ID,predictor,Gl_Prob_State_ext,Gl_Prob_State_int,correct,prev_resp_congruent,contrast_congruent,State
1,0,2.5,0,-10.0,1,0,0.9804685544024849,0.019531445597481222,1,0,1,1
0,1,-1.0,2,,1,3,0.988314205515328,0.01168579448472384,1,0,1,1
1,-1,1.0,0,-2.0,1,-1,0.9918383162247063,0.008161683775251246,1,0,1,1
0,1,-1.0,1,,1,2,0.9929213850337058,0.007078614966250706,1,0,1,1
0,-1,-1.0,0,,1,-1,0.992141347609324,0.007858652390637773,1,1,1,1
1,-1,1.0,0,0.0,1,-1,0.9946409409434915,0.005359059056492433,1,0,1,1
0,1,-1.0,1,,1,2,0.9956377648634028,0.004362235136605495,1,0,1,1
1,-1,1.0,0,3.0,1,-1,0.9956637339549458,0.004336266045014624,1,0,1,1
0,1,-1.0,1,,1,2,0.9947327055689389,0.005267294431063454,1,0,1,1
0,-1,-1.0,0,,1,-1,0.9923478742327457,0.007652125767216698,1,1,1,1
1,-1,1.0,0,-2.0,1,-1,0.9932291564287583,0.006770843571252539,1,0,1,1
0,1,-1.0,1,,1,2,0.9923415635612016,0.007658436438783672,1,0,1,1
1,-1,2.5,0,-10.0,1,-1,0.9892114677575351,0.010788532242511611,1,0,1,1
0,1,-1.0,2,,1,3,0.9862083924159186,0.013791607584037564,1,0,1,1
0,-1,-1.0,0,,1,-1,0.978646088045372,0.021353911954636463,1,1,1,1
0,-1,-1.0,0,,1,-1,0.9751148711807263,0.024885128819225638,1,1,1,1
1,-1,1.0,0,0.0,1,-1,0.9755126142639983,0.024487385735962344,1,0,1,1
1,1,1.0,1,-2.0,1,2,0.9702541198391128,0.02974588016086104,1,0,1,1
1,1,1.0,1,-3.0,1,2,0.9691016058158214,0.03089839418421323,1,0,1,1
0,1,-1.0,1,,1,2,0.9720217399328083,0.027978260067224942,1,0,1,1
0,-1,-1.0,0,,1,-1,0.9689275963235869,0.03107240367637063,1,1,1,1
1,-1,2.5,0,10.0,1,-1,0.9699124379901466,0.030087562009809422,1,0,1,1
1,1,1.0,2,1.0,1,3,0.9697932389364731,0.030206761063496807,1,0,1,1
1,1,1.0,1,1.0,1,2,0.9737487057945371,0.02625129420549294,1,0,1,1
0,1,-1.0,1,,1,2,0.9818932360047818,0.018106763995192465,1,0,1,1
1,-1,1.0,0,3.0,1,-1,0.9846753558618944,0.015324644138061573,1,0,1,1
1,1,1.0,1,2.0,1,2,0.9835796305958667,0.016420369404092857,1,0,1,1
0,1,-1.0,1,,1,2,0.9861331599790619,0.013866840020969565,1,0,1,1
0,-1,-1.0,0,,1,-1,0.9851143303796137,0.014885669620376404,1,1,1,1
1,-1,2.5,0,10.0,1,-1,0.9876888642239053,0.012311135776099763,1,0,1,1
0,1,-1.0,2,,1,3,0.990303809691363,0.009696190308595686,1,0,1,1
1,-1,1.0,0,3.0,1,-1,0.9902588608271111,0.009741139172920391,1,0,1,1
1,1,1.0,1,-2.0,1,2,0.9875300324956904,0.012469967504340389,1,0,1,1
0,1,-1.0,1,,1,2,0.9883017668394132,0.011698233160643126,1,0,1,1
1,-1,1.0,0,1.0,1,-1,0.9859795082568201,0.014020491743147621,1,0,1,1
1,1,1.0,1,3.0,1,2,0.9793240778041092,0.02067592219586318,1,0,1,1
1,1,1.0,1,0.0,1,2,0.9766197928404398,0.023380207159582674,1,0,1,1
1,1,1.0,1,2.0,1,2,0.9777884417942784,0.022211558205683917,1,0,1,1
0,1,-1.0,1,,1,2,0.98286382357104,0.017136176428995464,1,0,1,1
1,-1,1.0,0,0.0,1,-1,0.9834507685022327,0.01654923149781066,1,0,1,1
1,1,2.5,1,-10.0,1,2,0.9798624759040804,0.020137524095961173,1,0,1,1
1,1,1.0,2,3.0,1,3,0.9786031661888172,0.021396833811210415,1,0,1,1
1,1,1.0,1,-1.0,1,2,0.9811565456293577,0.018843454370698204,1,0,1,1
0,1,-1.0,1,,1,2,0.9875964614055217,0.012403538594463456,1,0,1,1
1,-1,1.0,0,3.0,1,-1,0.9900314961056735,0.009968503894334837,1,0,1,1
0,1,-1.0,1,,1,2,0.9897610070670463,0.010238992932987552,1,0,1,1
1,-1,1.0,0,3.0,1,-1,0.9866406588034925,0.013359341196491962,1,0,1,1
1,1,1.0,1,1.0,1,2,0.9790054042375519,0.020994595762397542,1,0,1,1
1,1,1.0,1,-2.0,1,2,0.9753974788251686,0.024602521174887305,1,0,1,1
1,1,1.0,1,2.0,1,2,0.975712536493208,0.02428746350684397,1,0,1,1
0,1,-1.0,1,,1,2,0.9799596891347077,0.02004031086524508,1,0,1,1
0,-1,-1.0,0,,1,-1,0.9793590004387526,0.020640999561258547,1,1,1,1
1,-1,2.5,0,-10.0,1,-1,0.9825576085835157,0.01744239141648341,1,0,1,1
0,1,-1.0,2,,1,3,0.9853557403300036,0.014644259670006389,1,0,1,1
1,-1,1.0,0,-1.0,1,-1,0.9844088142858615,0.015591185714183277,1,0,1,1
0,1,-1.0,1,,1,2,0.9792115418391384,0.020788458160844944,1,0,1,1
0,-1,-1.0,0,,1,-1,0.966990609703194,0.03300939029676769,1,1,1,1
0,-1,-1.0,0,,1,-1,0.9594265103602321,0.04057348963973239,1,1,1,1
1,-1,2.5,0,10.0,1,-1,0.9563004798472476,0.043699520152721015,1,0,1,1
1,1,1.0,2,1.0,1,3,0.9511910142418524,0.048808985758189295,1,0,1,1
1,1,1.0,1,0.0,1,2,0.9505607107594457,0.04943928924060795,1,0,1,1
1,1,1.0,1,3.0,1,2,0.9543913401725004,0.04560865982747037,1,0,1,1
1,1,1.0,1,-3.0,1,2,0.9627936894544683,0.03720631054558699,1,0,1,1
0,1,-1.0,1,,1,2,0.9760107658877532,0.02398923411226762,1,0,1,1
1,-1,1.0,0,-2.0,1,-1,0.981508409306169,0.018491590693775786,1,0,1,1
1,1,2.5,1,10.0,1,2,0.982220213762369,0.017779786237668547,1,0,1,1
0,1,-1.0,2,,1,3,0.9852679852084774,0.01473201479147557,1,0,1,1
0,-1,-1.0,0,,1,-1,0.9845341483146659,0.015465851685364894,1,1,1,1
1,-1,1.0,0,-3.0,1,-1,0.9874204396962396,0.01257956030375705,1,0,1,1
0,1,-1.0,1,,1,2,0.9869761744302179,0.013023825569739448,1,0,1,1
0,-1,-1.0,0,,1,-1,0.9829642884070505,0.017035711592931636,1,1,1,1
0,-1,-1.0,0,,1,-1,0.9826587304888194,0.01734126951121991,1,1,1,1
1,-1,1.0,0,2.0,1,-1,0.9860506635280057,0.013949336472039582,1,0,1,1
1,1,1.0,1,0.0,1,2,0.9857800511309502,0.014219948869027242,1,0,1,1
0,1,1.0,1,-1.0,1,2,0.9890932564015553,0.010906743598405547,0,0,0,1
1,-1,2.5,1,10.0,1,0,0.9862055536773099,0.013794446322691526,1,0,1,1
1,1,1.0,2,-3.0,1,3,0.9832018508858023,0.01679814911422609,1,0,1,1
0,1,-1.0,1,,1,2,0.9838680962718644,0.016131903728184585,1,0,1,1
1,-1,1.0,0,-3.0,1,-1,0.980452936715694,0.0195470632842601,1,0,1,1
0,1,-1.0,1,,1,2,0.9711340110713035,0.028865988928720266,1,0,1,1
0,-1,-1.0,0,,1,-1,0.9509386532769213,0.04906134672312918,1,1,1,1
0,-1,-1.0,0,,1,-1,0.9364202565543593,0.06357974344568386,1,1,1,1
0,-1,-1.0,0,,1,-1,0.9271589292736091,0.07284107072644726,1,1,1,1
0,-1,-1.0,0,,1,-1,0.9228868213487222,0.07711317865130042,1,1,1,1
0,-1,-1.0,0,,1,-1,0.9234803776521393,0.0765196223478923,1,1,1,1
0,-1,-1.0,0,,1,-1,0.9289567646332504,0.07104323536674625,1,1,1,1
1,-1,1.0,0,3.0,1,-1,0.9394743667956531,0.06052563320436861,1,0,1,1
1,1,2.5,1,-10.0,1,2,0.9396045743993944,0.060395425600605276,1,0,1,1
1,1,1.0,2,-1.0,1,3,0.94191310256229,0.05808689743767053,1,0,1,1
1,1,1.0,1,3.0,1,2,0.9489135323980739,0.05108646760192266,1,0,1,1
0,1,-1.0,1,,1,2,0.9608083257866366,0.039191674213346205,1,0,1,1
1,-1,1.0,0,-1.0,1,-1,0.9639100445644136,0.036089955435610645,1,0,1,1
0,1,1.0,1,-2.0,1,2,0.9598737949406769,0.04012620505936572,0,0,0,1
0,-1,-1.0,1,,1,0,0.9367627238749678,0.0632372761250394,1,1,1,1
0,-1,-1.0,0,,1,-1,0.9197696735066538,0.08023032649338013,1,1,1,1
1,-1,1.0,0,2.0,1,-1,0.9084031818818558,0.09159681811818948,1,0,1,1
1,1,1.0,1,2.0,1,2,0.8788945705816944,0.1211054294183103,1,0,1,1
0,1,-1.0,1,,1,2,0.8565011210734351,0.14349887892653532,1,0,1,1
1,-1,1.0,0,0.0,1,-1,0.8050893579890686,0.1949106420109266,1,0,1,1
0,1,-1.0,1,,1,2,0.6972254827116748,0.3027745172883174,1,0,1,1
0,-1,1.0,0,-3.0,1,-1,0.47535232048472503,0.5246476795152292,0,1,0,2
0,-1,1.0,1,3.0,1,0,0.3869999837639533,0.6130000162360525,0,1,0,2
0,-1,1.0,1,1.0,1,0,0.3566177977915648,0.6433822022084582,0,1,0,2
0,-1,1.0,1,2.0,1,0,0.35822575189629036,0.6417742481037273,0,1,0,2
0,-1,-1.0,1,,1,0,0.39319881840030924,0.6068011815997069,1,1,1,2
0,-1,1.0,0,3.0,1,-1,0.43562044847873455,0.5643795515212217,0,1,0,2
