,response,previous_response,contrast,previous_contrast,orientation,ID,predictor,Gl_Prob_State_ext,Gl_Prob_State_int,correct,prev_resp_congruent,contrast_congruent,Predicted_state
0,1,0,2.5,0,-10.0,1,0,0.9804685544024848,0.0195314455974812,1,0,1,1
1,0,1,-1.0,2,,1,3,0.988314205515328,0.0116857944847238,1,0,1,1
2,1,-1,1.0,0,-2.0,1,-1,0.9918383162247064,0.0081616837752512,1,0,1,1
3,0,1,-1.0,1,,1,2,0.9929213850337058,0.0070786149662507,1,0,1,1
4,0,-1,-1.0,0,,1,-1,0.992141347609324,0.0078586523906377,1,1,1,1
5,1,-1,1.0,0,0.0,1,-1,0.9946409409434916,0.0053590590564924,1,0,1,1
6,0,1,-1.0,1,,1,2,0.9956377648634028,0.0043622351366054,1,0,1,1
7,1,-1,1.0,0,3.0,1,-1,0.9956637339549458,0.0043362660450146,1,0,1,1
8,0,1,-1.0,1,,1,2,0.9947327055689388,0.0052672944310634,1,0,1,1
9,0,-1,-1.0,0,,1,-1,0.9923478742327456,0.0076521257672166,1,1,1,1
10,1,-1,1.0,0,-2.0,1,-1,0.9932291564287584,0.0067708435712525,1,0,1,1
11,0,1,-1.0,1,,1,2,0.9923415635612016,0.0076584364387836,1,0,1,1
12,1,-1,2.5,0,-10.0,1,-1,0.9892114677575352,0.0107885322425116,1,0,1,1
13,0,1,-1.0,2,,1,3,0.9862083924159186,0.0137916075840375,1,0,1,1
14,0,-1,-1.0,0,,1,-1,0.978646088045372,0.0213539119546364,1,1,1,1
15,0,-1,-1.0,0,,1,-1,0.9751148711807264,0.0248851288192256,1,1,1,1
16,1,-1,1.0,0,0.0,1,-1,0.9755126142639984,0.0244873857359623,1,0,1,1
17,1,1,1.0,1,-2.0,1,2,0.9702541198391128,0.029745880160861,1,0,1,1
18,1,1,1.0,1,-3.0,1,2,0.9691016058158214,0.0308983941842132,1,0,1,1
19,0,1,-1.0,1,,1,2,0.9720217399328084,0.0279782600672249,1,0,1,1
20,0,-1,-1.0,0,,1,-1,0.9689275963235868,0.0310724036763706,1,1,1,1
21,1,-1,2.5,0,10.0,1,-1,0.9699124379901466,0.0300875620098094,1,0,1,1
22,1,1,1.0,2,1.0,1,3,0.9697932389364732,0.0302067610634968,1,0,1,1
23,1,1,1.0,1,1.0,1,2,0.9737487057945372,0.0262512942054929,1,0,1,1
24,0,1,-1.0,1,,1,2,0.9818932360047818,0.0181067639951924,1,0,1,1
25,1,-1,1.0,0,3.0,1,-1,0.9846753558618944,0.0153246441380615,1,0,1,1
26,1,1,1.0,1,2.0,1,2,0.9835796305958668,0.0164203694040928,1,0,1,1
27,0,1,-1.0,1,,1,2,0.986133159979062,0.0138668400209695,1,0,1,1
