perm_idx,state_idx,BIC
0,1,48827.92754706826
0,2,46349.42266679112
1,1,48827.92720545849
1,2,46386.32669509727
2,1,48827.926877810896
2,2,46349.44165821072
3,1,48827.92681356023
3,2,48892.718883198846
4,1,48827.92686338272
4,2,46376.05261715963
5,1,48827.92681359433
5,2,46385.93626160881
6,1,48827.92753098022
6,2,46461.81637316673
7,1,48827.92681355696
7,2,46383.828533279055
8,1,48827.927200002465
8,2,46361.53765057748
9,1,48827.92681587795
9,2,46373.262317228546
10,1,48827.92681355128
10,2,46359.26994363439
11,1,48827.9268139071
11,2,46370.06879393621
12,1,48827.93038167842
12,2,46356.82271472941
13,1,48827.931023003825
13,2,46345.50527085863
14,1,48827.92681358466
14,2,46341.18162811117
15,1,48827.92681362341
15,2,46364.76533349555
16,1,48827.92682747057
16,2,46367.911522262475
17,1,48827.926813554055
17,2,46373.32953688436
18,1,48827.9270948268
18,2,46355.23846914121
19,1,48827.926813575694
19,2,46371.5259597758
20,1,48827.92681359791
20,2,46362.89105506726
21,1,48827.926813606806
21,2,46394.98544135485
22,1,48827.92793883
22,2,46370.24707286848
23,1,48827.92682993063
23,2,46377.66183094545
24,1,48827.926813715254
24,2,46376.11012080545
25,1,48827.926814007624
25,2,46354.114361064945
26,1,48827.927240386256
26,2,46313.614312683225
27,1,48827.92681363497
27,2,46335.18339999787
28,1,48827.92684471963
28,2,46353.44104170347
29,1,48827.926816965715
29,2,46382.264184034924
30,1,48827.926821460336
30,2,46346.974740091435
31,1,48827.92730101012
31,2,46376.637717849575
32,1,48827.926818308566
32,2,46360.83639909283
33,1,48827.92683513675
33,2,46395.61772445905
34,1,48827.92681469688
34,2,46385.20760140734
35,1,48827.9268149865
35,2,46373.720900790875
36,1,48827.93010683801
36,2,46382.31565178723
37,1,48827.926824206166
37,2,46368.07870023041
38,1,48827.92686928649
38,2,46370.23096742317
39,1,48827.92681355525
39,2,46361.135476974676
40,1,48827.92681402033
40,2,46381.66731789659
41,1,48827.92681490689
41,2,46325.59497303571
42,1,48827.926813553786
42,2,46352.894513757434
43,1,48827.92686531846
43,2,46350.014623516894
44,1,48827.92681359619
44,2,46342.38577413919
45,1,48827.926813551036
45,2,46340.61339921179
46,1,48827.92681361942
46,2,46356.92861642467
47,1,48827.926813808524
47,2,46323.157361543635
48,1,48827.926815692015
48,2,46362.95821432808
49,1,48827.9268218845
49,2,46384.69334304177
50,1,48827.92681448378
50,2,46504.88415629924
51,1,48827.92681361734
51,2,46369.8377707856
52,1,48827.9268144473
52,2,46395.983619284016
53,1,48827.926964763035
53,2,46390.60640823411
54,1,48827.926813544844
54,2,46375.913492254025
55,1,48827.926813603604
55,2,46376.730109537726
56,1,48827.926813654885
56,2,46356.46481811607
57,1,48827.926814362574
57,2,46356.554008039246
58,1,48827.92681358156
58,2,46374.194938648405
59,1,48827.926813583224
59,2,46353.789911687185
60,1,48827.92681674528
60,2,46385.02306349851
61,1,48827.92681442288
61,2,46381.84267656909
62,1,48827.92708984797
62,2,46356.6641262125
63,1,48827.92689974283
63,2,46357.876716284416
64,1,48827.92681360523
64,2,46346.17743959752
65,1,48827.92683448421
65,2,46327.98400817421
66,1,48827.92681455179
66,2,46374.1483305237
67,1,48827.92681380999
67,2,46364.54193304583
68,1,48827.92681364673
68,2,46373.518841369325
69,1,48827.92682252098
69,2,46381.930869183416
70,1,48827.92681356077
70,2,46306.11626639466
71,1,48827.92681372312
71,2,46361.481488024045
72,1,48827.92681616403
72,2,46374.7840817425
73,1,48827.92681367688
73,2,46394.071081832226
74,1,48827.92681360705
74,2,46343.21923311087
75,1,48827.92681469563
75,2,46353.941415130175
76,1,48827.926813839695
76,2,46365.670188358126
77,1,48827.92681356579
77,2,46370.161554190156
78,1,48827.92716287249
78,2,46377.24773874683
79,1,48827.92681356403
79,2,46365.978193446834
80,1,48827.92682449925
80,2,46359.49601303928
81,1,48827.92681385103
81,2,46358.7717971647
82,1,48827.92908215473
82,2,46383.85558981179
83,1,48827.92681852195
83,2,46367.546515436115
84,1,48827.92681356206
84,2,46369.771154116555
85,1,48827.92681812396
85,2,46367.93566344493
86,1,48827.92681368081
86,2,46464.923560923606
87,1,48827.9271980813
87,2,46348.9624234522
88,1,48827.92681372545
88,2,46341.03531755742
89,1,48827.92681446066
89,2,46363.31375608716
90,1,48827.92681668732
90,2,46371.82050007361
91,1,48827.927541419
91,2,46343.39156948768
92,1,48827.92681356689
92,2,46367.44890207699
93,1,48827.930457519986
93,2,46364.52432834479
94,1,48827.926813936705
94,2,46329.54971942907
95,1,48827.92701590396
95,2,46380.790545446696
96,1,48827.92682199695
96,2,46363.33675553399
97,1,48827.92890717618
97,2,46359.21355978247
98,1,48827.92753807237
98,2,46320.68191511213
99,1,48827.92681391092
99,2,46355.57524920455
