,response,previous_response,contrast,previous_contrast,orientation,ID,predictor,Gl_Prob_State_ext,Gl_Prob_State_int,correct,prev_resp_congruent,contrast_congruent,Predicted_state
0,1,0,2,0,-10.0,1,0,0.007279031581267,0.992720968418776,1,0,1,2
1,0,1,-1,2,,1,3,0.0139432968005607,0.9860567031994388,1,0,1,2
2,1,-1,1,0,-2.0,1,-1,0.0155798737265112,0.984420126273463,1,0,1,2
3,0,1,-1,1,,1,2,0.024768279818707,0.9752317201813456,1,0,1,2
4,0,-1,-1,0,,1,-1,0.0278868443083847,0.972113155691567,1,1,1,2
5,1,-1,1,0,0.0,1,-1,0.0260586973908422,0.9739413026091158,1,0,1,2
6,0,1,-1,1,,1,2,0.0330652125393887,0.9669347874605664,1,0,1,2
7,1,-1,1,0,3.0,1,-1,0.0338800051571154,0.9661199948429092,1,0,1,2
8,0,1,-1,1,,1,2,0.0461321837488857,0.9538678162510864,1,0,1,2
9,0,-1,-1,0,,1,-1,0.0509346436297181,0.9490653563703128,1,1,1,2
10,1,-1,1,0,-2.0,1,-1,0.0498620296154989,0.9501379703845184,1,0,1,2
11,0,1,-1,1,,1,2,0.0622176006952644,0.93778239930474,1,0,1,2
12,1,-1,2,0,-10.0,1,-1,0.0665967164161373,0.9334032835838214,1,0,1,2
13,0,1,-1,2,,1,3,0.0680699737797432,0.931930026220277,1,0,1,2
14,0,-1,-1,0,,1,-1,0.0620163429359267,0.9379836570640258,1,1,1,2
15,0,-1,-1,0,,1,-1,0.0490495108185443,0.9509504891814128,1,1,1,2
16,1,-1,1,0,0.0,1,-1,0.0281031606426589,0.971896839357389,1,0,1,2
17,1,1,1,1,-2.0,1,2,0.0217608271245131,0.9782391728754676,1,1,1,2
18,1,1,1,1,-3.0,1,2,0.0216564523821296,0.9783435476179002,1,1,1,2
19,0,1,-1,1,,1,2,0.0277171558916251,0.9722828441084054,1,0,1,2
20,0,-1,-1,0,,1,-1,0.0279565168647536,0.97204348313527,1,1,1,2
21,1,-1,2,0,10.0,1,-1,0.0231859388953279,0.9768140611046974,1,0,1,2
22,1,1,1,2,1.0,1,3,0.015654776600696,0.9843452233993332,1,1,1,2
23,1,1,1,1,1.0,1,2,0.0137112021506202,0.9862887978493274,1,1,1,2
24,0,1,-1,1,,1,2,0.0159980986710949,0.9840019013289274,1,0,1,2
25,1,-1,1,0,3.0,1,-1,0.0134403745375252,0.9865596254624214,1,0,1,2
26,1,1,1,1,2.0,1,2,0.0164821715950128,0.9835178284049778,1,1,1,2
27,0,1,-1,1,,1,2,0.0258563863633398,0.9741436136366944,1,0,1,2
28,0,-1,-1,0,,1,-1,0.0290764360749568,0.9709235639250292,1,1,1,2
29,1,-1,2,0,10.0,1,-1,0.0272927333576838,0.9727072666422762,1,0,1,2
30,0,1,-1,2,,1,3,0.0228003424612688,0.977199657538681,1,0,1,2
31,1,-1,1,0,3.0,1,-1,0.0120593589504478,0.9879406410495633,1,0,1,2
32,1,1,1,1,-2.0,1,2,0.0088977206271155,0.991102279372842,1,1,1,2
33,0,1,-1,1,,1,2,0.0088857167776597,0.9911142832222962,1,0,1,2
34,1,-1,1,0,1.0,1,-1,0.0045859583185875,0.99541404168136,1,0,1,2
35,1,1,1,1,3.0,1,2,0.0033555863241105,0.9966444136758438,1,1,1,2
36,1,1,1,1,0.0,1,2,0.0032097430272124,0.996790256972832,1,1,1,2
37,1,1,1,1,2.0,1,2,0.0040465921441447,0.9959534078558808,1,1,1,2
38,0,1,-1,1,,1,2,0.0064504704660959,0.9935495295339506,1,0,1,2
39,1,-1,1,0,0.0,1,-1,0.004985493224362,0.9950145067756,1,0,1,2
40,1,1,2,1,-10.0,1,2,0.006122206823627,0.9938777931763848,1,1,1,2
41,1,1,1,2,3.0,1,3,0.0049260016405948,0.9950739983594518,1,1,1,2
42,1,1,1,1,-1.0,1,2,0.0054409200499751,0.9945590799500722,1,1,1,2
43,0,1,-1,1,,1,2,0.008026508073834,0.9919734919261896,1,0,1,2
44,1,-1,1,0,3.0,1,-1,0.0065415769320808,0.9934584230679634,1,0,1,2
45,0,1,-1,1,,1,2,0.0083387657880765,0.9916612342118736,1,0,1,2
46,1,-1,1,0,3.0,1,-1,0.0060353734996434,0.9939646265003468,1,0,1,2
47,1,1,1,1,1.0,1,2,0.0068456501243997,0.9931543498755826,1,1,1,2
48,1,1,1,1,-2.0,1,2,0.0103330478056139,0.9896669521944316,1,1,1,2
49,1,1,1,1,2.0,1,2,0.0189326707089038,0.9810673292910704,1,1,1,2
50,0,1,-1,1,,1,2,0.0386492763838386,0.9613507236161956,1,0,1,2
51,0,-1,-1,0,,1,-1,0.0496176020039813,0.950382397996055,1,1,1,2
52,1,-1,2,0,-10.0,1,-1,0.0542341785061473,0.9457658214938012,1,0,1,2
53,0,1,-1,2,,1,3,0.0559869692016745,0.9440130307983112,1,0,1,2
54,1,-1,1,0,-1.0,1,-1,0.0506753816478573,0.9493246183521002,1,0,1,2
55,0,1,-1,1,,1,2,0.0580458681258321,0.941954131874136,1,0,1,2
56,0,-1,-1,0,,1,-1,0.0581537600317769,0.9418462399681676,1,1,1,2
57,0,-1,-1,0,,1,-1,0.0521154779629962,0.9478845220369596,1,1,1,2
58,1,-1,2,0,10.0,1,-1,0.0394344687549401,0.9605655312451103,1,0,1,2
59,1,1,1,2,1.0,1,3,0.0235568916143316,0.97644310838569,1,1,1,2
60,1,1,1,1,0.0,1,2,0.0174417054137226,0.982558294586248,1,1,1,2
61,1,1,1,1,3.0,1,2,0.0168189310019424,0.9831810689980384,1,1,1,2
62,1,1,1,1,-3.0,1,2,0.0212537110145601,0.9787462889854608,1,1,1,2
63,0,1,-1,1,,1,2,0.0338426671361318,0.966157332863897,1,0,1,2
64,1,-1,1,0,-2.0,1,-1,0.0393648991369669,0.9606351008630408,1,0,1,2
65,1,1,2,1,10.0,1,2,0.0607553875104866,0.939244612489467,1,1,1,2
66,0,1,-1,2,,1,3,0.0789578127696338,0.921042187230406,1,0,1,2
67,0,-1,-1,0,,1,-1,0.0877652208385311,0.9122347791614808,1,1,1,2
68,1,-1,1,0,-3.0,1,-1,0.0895404692968716,0.9104595307031208,1,0,1,2
69,0,1,-1,1,,1,2,0.1113600759577494,0.8886399240421944,1,0,1,2
70,0,-1,-1,0,,1,-1,0.1224951368055048,0.8775048631944662,1,1,1,2
71,0,-1,-1,0,,1,-1,0.1258098191865958,0.8741901808133623,1,1,1,2
72,1,-1,1,0,2.0,1,-1,0.1215767032831017,0.8784232967168536,1,0,1,2
73,1,1,1,1,0.0,1,2,0.1381251818404706,0.8618748181594887,1,1,1,2
74,0,1,1,1,-1.0,1,2,0.1832856635735986,0.8167143364263475,0,0,0,2
75,1,-1,2,1,10.0,1,0,0.1853899246496361,0.8146100753503507,1,0,1,2
76,1,1,1,2,-3.0,1,3,0.1844978459908562,0.815502154009169,1,1,1,2
77,0,1,-1,1,,1,2,0.2044062573469829,0.7955937426529619,1,0,1,2
78,1,-1,1,0,-3.0,1,-1,0.212786054562472,0.7872139454375439,1,0,1,2
79,0,1,-1,1,,1,2,0.2558011839552106,0.7441988160447892,1,0,1,2
80,0,-1,-1,0,,1,-1,0.2823397567717698,0.7176602432282574,1,1,1,2
81,0,-1,-1,0,,1,-1,0.2979701374488448,0.7020298625511233,1,1,1,2
82,0,-1,-1,0,,1,-1,0.3039776774987205,0.6960223225012765,1,1,1,2
83,0,-1,-1,0,,1,-1,0.3008564020412445,0.6991435979587243,1,1,1,2
84,0,-1,-1,0,,1,-1,0.2883496355537833,0.7116503644462132,1,1,1,2
85,0,-1,-1,0,,1,-1,0.2654288943704734,0.7345711056295194,1,1,1,2
86,1,-1,1,0,3.0,1,-1,0.2302093101730015,0.7697906898270042,1,0,1,2
87,1,1,2,1,-10.0,1,2,0.2268349029213921,0.7731650970786111,1,1,1,2
88,1,1,1,2,-1.0,1,3,0.2208374852597749,0.779162514740211,1,1,1,2
89,1,1,1,1,3.0,1,2,0.2362923344216537,0.7637076655783694,1,1,1,2
