stim*contrast,previous,bias
-19.707090424900613,-0.11119465276316734,-0.2058995308303181
-19.706788536098504,-0.1111966625095898,-0.20589601770667695
-19.705294848258248,-0.11118286750208933,-0.20588282179306214
-19.70736085011249,-0.11119203460958306,-0.2059043632537025
-19.70753978166818,-0.11119577970297621,-0.20590566172513083
-19.707374738954893,-0.11119493919273805,-0.20590400630906724
-19.707555662581278,-0.11119718207334289,-0.20590515854236105
-19.70745946332977,-0.11119371573476833,-0.20590569751795948
-19.70780190326511,-0.11119722499605329,-0.20590818094425464
-19.70774307259506,-0.1111967770621502,-0.20590930775669658
-19.707607775611855,-0.11119619705285856,-0.20590627742906606
-19.642978838565817,-0.11097824408392788,-0.20552159462936007
-19.70750814909279,-0.11119339748548814,-0.20590572600987633
-19.707632466898172,-0.11119636106557468,-0.20590650017379536
-19.70742128199985,-0.11119523170864189,-0.20590444940825567
-19.70777945652285,-0.1111970816291692,-0.20590790275039125
-19.707600147960132,-0.11119614638255179,-0.20590620293834638
-19.707577351287874,-0.11119493912013481,-0.2059079818007569
-19.707733135935324,-0.1111968563342483,-0.20590749919291582
-19.70767405978959,-0.11119689163512714,-0.20590708881805417
-19.707332545211877,-0.11119464880770712,-0.20590355938998978
-19.707779411598597,-0.1111966021067915,-0.20590885628146063
-19.61954570506397,-0.11093594500850122,-0.2053646886813405
-19.707215735116502,-0.11119406795416449,-0.20590242134873646
-19.70695634764643,-0.11119543897389132,-0.20589724563707196
-19.707324330769215,-0.11119194371853366,-0.20590399743440793
-19.707781799511732,-0.11119709705442479,-0.205908006513172
-19.70749432162001,-0.11119612559067034,-0.20590564181723753
-19.707943171980926,-0.11119746225073354,-0.20590951167413604
-19.707923033896428,-0.11119792848301041,-0.20590930729558993
-19.70751007802081,-0.11119561120400812,-0.20590535913524008
-19.707941662002874,-0.11119846860458421,-0.2059091188620147
-19.707732613774503,-0.1111962299169353,-0.20590824854577605
-19.70745231504527,-0.11119531885021218,-0.20590476275849892
-19.707404484983844,-0.11119510237314986,-0.2059042911872131
-19.70759572009861,-0.11119607235820059,-0.20590618690180565
-19.70768994162903,-0.11119660611304297,-0.2059071034375397
-19.70729327389853,-0.11119440874721291,-0.20590305004288453
-19.707162460469505,-0.11119369996976632,-0.20590194548855284
-19.707210110458583,-0.11119657848773568,-0.2059013228368563
-19.707877280526354,-0.11119852904984345,-0.20590840372941077
-19.707627070382664,-0.11119490210659691,-0.20590629099133176
-19.70743850768505,-0.11119316649027781,-0.20590705334966983
-19.70798778576442,-0.11119826637682186,-0.2059099196442057
-19.707725777265342,-0.1111968384239136,-0.20590739805995534
-19.707889475741368,-0.1111966540275711,-0.20590911412974067
-19.70788550945759,-0.11119762555671905,-0.20590900024761036
-19.707381788772114,-0.11119497979794556,-0.20590407831182458
-19.707945600775552,-0.11119800812800662,-0.20590954653382923
-19.707571314215507,-0.11119595126929728,-0.20590596454899568
-19.706770258439708,-0.11118720497588983,-0.2058990728932655
-19.707839145705528,-0.11119734757037135,-0.2059085875514668
-19.707694979616768,-0.11119538829656948,-0.2059088150500178
-19.707930022560273,-0.11119791426123672,-0.20590939969522595
-19.707371332714597,-0.11119467226801825,-0.20590373277373986
-19.707472013945583,-0.11119442655116901,-0.20590508315179828
-19.707483841443146,-0.11119166489449091,-0.20590640539801291
-19.706776593563983,-0.11119483799205951,-0.20589492829186046
-19.70654713925433,-0.11119512849956878,-0.20589177055177538
-19.707290615812102,-0.11119452647122148,-0.20590316049928076
-19.707831057083727,-0.11119736390336371,-0.20590844855646076
-19.706936193541416,-0.11119264079670768,-0.20589956753680796
-19.70764673197159,-0.11119554586016729,-0.2059060920324998
-19.70787731211461,-0.11119768934076046,-0.2059088284912585
-19.707796618776012,-0.11119710935771951,-0.20590815367578164
-19.707632915740806,-0.11119634547559872,-0.20590652697124995
-19.70699972148341,-0.1111927566501611,-0.20590034178132705
-19.70704716441542,-0.1111970385969013,-0.2058986266235757
-19.70754061115279,-0.11119583755292572,-0.20590562258505105
-19.70792783352072,-0.11119787886174182,-0.20590939571838335
-19.70652899713935,-0.11119078383992201,-0.2058967302335282
-19.707521034076883,-0.11119567765282491,-0.20590547562312533
-19.707434785188315,-0.11119526985257923,-0.2059045770421934
-19.707537252156797,-0.11119442184341068,-0.205906914053362
-19.70672447759749,-0.11119469401020259,-0.2058931602548185
-19.707916166696783,-0.1111976010473321,-0.20590932179889168
-19.707491699604553,-0.11119551377936955,-0.2059051692460186
-19.70770150501007,-0.11119677606899188,-0.2059071159564415
-19.707233994662314,-0.11119123403302683,-0.20590314963849887
-19.70781169143815,-0.1111972735833308,-0.2059082718417198
-19.707804046153587,-0.11119721429713007,-0.20590826828968184
-19.707800120049825,-0.11119800660336134,-0.205907366180248
-19.707229880929223,-0.11119415196870353,-0.2059025678569418
-19.70752503116114,-0.11119570024291124,-0.2059055195917258
-19.707699550417388,-0.111196630479853,-0.20590721509566856
-19.707501063563388,-0.11119474031577355,-0.20590697880742972
-19.707766205696817,-0.11119838181802803,-0.2059072595908959
-19.707143565482035,-0.11119357026232173,-0.20590172005994883
-19.70704090181016,-0.11119301155166707,-0.20590077320420003
-19.707799969405002,-0.11119711975599683,-0.20590817484780502
-19.707504910731256,-0.11119466577442629,-0.20590464109941187
-19.70776751973789,-0.11119826276546363,-0.20590702209073003
-19.707877613204268,-0.11119764239401708,-0.20590891051898
-19.707141926474442,-0.11119368316449742,-0.2059016307745267
-19.70747410643054,-0.11119538788882292,-0.2059051371020307
-19.70763009660654,-0.11119628237014773,-0.20590653977460863
-19.70770042570809,-0.11119834278227284,-0.20590630866766693
-19.707550441162343,-0.11119582934288401,-0.20590574499010886
-19.707912471209955,-0.11119822503398531,-0.2059089790105642
-19.707392798674206,-0.11119504456330656,-0.20590417537052877
