stim*contrast,previous,bias
-19.707090424900606,-0.11119465276316733,-0.2058995308303181
-19.706788536098507,-0.11119666250958991,-0.20589601770667698
-19.70529484825825,-0.1111828675020893,-0.2058828217930621
-19.70736085011249,-0.11119203460958306,-0.2059043632537025
-19.70753978166818,-0.11119577970297614,-0.2059056617251308
-19.707374738954897,-0.11119493919273805,-0.20590400630906722
-19.707555662581278,-0.11119718207334277,-0.20590515854236113
-19.70745946332977,-0.11119371573476827,-0.2059056975179596
-19.70780190326511,-0.11119722499605325,-0.2059081809442548
-19.707743072595065,-0.11119677706215025,-0.20590930775669664
-19.707607775611855,-0.11119619705285856,-0.20590627742906606
-19.64297883856582,-0.11097824408392787,-0.20552159462936004
-19.707508149092792,-0.11119339748548819,-0.2059057260098764
-19.707632466898172,-0.11119636106557472,-0.20590650017379533
-19.707421281999853,-0.1111952317086419,-0.20590444940825575
-19.707779456522854,-0.11119708162916932,-0.2059079027503912
-19.707600147960132,-0.11119614638255179,-0.2059062029383464
-19.707577351287874,-0.11119493912013481,-0.20590798180075695
-19.70773313593532,-0.11119685633424821,-0.20590749919291584
-19.707674059789596,-0.11119689163512708,-0.205907088818054
-19.70733254521188,-0.11119464880770713,-0.2059035593899897
-19.707779411598597,-0.11119660210679148,-0.20590885628146052
-19.619545705063974,-0.11093594500850129,-0.2053646886813405
-19.7072157351165,-0.11119406795416442,-0.2059024213487365
-19.706956347646432,-0.11119543897389127,-0.20589724563707196
-19.707324330769218,-0.11119194371853366,-0.205903997434408
-19.707781799511736,-0.11119709705442476,-0.20590800651317195
-19.70749432162001,-0.11119612559067042,-0.20590564181723747
-19.70794317198093,-0.11119746225073346,-0.20590951167413596
-19.707923033896424,-0.11119792848301045,-0.20590930729558982
-19.70751007802081,-0.111195611204008,-0.20590535913524008
-19.70794166200287,-0.1111984686045842,-0.20590911886201474
-19.707732613774503,-0.11119622991693533,-0.20590824854577605
-19.707452315045273,-0.11119531885021221,-0.20590476275849892
-19.707404484983844,-0.11119510237314983,-0.2059042911872131
-19.707595720098613,-0.11119607235820055,-0.20590618690180557
-19.707689941629027,-0.11119660611304294,-0.2059071034375397
-19.70729327389853,-0.11119440874721281,-0.20590305004288462
-19.7071624604695,-0.1111936999697663,-0.20590194548855284
-19.707210110458583,-0.11119657848773565,-0.20590132283685644
-19.707877280526358,-0.11119852904984344,-0.20590840372941077
-19.70762707038266,-0.11119490210659687,-0.20590629099133187
-19.70743850768505,-0.11119316649027772,-0.20590705334966972
-19.707987785764423,-0.11119826637682181,-0.20590991964420569
-19.707725777265345,-0.11119683842391356,-0.20590739805995537
-19.707889475741368,-0.11119665402757105,-0.2059091141297406
-19.707885509457594,-0.11119762555671908,-0.20590900024761025
-19.707381788772114,-0.11119497979794557,-0.2059040783118246
-19.707945600775552,-0.11119800812800665,-0.20590954653382917
-19.707571314215503,-0.1111959512692973,-0.20590596454899573
-19.706770258439704,-0.11118720497589005,-0.20589907289326548
-19.707839145705528,-0.11119734757037134,-0.2059085875514668
-19.707694979616768,-0.11119538829656951,-0.20590881505001776
-19.707930022560273,-0.11119791426123674,-0.2059093996952259
-19.707371332714597,-0.11119467226801832,-0.2059037327737398
-19.707472013945576,-0.11119442655116897,-0.2059050831517982
-19.70748384144315,-0.11119166489449109,-0.20590640539801286
-19.706776593563983,-0.11119483799205947,-0.20589492829186054
-19.706547139254333,-0.11119512849956893,-0.2058917705517753
-19.707290615812102,-0.11119452647122151,-0.20590316049928076
-19.707831057083727,-0.11119736390336371,-0.2059084485564608
-19.70693619354142,-0.11119264079670771,-0.2058995675368079
-19.707646731971586,-0.11119554586016717,-0.20590609203249968
-19.70787731211461,-0.11119768934076041,-0.2059088284912584
-19.707796618776015,-0.11119710935771956,-0.20590815367578164
-19.707632915740806,-0.11119634547559869,-0.2059065269712499
-19.70699972148341,-0.11119275665016108,-0.20590034178132705
-19.707047164415425,-0.11119703859690126,-0.20589862662357566
-19.70754061115279,-0.11119583755292577,-0.20590562258505107
-19.70792783352072,-0.1111978788617418,-0.20590939571838335
-19.70652899713935,-0.11119078383992205,-0.20589673023352814
-19.70752103407688,-0.11119567765282487,-0.20590547562312528
-19.70743478518832,-0.11119526985257923,-0.20590457704219348
-19.707537252156794,-0.11119442184341066,-0.20590691405336203
-19.70672447759749,-0.11119469401020268,-0.2058931602548185
-19.707916166696787,-0.11119760104733206,-0.2059093217988916
-19.70749169960455,-0.11119551377936955,-0.20590516924601857
-19.707701505010075,-0.11119677606899192,-0.20590711595644146
-19.707233994662317,-0.11119123403302689,-0.20590314963849882
-19.707811691438145,-0.11119727358333084,-0.20590827184171978
-19.707804046153587,-0.11119721429712998,-0.2059082682896818
-19.707800120049818,-0.11119800660336124,-0.20590736618024794
-19.70722988092922,-0.11119415196870355,-0.20590256785694172
-19.70752503116114,-0.11119570024291121,-0.2059055195917258
-19.707699550417384,-0.11119663047985284,-0.20590721509566862
-19.707501063563388,-0.11119474031577355,-0.20590697880742978
-19.70776620569682,-0.11119838181802803,-0.20590725959089598
-19.707143565482035,-0.11119357026232171,-0.20590172005994886
-19.70704090181016,-0.11119301155166701,-0.20590077320420005
-19.707799969405002,-0.1111971197559968,-0.205908174847805
-19.707504910731256,-0.11119466577442608,-0.20590464109941192
-19.70776751973789,-0.1111982627654637,-0.20590702209073009
-19.707877613204268,-0.1111976423940171,-0.20590891051898003
-19.707141926474442,-0.11119368316449746,-0.20590163077452667
-19.70747410643054,-0.1111953878888229,-0.2059051371020307
-19.707630096606536,-0.11119628237014768,-0.2059065397746086
-19.707700425708087,-0.1111983427822728,-0.20590630866766685
-19.707550441162343,-0.11119582934288409,-0.20590574499010886
-19.707912471209955,-0.11119822503398531,-0.20590897901056415
-19.70739279867421,-0.11119504456330655,-0.20590417537052885
