stim*contrast,previous,bias
-19.707090424900613,-0.11119465276316712,-0.2058995308303181
-19.706788536098504,-0.1111966625095898,-0.20589601770667698
-19.705294848258248,-0.11118286750208943,-0.20588282179306228
-19.70736085011249,-0.11119203460958284,-0.20590436325370262
-19.707539781668185,-0.11119577970297623,-0.20590566172513086
-19.70737473895489,-0.11119493919273818,-0.20590400630906727
-19.707555662581278,-0.11119718207334268,-0.20590515854236102
-19.707459463329766,-0.11119371573476824,-0.2059056975179595
-19.70780190326511,-0.11119722499605321,-0.20590818094425475
-19.707743072595065,-0.11119677706215018,-0.2059093077566965
-19.707607775611855,-0.11119619705285859,-0.20590627742906623
-19.64297883856582,-0.11097824408392783,-0.20552159462935987
-19.70750814909279,-0.11119339748548804,-0.20590572600987633
-19.707632466898172,-0.11119636106557479,-0.20590650017379525
-19.707421281999853,-0.11119523170864185,-0.20590444940825578
-19.70777945652285,-0.1111970816291692,-0.20590790275039117
-19.707600147960132,-0.11119614638255187,-0.20590620293834638
-19.707577351287878,-0.11119493912013477,-0.20590798180075698
-19.707733135935324,-0.11119685633424807,-0.2059074991929158
-19.707674059789593,-0.1111968916351274,-0.20590708881805414
-19.707332545211877,-0.11119464880770699,-0.20590355938998975
-19.7077794115986,-0.1111966021067913,-0.20590885628146058
-19.619545705063974,-0.1109359450085014,-0.20536468868134028
-19.7072157351165,-0.1111940679541645,-0.2059024213487364
-19.706956347646425,-0.11119543897389136,-0.20589724563707193
-19.70732433076921,-0.1111919437185339,-0.20590399743440801
-19.70778179951174,-0.1111970970544247,-0.20590800651317184
-19.707494321620015,-0.11119612559067044,-0.20590564181723758
-19.70794317198093,-0.11119746225073346,-0.20590951167413601
-19.707923033896424,-0.11119792848301044,-0.20590930729558996
-19.707510078020807,-0.11119561120400819,-0.20590535913523994
-19.707941662002877,-0.11119846860458411,-0.20590911886201466
-19.7077326137745,-0.11119622991693533,-0.20590824854577613
-19.707452315045273,-0.11119531885021233,-0.20590476275849887
-19.707404484983844,-0.1111951023731498,-0.20590429118721293
-19.707595720098617,-0.11119607235820067,-0.20590618690180565
-19.707689941629027,-0.11119660611304286,-0.20590710343753976
-19.707293273898536,-0.11119440874721262,-0.20590305004288445
-19.707162460469505,-0.11119369996976633,-0.2059019454885529
-19.707210110458586,-0.11119657848773583,-0.20590132283685636
-19.707877280526354,-0.11119852904984337,-0.20590840372941077
-19.70762707038266,-0.11119490210659691,-0.2059062909913318
-19.70743850768505,-0.11119316649027787,-0.20590705334966972
-19.707987785764416,-0.11119826637682191,-0.20590991964420577
-19.707725777265345,-0.1111968384239136,-0.20590739805995534
-19.707889475741364,-0.11119665402757108,-0.20590911412974083
-19.707885509457597,-0.11119762555671905,-0.20590900024761044
-19.707381788772118,-0.11119497979794564,-0.20590407831182456
-19.707945600775552,-0.11119800812800662,-0.20590954653382917
-19.707571314215507,-0.11119595126929734,-0.20590596454899576
-19.706770258439704,-0.11118720497588995,-0.20589907289326556
-19.70783914570553,-0.1111973475703713,-0.20590858755146677
-19.70769497961677,-0.11119538829656954,-0.20590881505001776
-19.707930022560273,-0.11119791426123668,-0.20590939969522595
-19.7073713327146,-0.11119467226801844,-0.20590373277373974
-19.70747201394558,-0.11119442655116907,-0.20590508315179828
-19.707483841443153,-0.11119166489449177,-0.2059064053980122
-19.706776593563983,-0.11119483799205952,-0.2058949282918606
-19.70654713925433,-0.11119512849956892,-0.2058917705517753
-19.7072906158121,-0.11119452647122155,-0.20590316049928073
-19.707831057083727,-0.1111973639033637,-0.20590844855646095
-19.70693619354142,-0.11119264079670753,-0.20589956753680796
-19.707646731971586,-0.11119554586016732,-0.20590609203249988
-19.707877312114608,-0.11119768934076037,-0.20590882849125838
-19.707796618776015,-0.11119710935771955,-0.20590815367578172
-19.70763291574081,-0.11119634547559887,-0.20590652697125
-19.706999721483413,-0.11119275665016108,-0.205900341781327
-19.707047164415417,-0.11119703859690121,-0.20589862662357555
-19.70754061115279,-0.1111958375529258,-0.20590562258505096
-19.707927833520728,-0.11119787886174173,-0.20590939571838326
-19.70652899713935,-0.11119078383992205,-0.2058967302335281
-19.70752103407688,-0.11119567765282472,-0.2059054756231253
-19.707434785188315,-0.11119526985257938,-0.20590457704219348
-19.707537252156797,-0.11119442184341072,-0.20590691405336198
-19.706724477597486,-0.11119469401020264,-0.2058931602548185
-19.707916166696783,-0.11119760104733195,-0.2059093217988916
-19.707491699604546,-0.11119551377936965,-0.20590516924601865
-19.70770150501007,-0.11119677606899181,-0.2059071159564414
-19.707233994662317,-0.11119123403302693,-0.20590314963849896
-19.707811691438145,-0.11119727358333066,-0.2059082718417197
-19.707804046153587,-0.11119721429712996,-0.20590826828968173
-19.707800120049825,-0.11119800660336135,-0.2059073661802482
-19.70722988092922,-0.11119415196870354,-0.20590256785694158
-19.70752503116114,-0.11119570024291127,-0.20590551959172582
-19.707699550417388,-0.111196630479853,-0.20590721509566862
-19.707501063563388,-0.1111947403157735,-0.20590697880742967
-19.70776620569682,-0.11119838181802817,-0.20590725959089604
-19.70714356548204,-0.1111935702623216,-0.20590172005994894
-19.707040901810164,-0.11119301155166716,-0.2059007732042001
-19.707799969405002,-0.11119711975599691,-0.2059081748478048
-19.707504910731256,-0.1111946657744262,-0.20590464109941178
-19.707767519737885,-0.11119826276546362,-0.20590702209073
-19.70787761320427,-0.11119764239401692,-0.20590891051898
-19.707141926474446,-0.11119368316449738,-0.20590163077452667
-19.707474106430546,-0.11119538788882302,-0.20590513710203068
-19.707630096606536,-0.11119628237014767,-0.2059065397746086
-19.70770042570809,-0.11119834278227254,-0.20590630866766688
-19.707550441162343,-0.11119582934288436,-0.2059057449901089
-19.707912471209948,-0.11119822503398533,-0.205908979010564
-19.707392798674203,-0.11119504456330649,-0.20590417537052885
