,Unnamed: 0,block,resp,theta,previous,contrast,state,stim*contrast,ID,correct,trial,previous_congruent,stim*contrast_congruent,Gl_Prob_State_ext,Gl_Prob_State_int,Predicted_state
0,0,1,0,1,0,0.02,1,0.02,1,0,1,0,0,0.9999348265293828,6.517347018065333e-05,2
1,1,1,1,1,1,0.01,1,0.01,1,1,2,1,1,0.9516273890601832,0.0483726109407051,2
2,2,1,0,-1,-1,0.02,1,-0.02,1,1,3,1,1,0.8793316411789599,0.1206683588217612,2
3,3,1,1,-1,1,0.02,1,-0.02,1,0,4,1,0,0.754353405677868,0.2456465943230171,2
4,4,1,0,-1,-1,0.01,1,-0.01,1,1,5,1,1,0.5162470123762141,0.4837529876232679,2
5,5,1,0,1,1,0.1,1,0.1,1,0,6,0,0,0.070469458736447,0.9295305412643032,1
6,6,1,0,-1,1,0.05,1,-0.05,1,1,7,0,1,0.0151551400207547,0.9848448599797642,1
7,7,1,1,1,-1,0.1,1,0.1,1,1,8,0,1,0.005762338918336,0.9942376610816714,1
8,8,1,1,1,-1,0.05,1,0.05,1,1,9,0,1,0.0052241318258065,0.994775868173642,1
9,9,1,0,1,1,0.1,1,0.1,1,0,10,0,0,0.0145697737620063,0.9854302262381656,1
10,10,1,1,-1,1,0.02,1,-0.02,1,0,11,1,0,0.0961251046186719,0.9038748953804692,1
11,11,1,0,-1,-1,0.05,1,-0.05,1,1,12,1,1,0.1114374957362975,0.8885625042642973,1
12,12,1,0,-1,1,0.02,1,-0.02,1,1,13,0,1,0.07345832107935,0.926541678921398,1
13,13,1,0,-1,1,0.01,1,-0.01,1,1,14,0,1,0.1285124329584023,0.8714875670411216,1
14,14,1,1,-1,1,0.05,2,-0.05,1,0,15,1,0,0.5191137577423164,0.480886242258455,2
15,15,1,1,1,1,0.1,2,0.1,1,1,16,1,1,0.7100549484932545,0.2899450515074986,2
16,16,1,1,1,1,0.05,2,0.05,1,1,17,1,1,0.8259741038858064,0.174025896113367,2
17,17,1,1,-1,1,0.01,2,-0.01,1,0,18,1,0,0.8921728489407355,0.1078271510584583,2
18,18,1,0,1,-1,0.02,2,0.02,1,0,19,1,0,0.9253417351955072,0.0746582648052131,2
19,19,1,1,1,1,0.05,2,0.05,1,1,20,1,1,0.938367593114068,0.0616324068854351,2
20,20,1,0,-1,-1,0.1,2,-0.1,1,1,21,1,1,0.9428255728743524,0.0571744271264011,2
21,21,1,0,-1,-1,0.1,2,-0.1,1,1,22,1,1,0.9427747117566626,0.0572252882427907,2
22,22,1,1,1,1,0.01,2,0.01,1,1,23,1,1,0.9382006915770216,0.0617993084233497,2
23,23,1,0,-1,-1,0.1,2,-0.1,1,1,24,1,1,0.9220866847785674,0.0779133152212693,2
