,ID,resp,theta,previous,contrast,state,stim*contrast,block,correct,trial,previous_congruent,stim*contrast_congruent,Gl_Prob_State_ext,Gl_Prob_State_int,Predicted_state
0,1,0,1,0,0.02,2,0.02,1,0,1,0,0,0.5021209016394388,0.4978790983605886,1
1,1,1,1,1,0.01,2,0.01,1,1,2,1,1,0.5641325715776149,0.4358674284223722,1
2,1,0,-1,-1,0.02,2,-0.02,1,1,3,1,1,0.5643808092013382,0.4356191907986814,1
3,1,1,-1,1,0.02,2,-0.02,1,0,4,1,0,0.5045933808279309,0.4954066191720699,1
4,1,0,-1,-1,0.01,2,-0.01,1,1,5,1,1,0.3513586284288517,0.6486413715711382,2
5,1,0,1,1,0.1,2,0.1,1,0,6,0,0,0.0470547156495234,0.9529452843504678,2
6,1,0,-1,1,0.05,2,-0.05,1,1,7,0,1,0.0106946691108742,0.9893053308891476,2
7,1,1,1,-1,0.1,2,0.1,1,1,8,0,1,0.005022645531046,0.9949773544689772,2
8,1,1,1,-1,0.05,2,0.05,1,1,9,0,1,0.0050868102915122,0.9949131897084792,2
9,1,0,1,1,0.1,2,0.1,1,0,10,0,0,0.0139263491034823,0.986073650896496,2
10,1,1,-1,1,0.02,2,-0.02,1,0,11,1,0,0.0942261612226981,0.9057738387772792,2
11,1,0,-1,-1,0.05,2,-0.05,1,1,12,1,1,0.1084926124909399,0.8915073875090588,2
12,1,0,-1,1,0.02,2,-0.02,1,1,13,0,1,0.0702249579096555,0.929775042090342,2
13,1,0,-1,1,0.01,2,-0.01,1,1,14,0,1,0.1245221770920115,0.8754778229079991,2
14,1,1,-1,1,0.05,1,-0.05,1,0,15,1,0,0.5205243351704775,0.4794756648295473,1
15,1,1,1,1,0.1,1,0.1,1,1,16,1,1,0.7124927599496546,0.2875072400503362,1
16,1,1,1,1,0.05,1,0.05,1,1,17,1,1,0.8282896785258099,0.1717103214741754,1
17,1,1,-1,1,0.01,1,-0.01,1,0,18,1,0,0.8938940615955548,0.1061059384044724,1
18,1,0,1,-1,0.02,1,0.02,1,0,19,1,0,0.9263287100776,0.0736712899223999,1
19,1,1,1,1,0.05,1,0.05,1,1,20,1,1,0.9392590041505444,0.0607409958494373,1
20,1,0,-1,-1,0.1,1,-0.1,1,1,21,1,1,0.9434328936578984,0.0565671063421105,1
21,1,0,-1,-1,0.1,1,-0.1,1,1,22,1,1,0.9433510227126376,0.0566489772873512,1
22,1,1,1,1,0.01,1,0.01,1,1,23,1,1,0.9389906392050829,0.0610093607949404,1
23,1,0,-1,-1,0.1,1,-0.1,1,1,24,1,1,0.922857046877894,0.0771429531221026,1
24,1,0,1,-1,0.05,1,0.05,1,0,25,1,0,0.8962033292251951,0.1037966707747975,1
25,1,1,1,1,0.02,1,0.02,1,1,26,1,1,0.8339435081868494,0.1660564918131787,1
26,1,1,1,1,0.1,1,0.1,1,1,27,1,1,0.7182385194537155,0.2817614805462911,1
27,1,0,-1,1,0.02,1,-0.02,1,1,28,0,1,0.5268951759515218,0.473104824048453,1
28,1,1,-1,1,0.02,1,-0.02,1,0,29,1,0,0.5754754111630455,0.4245245888369738,1
29,1,1,1,1,0.05,1,0.05,1,1,30,1,1,0.5602631718401795,0.4397368281598424,1
30,1,1,-1,-1,0.1,2,-0.1,1,0,31,0,0,0.4866201616543628,0.5133798383456527,2
31,1,1,1,1,0.02,1,0.02,1,1,32,1,1,0.6896736941665049,0.3103263058334858,1
32,1,1,1,1,0.1,1,0.1,1,1,33,1,1,0.7967257300370015,0.203274269962989,1
33,1,1,-1,1,0.02,1,-0.02,1,0,34,1,0,0.8597269895720056,0.1402730104279688,1
34,1,1,-1,1,0.05,1,-0.05,1,0,35,1,0,0.8843121503223205,0.115687849677696,1
35,1,1,1,1,0.05,1,0.05,1,1,36,1,1,0.8789852127297786,0.1210147872702434,1
36,1,0,-1,-1,0.02,1,-0.02,1,1,37,1,1,0.8518230571316989,0.1481769428683002,1
37,1,0,-1,-1,0.01,1,-0.01,1,1,38,1,1,0.789498024999433,0.2105019750005527,1
38,1,0,-1,1,0.02,1,-0.02,1,1,39,0,1,0.665495156741642,0.3345048432583352,1
39,1,0,1,-1,0.01,1,0.01,1,0,40,1,0,0.7537834434648074,0.2462165565351821,1
40,1,0,-1,-1,0.05,1,-0.05,1,1,41,1,1,0.7858625767886552,0.2141374232113243,1
41,1,0,-1,-1,0.02,1,-0.02,1,1,42,1,1,0.7829461353748202,0.2170538646251589,1
42,1,0,1,-1,0.05,1,0.05,1,0,43,1,0,0.7401691011352197,0.2598308988647542,1
43,1,1,-1,1,0.05,1,-0.05,1,0,44,1,0,0.626644045017098,0.3733559549828836,1
44,1,0,1,1,0.1,1,0.1,1,0,45,0,0,0.3827662829613464,0.6172337170386646,2
45,1,0,-1,-1,0.05,1,-0.05,1,1,46,1,1,0.4286761868782721,0.5713238131217003,2
46,1,1,-1,1,0.05,2,-0.05,1,0,47,1,0,0.4147639928469923,0.5852360071530148,2
47,1,0,1,-1,0.1,2,0.1,1,0,48,1,0,0.3178507843205408,0.6821492156794766,2
