stim*contrast,previous
-3.5620257395471953,-2.402015817939801
-3.532126266056342,-2.4026382768510772
-3.5783996433824274,-2.403006342936793
-3.5645923866486466,-2.4030080733897474
-3.570966030176761,-2.402669991398638
-3.5634329954661634,-2.4024764773354566
-3.5642399875949655,-2.402848421227871
-3.564933847391774,-2.402831618670875
-3.548397383219746,-2.4028265745127064
-3.3518537868824008,-2.4009297809483106
-3.5661190739912927,-2.4030239422472937
-3.5661218049447605,-2.403023705791746
-3.5660777496204683,-2.4030217221556
-3.5580864016328007,-2.402068247291867
-3.5474009580644195,-2.4028403974540655
-3.562382811038822,-2.4017493755170993
-3.564051812956537,-2.40273740344378
-3.5387884025562095,-2.4027275476164904
-3.5475628673027977,-2.4028301213269074
-3.544893995967434,-2.4027719423497977
-3.5661265843943943,-2.403003586079748
-3.5657780129593917,-2.40301057743575
-3.5637327412864797,-2.402643471140566
-3.4144758017529453,-2.401453980589306
-3.5504578181280304,-2.402867349211345
-3.5632835167466226,-2.402997564467223
-3.5607727362445307,-2.402971629933071
-3.563035969327804,-2.4022310467479704
-3.566073039074323,-2.4030191433794634
-3.5618188676282196,-2.4023838194328406
-3.562532552349584,-2.4021267262216766
-3.5623698943549873,-2.4027839000603537
-3.564382185952064,-2.4028554655301635
-3.528310447233672,-2.4025413120794923
-3.5650076219476103,-2.402934038384157
-3.5661189128160147,-2.4030236645349565
-3.5594918178337878,-2.402957226736664
-3.5655329939166176,-2.402987248687241
-3.5624996844128147,-2.4029834762388385
-3.561558997949102,-2.4019396642435984
-3.561497234499405,-2.401894763364706
-3.5645293068805337,-2.4029059296255775
-3.5644575940179175,-2.4029112520088063
-3.560412281215107,-2.4029687289938773
-3.5567790253759743,-2.4029331077618408
-3.5457014091779406,-2.402826326600413
-3.489523749170958,-2.4021180027109423
-3.5645772079436076,-2.402802953071112
-3.564629718767483,-2.4025633733692717
-3.5603917057010968,-2.402968725030714
-3.56463027801629,-2.402922125199358
-3.5772663995708447,-2.403044273369347
-3.566106234983745,-2.4030220691071116
-3.562561634774083,-2.402984450996474
-3.5661246354380047,-2.4030238651868103
-3.5404678205855262,-2.4027481062456797
-3.564547040005046,-2.4030097464649063
-3.563867611953046,-2.402882535986507
-3.534868542317713,-2.4026800832192814
-3.5626741377792746,-2.4029844883107487
-3.5637043489985807,-2.4029993440720023
-3.563402983090897,-2.401880025297263
-3.556627811066042,-2.4029232294438714
-3.5593443829405254,-2.402945924271033
-3.5467248296896976,-2.4028348399508217
-3.5661046634010165,-2.4030221446709046
-3.577887885075766,-2.4031210467010298
-3.5639419694996546,-2.402071472125468
-3.5576320147629454,-2.4029355110582524
-3.5653558112952153,-2.402973835114912
-3.5658053870868347,-2.403002896769528
-3.5453897028581864,-2.402822510418507
-3.562383430252647,-2.4027868557067285
-3.565176729984461,-2.402963057808313
-3.534191432510493,-2.4026532127825333
-3.5626663525320454,-2.402987540381498
-3.5304344371063494,-2.402499554358568
-3.5727377848552617,-2.403053063878322
-3.566113251596342,-2.403023342465311
-3.533248104981045,-2.402674239534889
-3.5660835056813927,-2.403020025316169
-3.5539925653254896,-2.4028882007255654
-3.5450379030075343,-2.4028202852209497
-3.5661497434170464,-2.403024939793745
-3.5442248076393907,-2.4028028690062846
-3.560893337686951,-2.402968681433027
-3.566108311158278,-2.4030220897114676
-3.5808242995776896,-2.4031134720949408
-3.561218782354468,-2.4029783653187744
-3.5540187764146705,-2.4028750754581645
-3.554559181239786,-2.402255290990475
-3.5708612728357876,-2.4030373405326735
-3.5602985731778656,-2.4023086453017823
-3.5623282107809113,-2.4021246404258356
-3.5660863715652034,-2.4030202962009506
-3.519486089360816,-2.4024937973119607
-3.5660580703403033,-2.4030199716443637
-3.566124745403851,-2.4030243997675056
-3.533044491658607,-2.402671240006574
-3.563232325108977,-2.40227369356773
