,ID,resp,theta,previous,contrast,state,stim*contrast,block,correct,trial,previous_congruent,stim*contrast_congruent,Gl_Prob_State_ext,Gl_Prob_State_int,Predicted_state
0,1,1,1,0,0.05,2,0.05,1,1,1,0,1,0.4423904272587405,0.5576095727412577,2
1,1,0,-1,-1,0.01,2,-0.01,1,1,2,1,1,0.4036049271331565,0.5963950728668455,2
2,1,1,-1,1,0.1,2,-0.1,1,0,3,1,0,0.3858653770544986,0.6141346229455147,2
3,1,0,-1,-1,0.1,2,-0.1,1,1,4,1,1,0.3663152108286763,0.6336847891713216,2
4,1,1,1,1,0.02,2,0.02,1,1,5,1,1,0.3555153716416498,0.6444846283583403,2
5,1,0,1,-1,0.01,2,0.01,1,0,6,1,0,0.3409915399606078,0.6590084600393875,2
6,1,1,1,1,0.05,2,0.05,1,1,7,1,1,0.3460606165695451,0.653939383430468,2
7,1,1,1,1,0.05,1,0.05,1,1,8,1,1,0.3469103069019221,0.6530896930980695,2
8,1,1,1,1,0.1,1,0.1,1,1,9,1,1,0.3435730031481858,0.6564269968518026,2
9,1,0,-1,-1,0.01,1,-0.01,1,1,10,1,1,0.3357711944812265,0.6642288055187683,2
10,1,1,-1,1,0.1,1,-0.1,1,0,11,1,0,0.3445696108062045,0.6554303891937844,2
11,1,1,-1,1,0.1,2,-0.1,1,0,12,1,0,0.3498971815013243,0.6501028184986746,2
12,1,0,1,-1,0.02,2,0.02,1,0,13,1,0,0.351959003776343,0.6480409962236471,2
13,1,0,1,-1,0.01,2,0.01,1,0,14,1,0,0.3758802071382165,0.624119792861782,2
14,1,1,1,1,0.1,1,0.1,1,1,15,1,1,0.4229840928413847,0.5770159071586227,2
15,1,0,-1,-1,0.1,1,-0.1,1,1,16,1,1,0.468848467101027,0.5311515328989718,2
16,1,1,-1,1,0.05,1,-0.05,1,0,17,1,0,0.5296168540977351,0.4703831459022722,1
17,1,0,-1,-1,0.05,1,-0.05,1,1,18,1,1,0.5940747750674269,0.4059252249325695,1
18,1,0,-1,-1,0.1,1,-0.1,1,1,19,1,1,0.6863856820538596,0.3136143179461438,1
19,1,1,1,-1,0.1,1,0.1,1,1,20,0,1,0.8059027358639743,0.1940972641360185,1
20,1,1,1,1,0.05,1,0.05,1,1,21,1,1,0.7757703496227448,0.2242296503772428,1
21,1,1,1,1,0.01,1,0.01,1,1,22,1,1,0.7575334919699604,0.2424665080300434,1
22,1,0,1,-1,0.02,1,0.02,1,0,23,1,0,0.7506369796085879,0.2493630203914243,1
23,1,1,-1,1,0.05,1,-0.05,1,0,24,1,0,0.7780392597924047,0.2219607402076023,1
24,1,1,1,-1,0.01,1,0.01,1,1,25,0,1,0.817906167037412,0.1820938329625759,1
25,1,1,-1,1,0.02,1,-0.02,1,0,26,1,0,0.7474121207560457,0.2525878792439555,1
26,1,0,1,-1,0.02,1,0.02,1,0,27,1,0,0.688453264932528,0.311546735067472,1
27,1,1,-1,1,0.02,1,-0.02,1,0,28,1,0,0.6655237542791833,0.3344762457208056,1
28,1,0,1,-1,0.1,1,0.1,1,0,29,1,0,0.6507739603760734,0.349226039623916,1
29,1,1,1,-1,0.05,1,0.05,1,1,30,0,1,0.6828471077963559,0.3171528922036527,1
30,1,0,-1,-1,0.01,1,-0.01,1,1,31,1,1,0.5489561805154591,0.4510438194845509,1
31,1,0,-1,-1,0.02,1,-0.02,1,1,32,1,1,0.4538837385226426,0.5461162614773651,2
32,1,0,-1,-1,0.02,1,-0.02,1,1,33,1,1,0.3865915154710482,0.6134084845289399,2
33,1,0,-1,-1,0.02,1,-0.02,1,1,34,1,1,0.3408255909371368,0.6591744090628564,2
34,1,0,-1,-1,0.01,1,-0.01,1,1,35,1,1,0.312332628693232,0.6876673713067638,2
35,1,0,1,-1,0.1,1,0.1,1,0,36,1,0,0.2996889863283931,0.7003110136716106,2
36,1,1,1,1,0.01,1,0.01,1,1,37,1,1,0.3188475985661206,0.6811524014338679,2
37,1,1,-1,1,0.05,1,-0.05,1,0,38,1,0,0.332903306679734,0.6670966933202662,2
38,1,1,-1,1,0.02,1,-0.02,1,0,39,1,0,0.3426974817013039,0.657302518298688,2
39,1,1,1,1,0.02,1,0.02,1,1,40,1,1,0.3484402361510751,0.6515597638489314,2
40,1,1,1,1,0.01,2,0.01,1,1,41,1,1,0.3501691439512954,0.6498308560487169,2
41,1,1,1,1,0.01,2,0.01,1,1,42,1,1,0.3479920174815736,0.6520079825184397,2
42,1,0,1,-1,0.02,2,0.02,1,0,43,1,0,0.3418257280839394,0.6581742719160601,2
43,1,1,-1,1,0.01,2,-0.01,1,0,44,1,0,0.3567223038847706,0.643277696115238,2
44,1,1,-1,1,0.1,2,-0.1,1,0,45,1,0,0.3680775688899838,0.6319224311100211,2
45,1,0,1,-1,0.1,2,0.1,1,0,46,1,0,0.3768937385234609,0.6231062614765359,2
