theta,prev_resp,bias
-0.9822271248387768,-0.21928605149396468,-0.1714337540262046
-0.9826788898896968,-0.21944629114621597,-0.17154910216855557
-0.9826157304278262,-0.2194331157445232,-0.1715097378325139
-0.9825712898916874,-0.21958271704716983,-0.171446258532822
-0.9826275794172495,-0.21940745505611406,-0.17154818948410466
-0.9826682311831677,-0.21944223225002366,-0.1715362906201336
-0.982675944459399,-0.21944463836244518,-0.1715483661152062
-0.9826710687243506,-0.21945305158097758,-0.17154256575154964
-0.9826645908143095,-0.21943409859387866,-0.17155734841755416
-0.9826704825578221,-0.21943850491095304,-0.17154944677952308
-0.9826762845279344,-0.2194442979896892,-0.17155163428385287
-0.9823958090879283,-0.21941480116158568,-0.1714761191365709
-0.982503906846045,-0.21940306455098776,-0.1715030804417378
-0.9826767438343884,-0.2194448225008879,-0.17154801234678982
-0.9824684166691534,-0.2194861551611702,-0.17129374228460356
-0.9826801924506771,-0.21944534143809952,-0.1715504103949187
-0.9826627516792943,-0.21944867814779526,-0.17154035828718062
-0.982685147578213,-0.21947548550267001,-0.17156370199376356
-0.9826492499158725,-0.2194773831376805,-0.17151867911710547
-0.9826811609406972,-0.21944844095538793,-0.17155241687267736
-0.9825253326618163,-0.21947188922567812,-0.1713573967470031
-0.9826414903239397,-0.21946932926155252,-0.17153429206137336
-0.9825408336666657,-0.21935232862888135,-0.17142480826208184
-0.9823149795373111,-0.2192952135675839,-0.1714930546805428
-0.9826792371003492,-0.21944568565655506,-0.1715488961251041
-0.9826807950454998,-0.21944590793741928,-0.17155255665080765
-0.9826687539352598,-0.21943478453182885,-0.17155102531102087
-0.9826666300506677,-0.21932406700280294,-0.171558328609411
-0.9826837258059822,-0.2194524046900357,-0.17154414953045877
-0.9826783083935698,-0.2194450798792428,-0.1715550738641208
-0.9826826948256197,-0.21944918829005303,-0.17155255611032932
-0.9826774002680938,-0.21944567133865697,-0.171549390858157
-0.9826710872586097,-0.21946853077314243,-0.1715226422457571
-0.9826844316056795,-0.21943746666947977,-0.17155916880188532
-0.9826607759809968,-0.21943844502879037,-0.17154376689571182
-0.9826816757862157,-0.2194451531648139,-0.171549944179758
-0.9826385554698508,-0.2194045618052463,-0.17154383706272422
-0.9826343245590785,-0.21939945240739814,-0.1715479530105491
-0.982670562895253,-0.2194383542074939,-0.17154629427448104
-0.982400493240179,-0.21924857440952822,-0.17173346218364027
-0.9826794463258263,-0.21944522941906985,-0.1715489554116977
-0.9826751940077985,-0.21944512625516824,-0.17154891729908145
-0.9826708495498895,-0.21946045050249258,-0.17152647700079166
-0.9825816494453099,-0.21941437909822561,-0.17153319204877776
-0.9826658560784711,-0.21944971419226386,-0.17153199850776457
-0.9826772363852708,-0.21944630079254834,-0.17154830673624727
-0.9826774440533538,-0.2194454651213435,-0.17154669388277638
-0.9824554119573436,-0.21930747486744198,-0.1714848535825052
-0.9826471328142986,-0.2194771236539077,-0.17153122319524677
-0.9825995919078135,-0.21948149698715969,-0.17148447876269982
-0.982430444204936,-0.21947813078316658,-0.1716627300220852
-0.9826782928262361,-0.2194460788290805,-0.17154764296102956
-0.9826488262262895,-0.21951691321221015,-0.17148788586966493
-0.9824809813350471,-0.21940834428214692,-0.17147563761461246
-0.982676916462366,-0.21944157388364915,-0.17155177281695216
-0.9825714511425399,-0.21942777858088924,-0.17154226536488654
-0.9826192701585031,-0.21924792345182753,-0.17168632436704137
-0.9826884055640273,-0.21946077657967322,-0.17156945509418436
-0.9826774793587933,-0.21944718281832973,-0.17154886633544753
-0.9826721756932681,-0.21943798371311685,-0.17155195854529548
-0.9826771091874624,-0.21944599388276648,-0.1715491172203912
-0.9825796043525314,-0.21939989603890614,-0.1715375671077135
-0.9826261080600358,-0.21939674835173345,-0.1715334154249805
-0.9826796809817901,-0.21943998936079748,-0.1715510241749632
-0.9826662032544253,-0.21946039463683328,-0.1715432752240674
-0.982669301856512,-0.21944760092889518,-0.17161014658079765
-0.9822782551302798,-0.2195213055783441,-0.1714851221249657
