perm_idx,state_idx,BIC
0,1,7716.053119571732
0,2,7648.547581766348
1,1,7716.053261609265
1,2,7648.547447257151
2,1,7716.053117319757
2,2,7648.548695490209
3,1,7716.053230731971
3,2,7648.54831676034
4,1,7716.053150883499
4,2,7648.548442287298
5,1,7716.05312070034
5,2,7648.5480444400455
6,1,7716.053118532342
6,2,7648.547703019654
7,1,7716.053117317094
7,2,7648.547807877268
8,1,7716.053117317389
8,2,7648.547638652957
9,1,7716.053118207309
9,2,7649.065444949009
10,1,7716.053181188016
10,2,7643.480459593604
11,1,7716.053123613907
11,2,7648.548713893675
12,1,7716.053117498276
12,2,7648.547418260762
13,1,7716.053263788925
13,2,7648.547372706955
14,1,7716.053117445401
14,2,7648.5476950505645
15,1,7716.053118175432
15,2,7648.547916861151
16,1,7716.053117316361
16,2,7648.547892592092
17,1,7716.053117344133
17,2,7648.5484302060695
18,1,7716.053122925262
18,2,7651.280595465606
19,1,7716.053119615061
19,2,7648.548624147998
20,1,7716.053117427334
20,2,7679.877311467222
21,1,7716.053117325737
21,2,7646.342240958269
22,1,7716.053117330356
22,2,7648.5478357214015
23,1,7716.053191305905
23,2,7648.51637288689
24,1,7716.0531173183535
24,2,7650.467391114596
25,1,7716.053121443147
25,2,7648.548051386933
26,1,7716.053129132252
26,2,7648.547644474571
27,1,7716.053117319451
27,2,7648.547813711749
28,1,7716.053117305306
28,2,7648.548042142088
29,1,7716.053117296805
29,2,7648.547902603275
30,1,7716.053117317028
30,2,7645.94724709504
31,1,7716.053174595939
31,2,7648.551152405431
32,1,7716.053120351929
32,2,7648.548239045643
33,1,7716.053117424697
33,2,7648.451394579228
34,1,7716.053338856388
34,2,7644.005551484299
35,1,7716.053147742127
35,2,7648.548394354377
36,1,7716.053149283665
36,2,7648.547357346926
37,1,7716.053117319921
37,2,7636.46677052447
38,1,7716.053125183006
38,2,7647.10680909563
39,1,7716.053117852845
39,2,7648.547518967237
40,1,7716.053120830274
40,2,7648.547843753594
41,1,7716.053187916085
41,2,7648.548036231792
42,1,7716.05311731651
42,2,7648.547922413183
43,1,7716.053117632959
43,2,7648.547827904696
44,1,7716.0532599312755
44,2,7648.547664391212
45,1,7716.05311742628
45,2,7648.547457310026
46,1,7716.053123871522
46,2,7648.548121110916
47,1,7716.053126128156
47,2,7647.842113506709
48,1,7716.053117630182
48,2,7648.54744050308
49,1,7716.053118356106
49,2,7644.916513691634
50,1,7716.053204709766
50,2,7648.548243902074
51,1,7716.0531235190065
51,2,7647.29130667261
52,1,7716.053120311033
52,2,7648.547545680206
53,1,7716.053126893452
53,2,7648.548017908946
54,1,7716.053200079521
54,2,7647.957688348716
55,1,7716.053121700058
55,2,7648.547961894585
56,1,7716.053117628678
56,2,7648.547428017442
57,1,7716.053150079745
57,2,7649.908662551399
58,1,7716.053117692657
58,2,7643.592223837541
59,1,7716.053117464657
59,2,7648.548006752122
60,1,7716.053118037368
60,2,7648.547527719969
61,1,7716.053136273728
61,2,7648.54733318678
62,1,7716.05311729734
62,2,7648.5474667504
63,1,7716.0531183849525
63,2,7648.547694552215
64,1,7716.053118184625
64,2,7648.547596163545
65,1,7716.053118156947
65,2,7648.547816742417
66,1,7716.053117328356
66,2,7647.658827625975
67,1,7716.053125902713
67,2,7647.894776055513
68,1,7716.053361119328
68,2,7648.547614178542
69,1,7716.0531515057655
69,2,7648.5479032961075
70,1,7716.053117317769
70,2,7648.547411121099
71,1,7716.053187421242
71,2,7648.548341553108
72,1,7716.0531507320475
72,2,7648.548890714565
73,1,7716.053118020752
73,2,7648.547506054489
74,1,7716.053117693683
74,2,7648.547591593592
75,1,7716.05311886832
75,2,7648.392279915244
76,1,7716.053117377779
76,2,7649.109116865212
77,1,7716.053117396291
77,2,7648.547372640072
78,1,7716.053117487439
78,2,7648.5473349143
79,1,7716.0531963572985
79,2,7648.547343051795
80,1,7716.053188196217
80,2,7648.318060275133
81,1,7716.053118729129
81,2,7648.547973014437
82,1,7716.053117316562
82,2,7643.777215433888
83,1,7716.053117679588
83,2,7682.481679981133
84,1,7716.053376133006
84,2,7648.547702072113
85,1,7716.053125496867
85,2,7648.548210767288
86,1,7716.053129607447
86,2,7648.5477268096165
87,1,7716.053136419763
87,2,7648.5474498196
88,1,7716.053118314184
88,2,7648.547411342717
89,1,7716.053141663228
89,2,7644.903577204961
90,1,7716.05328142456
90,2,7648.715222005939
91,1,7716.0531198886665
91,2,7648.548124466894
92,1,7716.053170870571
92,2,7648.547360322535
93,1,7716.053123557541
93,2,7648.547640364132
94,1,7716.053129647351
94,2,7648.547403398611
95,1,7716.053153031498
95,2,7643.368470932897
96,1,7716.053123066008
96,2,7648.547785515753
97,1,7716.053397823009
97,2,7648.547901217674
98,1,7716.053120415099
98,2,7650.151131227414
99,1,7716.053117600866
99,2,7648.547860892096
