ID,block,theta,prev_resp,resp,correct,isi_ms,Gl_Prob_State_ext,Gl_Prob_State_int
1,1,-1,0,0,1,640,0.9999629071414046,3.7092858580153124e-05
1,1,1,-1,1,1,100,0.9925618232156337,0.007438176784334447
1,1,-1,1,0,1,920,0.9804543210280107,0.01954567897203355
1,1,1,-1,1,1,620,0.9733272504410811,0.026672749558899218
1,1,1,1,1,1,440,0.9591289932394651,0.04087100676055672
1,1,1,1,1,1,580,0.9388834005032028,0.06111659949678847
1,1,-1,1,0,1,680,0.909659480488356,0.0903405195116074
1,1,-1,-1,0,1,820,0.889220191132356,0.11077980886766087
1,1,1,-1,1,1,460,0.8780816531174218,0.12191834688262873
1,1,-1,1,0,1,680,0.8512749609730884,0.14872503902694367
1,1,-1,-1,0,1,1000,0.8332689576008998,0.166731042399125
1,1,-1,-1,0,1,1000,0.8248665310361663,0.17513346896387913
1,1,-1,-1,0,1,360,0.8252620784410297,0.1747379215590217
1,1,1,-1,0,0,800,0.8344935238733939,0.16550647612664796
1,1,1,-1,1,1,280,0.8929002877348046,0.10709971226524843
1,1,1,1,1,1,880,0.923716395260508,0.07628360473954725
1,1,1,1,1,1,760,0.9447808507562295,0.05521914924381009
1,1,-1,0,1,0,240,0.9591431942356977,0.04085680576432044
1,1,1,1,1,1,300,0.9641415020932861,0.035858497906691954
1,1,-1,1,0,1,60,0.966382587560665,0.03361741243928525
1,1,1,-1,1,1,600,0.9734061515338267,0.02659384846614048
1,1,-1,1,0,1,980,0.9754254184507615,0.024574581549274405
1,1,1,-1,1,1,460,0.9818818509015728,0.0181181490984746
1,1,1,1,1,1,540,0.9843760196111772,0.015623980388850017
1,1,1,1,1,1,560,0.9857915109405954,0.01420848905942458
1,1,-1,0,1,0,460,0.9863332481763131,0.013666751823715769
1,1,1,1,1,1,780,0.9834528031220446,0.016547196877918925
1,1,-1,0,0,1,820,0.9792220733011584,0.020777926698845064
1,1,-1,-1,1,0,220,0.9795020285183372,0.020497971481663758
1,1,1,1,1,1,580,0.972904058077188,0.027095941922805265
1,1,-1,1,0,1,340,0.9633383815179399,0.036661618482078294
1,1,1,-1,1,1,1000,0.9588843355692114,0.04111566443081562
1,1,-1,1,0,1,340,0.947044973295802,0.052955026704199555
1,1,1,-1,1,1,240,0.9409394279021285,0.059060572097878836
1,1,-1,1,0,1,660,0.9252423539510962,0.0747576460488803
1,1,-1,-1,0,1,600,0.9161116599754126,0.08388834002453624
1,1,-1,-1,0,1,160,0.9143051426649076,0.08569485733508683
1,1,1,-1,1,1,960,0.919649597831283,0.0803504021687409
1,1,-1,1,0,1,300,0.9158830151938384,0.08411698480610615
1,1,-1,-1,0,1,420,0.9179329143406965,0.08206708565926538
1,1,1,0,1,1,740,0.927284214333015,0.07271578566695909
1,1,-1,1,0,1,400,0.9297977131571372,0.07020228684286797
1,1,1,-1,1,1,180,0.9380500845324828,0.06194991546754388
1,1,-1,1,0,1,80,0.9381841828594812,0.061815817140564694
1,1,1,-1,1,1,660,0.9437369048232641,0.05626309517677814
1,1,-1,0,0,1,160,0.9418705121140024,0.05812948788596278
1,1,1,-1,1,1,240,0.9459109269404846,0.05408907305947645
