theta,prev_resp,bias
-0.9826757863531386,-0.21941142499945485,-0.1715990724367302
-0.9826790041912568,-0.21944069590674822,-0.17155043031484785
-0.9826768388412468,-0.21944506533948022,-0.17154719871319435
-0.982668405032716,-0.2194385663463016,-0.17154904827713746
-0.982773454874439,-0.21945761922018234,-0.17163785126770645
-0.9826828334153133,-0.21944320906568857,-0.17156093237678646
-0.9828730775666871,-0.21961027352523915,-0.17156929821018188
-0.9826659640632338,-0.21943242909401292,-0.17156113436180642
-0.9826733980006428,-0.21943729248946242,-0.17155090202065737
-0.9826718408652225,-0.21943617946986047,-0.17155713422491645
-0.9826777182171414,-0.21944601294142843,-0.17154733777639208
-0.9824319730922384,-0.21928822760831934,-0.17140994251916764
-0.9826797867148719,-0.21944512148093864,-0.17154971733385885
-0.9826590156941176,-0.2194456291796439,-0.17158782893160104
-0.982679840987801,-0.21944480026767985,-0.17154909102241392
-0.9826708879868394,-0.21943813306359822,-0.17155037351064917
-0.9826712188741951,-0.21945285728000735,-0.17153284080063833
-0.9826424800123567,-0.21944008949967678,-0.17157823599473918
-0.982678825181686,-0.21944562976389315,-0.1715489779182155
-0.9826759412266592,-0.21944551238340998,-0.1715488261879749
-0.9826370988928965,-0.2194220170348136,-0.17152976239645734
-0.9826826159527903,-0.21945698765741015,-0.17152370916782705
-0.9826242409301218,-0.21939303507631291,-0.17154059503650296
-0.9825950934099015,-0.21946013912336823,-0.17147673654689563
-0.9826791547034476,-0.219462916175136,-0.1715970607935455
-0.9826755525757425,-0.2194458368925494,-0.1715470392163651
-0.9826772730171551,-0.21944137748544343,-0.17155238664742783
-0.9826399312307813,-0.21941703906832197,-0.17156059683278968
-0.9826723885220429,-0.21944201852574172,-0.17154512382957207
-0.9826196928919922,-0.21943977455414124,-0.17152628347699836
-0.9826636702675747,-0.21942729123302981,-0.17155710534708263
-0.9829170982805358,-0.21948569962568115,-0.17174266980639846
-0.9826789379312814,-0.21944590396692348,-0.17154851569087184
-0.982672125034711,-0.21943512413113034,-0.17155689459708245
-0.982647474478937,-0.21944054808766864,-0.1715379475632873
-0.9826617915458994,-0.21944550094476867,-0.17154149717505945
-0.9826811295738894,-0.21944548884707776,-0.1715459106197484
-0.9826607203250567,-0.21944444253106046,-0.17154514851503813
-0.982573885954228,-0.21936016459067673,-0.17151378951344737
-0.9826744860322741,-0.21943865990974043,-0.171552913705268
-0.9826628428890171,-0.2194200551959871,-0.17155344465245184
-0.9826462252682321,-0.21943916088542387,-0.17157006860900761
-0.9826387575981281,-0.21941176213150781,-0.17154047934123182
-0.9826720531063475,-0.21944668828959404,-0.17154642913345783
-0.9826474103624301,-0.2194389305723177,-0.1715640395406447
-0.9826816526658309,-0.21945136836764026,-0.17154721376730764
-0.9826674205365076,-0.21944522693535667,-0.1715468445431665
-0.9826780681720854,-0.2194461565729749,-0.17154725153614345
-0.9826785256218565,-0.21944605640975665,-0.17154779756440727
-0.9826755011108906,-0.21942820543986313,-0.171633137861611
-0.9826745166805098,-0.2194543132957358,-0.17154896663284092
-0.9826728036669834,-0.21944498879989713,-0.17154415310665272
-0.9826781045632258,-0.21944624611815436,-0.1715486033586117
-0.9826516890956971,-0.21946705896058957,-0.17152760440727566
-0.9826761672427315,-0.21944626586918142,-0.1715485266356403
-0.9826656703275587,-0.2194382702185051,-0.17155487486822443
-0.9826809581255224,-0.21944408671870863,-0.17154686666220031
-0.9826764890321763,-0.21943985157897644,-0.17155398978004785
-0.9825155135655973,-0.219404614607443,-0.17150356211795784
-0.982634153779934,-0.21944003669623893,-0.17150962855331417
-0.9826623687923224,-0.21943973327000707,-0.17154884496203276
-0.9826808855795953,-0.21944853314856677,-0.1715486975665573
-0.9826779723181126,-0.21944612401929697,-0.17154748131515118
-0.9825526810131763,-0.219427354073883,-0.17157278937017276
-0.98265919487214,-0.21944431684109286,-0.1715443443769919
-0.9826407336057132,-0.21945481146286136,-0.17154108882557922
-0.9826641831666304,-0.21944799537086346,-0.17152867833465008
-0.9827301107535915,-0.2194570145778859,-0.17152245812073366
-0.9826746244091854,-0.21944652743926565,-0.17154809426663403
-0.9826513536299638,-0.21943696488520742,-0.17154615997968437
-0.9826338294122682,-0.21949035805153508,-0.17154691053715562
