stim*contrast,previous,bias
-19.707090424900603,-0.11119465276316728,-0.20589953083031867
-19.70678853609851,-0.11119666250958983,-0.20589601770667726
-19.705294848258223,-0.11118286750208904,-0.2058828217930625
-19.707360850112497,-0.11119203460958282,-0.20590436325370315
-19.707539781668178,-0.11119577970297627,-0.20590566172513214
-19.707374738954883,-0.11119493919273793,-0.20590400630906852
-19.707555662581285,-0.11119718207334287,-0.20590515854236066
-19.70745946332977,-0.1111937157347686,-0.20590569751796084
-19.707801903265114,-0.11119722499605338,-0.20590818094425503
-19.707743072595072,-0.1111967770621504,-0.2059093077566968
-19.707607775611848,-0.1111961970528585,-0.20590627742906634
-19.642978838565767,-0.11097824408392774,-0.2055215946293596
-19.707508149092785,-0.11119339748548823,-0.20590572600987625
-19.707632466898172,-0.11119636106557462,-0.20590650017379497
-19.70742128199986,-0.11119523170864183,-0.20590444940825592
-19.70777945652284,-0.1111970816291694,-0.20590790275039084
-19.707600147960136,-0.1111961463825518,-0.20590620293834583
-19.707577351287874,-0.11119493912013464,-0.2059079818007567
-19.70773313593533,-0.1111968563342485,-0.20590749919291548
-19.707674059789593,-0.11119689163512711,-0.20590708881805422
-19.70733254521187,-0.11119464880770703,-0.20590355938998955
-19.7077794115986,-0.11119660210679129,-0.20590885628146066
-19.619545705063903,-0.11093594500850135,-0.20536468868134047
-19.707215735116495,-0.11119406795416448,-0.20590242134873657
-19.706956347646425,-0.11119543897389124,-0.20589724563707235
-19.70732433076921,-0.11119194371853372,-0.20590399743440793
-19.70778179951173,-0.11119709705442478,-0.20590800651317212
-19.707494321620008,-0.11119612559067034,-0.2059056418172379
-19.707943171980926,-0.11119746225073364,-0.20590951167413601
-19.707923033896424,-0.1111979284830105,-0.2059093072955899
-19.707510078020814,-0.11119561120400781,-0.20590535913523983
-19.707941662002874,-0.11119846860458395,-0.2059091188620151
-19.7077326137745,-0.11119622991693526,-0.2059082485457756
-19.707452315045277,-0.11119531885021201,-0.20590476275849895
-19.707404484983844,-0.11119510237314982,-0.20590429118721296
-19.707595720098613,-0.11119607235820048,-0.20590618690180615
-19.707689941629024,-0.11119660611304301,-0.20590710343753976
-19.707293273898525,-0.1111944087472129,-0.20590305004288378
-19.707162460469515,-0.1111936999697663,-0.20590194548855292
-19.707210110458576,-0.11119657848773551,-0.2059013228368561
-19.707877280526365,-0.11119852904984336,-0.20590840372941147
-19.707627070382667,-0.11119490210659677,-0.20590629099133173
-19.70743850768505,-0.1111931664902776,-0.20590705334966952
-19.707987785764416,-0.1111982663768218,-0.20590991964420505
-19.707725777265345,-0.11119683842391359,-0.20590739805995456
-19.707889475741364,-0.11119665402757116,-0.20590911412974072
-19.7078855094576,-0.11119762555671908,-0.20590900024761102
-19.70738178877214,-0.11119497979794568,-0.2059040783118246
-19.707945600775552,-0.11119800812800668,-0.20590954653382915
-19.707571314215507,-0.11119595126929728,-0.2059059645489957
-19.706770258439686,-0.11118720497588962,-0.20589907289326584
-19.70783914570552,-0.11119734757037135,-0.20590858755146602
-19.70769497961677,-0.11119538829656943,-0.2059088150500167
-19.707930022560276,-0.11119791426123676,-0.20590939969522548
-19.707371332714605,-0.11119467226801835,-0.20590373277374033
-19.707472013945587,-0.11119442655116892,-0.20590508315179795
-19.707483841443135,-0.11119166489448863,-0.20590640539801522
-19.706776593563962,-0.11119483799205945,-0.2058949282918604
-19.706547139254322,-0.1111951284995689,-0.20589177055177466
-19.707290615812106,-0.11119452647122159,-0.20590316049928079
-19.70783105708373,-0.1111973639033637,-0.20590844855646107
-19.706936193541427,-0.1111926407967077,-0.20589956753680838
-19.70764673197159,-0.11119554586016736,-0.2059060920324999
-19.707877312114608,-0.11119768934076041,-0.20590882849125838
-19.707796618776015,-0.11119710935771955,-0.20590815367578164
-19.707632915740813,-0.11119634547559853,-0.20590652697125
-19.706999721483403,-0.11119275665016111,-0.20590034178132705
-19.707047164415428,-0.11119703859690128,-0.2058986266235754
-19.707540611152798,-0.1111958375529258,-0.2059056225850513
-19.70792783352072,-0.11119787886174186,-0.2059093957183836
-19.706528997139365,-0.11119078383992212,-0.20589673023352914
-19.707521034076876,-0.11119567765282486,-0.2059054756231256
-19.70743478518831,-0.11119526985257902,-0.20590457704219417
-19.70753725215678,-0.1111944218434104,-0.20590691405336178
-19.706724477597493,-0.11119469401020245,-0.20589316025481866
-19.70791616669679,-0.11119760104733202,-0.2059093217988912
-19.707491699604557,-0.1111955137793695,-0.2059051692460189
-19.707701505010082,-0.11119677606899186,-0.2059071159564411
-19.70723399466232,-0.11119123403302678,-0.20590314963849873
-19.70781169143815,-0.1111972735833308,-0.20590827184172
-19.70780404615359,-0.11119721429713009,-0.20590826828968223
-19.707800120049825,-0.11119800660336121,-0.20590736618024813
-19.707229880929223,-0.11119415196870354,-0.20590256785694086
-19.70752503116114,-0.11119570024291152,-0.20590551959172593
-19.70769955041738,-0.1111966304798527,-0.20590721509566787
-19.7075010635634,-0.11119474031577373,-0.20590697880743025
-19.70776620569682,-0.11119838181802792,-0.20590725959089598
-19.707143565482035,-0.11119357026232159,-0.20590172005994872
-19.707040901810178,-0.11119301155166701,-0.20590077320420067
-19.707799969405,-0.11119711975599687,-0.2059081748478044
-19.70750491073125,-0.11119466577442626,-0.20590464109941195
-19.707767519737885,-0.11119826276546377,-0.20590702209073045
-19.70787761320426,-0.11119764239401707,-0.20590891051898016
-19.707141926474442,-0.1111936831644973,-0.2059016307745271
-19.70747410643055,-0.11119538788882292,-0.20590513710203093
-19.70763009660653,-0.1111962823701477,-0.20590653977460874
-19.707700425708087,-0.11119834278227252,-0.20590630866766646
-19.70755044116235,-0.1111958293428841,-0.20590574499010944
-19.70791247120997,-0.1111982250339853,-0.20590897901056426
-19.70739279867421,-0.11119504456330659,-0.2059041753705282
