stim*contrast,previous,bias
-2.647045145130261,-2.9780485386716657,-1.3771671170280981
-2.6472550063525557,-2.9782980805458545,-1.37733117435937
-2.647063637297228,-2.9780659508645795,-1.3771781902188138
-2.6472836065272305,-2.9783319563521187,-1.377354353539776
-2.6446147077376385,-2.9752455892170353,-1.3753345873480292
-2.645964942863986,-2.9768155385053103,-1.3763652705663043
-2.6447362155727383,-2.9753934788369727,-1.3754340681203172
-2.647038850142798,-2.978046270831974,-1.3771699204843508
-2.647200242766246,-2.978234281775702,-1.3772911530280774
-2.645403457898052,-2.97610173794765,-1.375974303149539
-2.6470962057495275,-2.9781063542587733,-1.377208482170837
-2.647159435371442,-2.9781810950015837,-1.3772552610684132
-2.6468918682122857,-2.977869643989045,-1.377038919193094
-2.6441010489306005,-2.97464974505445,-1.3749473925822588
-2.6431248173293937,-2.9734740335589716,-1.374098302138893
-2.647297396203198,-2.97834820498128,-1.3773653289282322
-2.6458118752415785,-2.9766259839966875,-1.376240485761707
-2.6429235102481305,-2.9732402468452976,-1.3739378821282047
-2.6472559739735386,-2.978298183502972,-1.3773327042113173
-2.6440398039449837,-2.974565093310328,-1.3748524697933757
-2.6468176352168467,-2.9777718108961495,-1.3769865256955929
-2.6471539550279712,-2.978177857278102,-1.3772497819909693
-2.6471181083162905,-2.9780609005315535,-1.3772124645562727
-2.6464641079593143,-2.9773589639406124,-1.3767760173394958
-2.6473019100215915,-2.978353686420987,-1.3773688895314917
-2.6437665555451186,-2.9742405962457186,-1.3747206213475605
-2.645589897611959,-2.976320994912322,-1.3761395744127176
-2.647013577217647,-2.9780067725504678,-1.3771402674208442
-2.647163392701508,-2.9781895353089993,-1.3772587100780507
-2.6472498851234505,-2.978292689276812,-1.377329665573456
-2.64458619793901,-2.9752457588625028,-1.3753792247135954
-2.647259954942769,-2.978329656619991,-1.3773419356131138
-2.6451896771049555,-2.9758656744688725,-1.3757208344247156
-2.6430525541266534,-2.97341667373805,-1.374014914802945
-2.645269080429155,-2.9759808520721966,-1.375776808552035
-2.6472756463875973,-2.9783218287395825,-1.3773488760506176
-2.6467902836820283,-2.977741487982316,-1.3769664590379949
-2.6448117079787066,-2.975450555981958,-1.3753749715104757
-2.645397016570243,-2.976082177014496,-1.375873695010862
-2.6469193306071297,-2.977894977363017,-1.377071798098029
-2.6436382949006934,-2.9741566241164406,-1.3747072737527384
-2.6470713402793735,-2.978078328783628,-1.3771938462038633
-2.645433398887793,-2.976197741900937,-1.3758937670504179
-2.646422902387185,-2.9773612995553007,-1.3767455042525958
-2.6458577656621896,-2.976637460394658,-1.376276638233863
-2.647207914461443,-2.9782452047494927,-1.377299993560072
-2.6464999349398695,-2.977435448932491,-1.3768101046551848
-2.6471461223286425,-2.9781661754916096,-1.3772450572804285
-2.6463699158873246,-2.9772360435809806,-1.3767193629270496
-2.6448053291164833,-2.975446213128457,-1.3753803442229764
-2.647227375128413,-2.9782634923952664,-1.3773130224173313
-2.6464343898615628,-2.9773276436254834,-1.3766894504901641
-2.6445604116160624,-2.975150909966965,-1.3752410504495653
-2.6454585041138405,-2.976125950344758,-1.375859803551997
-2.6452643059425593,-2.9759616810139145,-1.375776215862046
-2.6435772505033777,-2.9740639207409725,-1.374599791793249
-2.6451115298256447,-2.975742180238474,-1.3756836203937293
-2.644565612921434,-2.975100457522835,-1.37539784212419
-2.6460114993916797,-2.9769939656868956,-1.3764185905525728
-2.6440332439896235,-2.974552995690495,-1.3747766910227155
-2.6472483470282175,-2.9782903696673615,-1.37732714145212
-2.64703076822065,-2.9780276687950664,-1.3771599330360265
-2.647130200050706,-2.978147190595596,-1.3772324427551086
-2.647069206552941,-2.9780856377176854,-1.3772061436240912
-2.647229812173422,-2.9782705026208967,-1.3773154587853522
-2.646464889947348,-2.9773816848123644,-1.376858746976234
-2.644992609270187,-2.975610443757214,-1.3756963888381701
-2.646985138044579,-2.9779711645326086,-1.3771180286766338
-2.6445546555022434,-2.975018974696982,-1.3751399715375892
-2.64666546438378,-2.9776089028825576,-1.376890374837704
-2.6472910085508308,-2.9783400387296144,-1.3773597249444725
-2.645121480934935,-2.9758409361817795,-1.3757430713022794
-2.6436235054868615,-2.974079375204586,-1.3744977639440035
-2.646431099026792,-2.977310518089861,-1.3766712727666985
-2.6470883016948346,-2.9781039459845147,-1.3772076882263051
-2.646820103066044,-2.977782182454638,-1.3769887070219777
-2.6440593609154357,-2.9745569953896958,-1.374817232911877
-2.644739804061291,-2.975352752509823,-1.3753678561160614
-2.647063152500675,-2.978067184087197,-1.3771828589477701
-2.6457688923613754,-2.9765124631440765,-1.3761527144065457
-2.6465718132388947,-2.977488404890657,-1.3767946333555214
-2.6470644752192753,-2.9780720139608796,-1.3771801439405125
-2.6470611106697763,-2.9780642548261334,-1.3771835431563535
-2.647300345176267,-2.978351445678152,-1.3773675385432866
-2.646053564569918,-2.9768862703673387,-1.3763872507056396
-2.6473033194800113,-2.978355232673705,-1.377370215711216
-2.647133516757311,-2.978149759914297,-1.3772328128584481
-2.6472002013473643,-2.978231356659536,-1.377294160134593
-2.6472248632764206,-2.9782632562188094,-1.377308000414553
-2.6471010991700648,-2.978111737807659,-1.3772086686405134
-2.6452623368126633,-2.975931295606264,-1.3759068779738588
-2.646667430679135,-2.9776106226616412,-1.3768903846788572
-2.6471255450714914,-2.9781403734947327,-1.3772313618937706
-2.6471752487297553,-2.9782008228048675,-1.3772734757081164
-2.643772782533038,-2.974231140068199,-1.3746010168286869
-2.64419031888881,-2.9747336617932247,-1.3749553309511229
-2.646257055036326,-2.9771010486702787,-1.3765351949056632
-2.6454151969298008,-2.9761123823746063,-1.3759941197927559
-2.647203386945723,-2.978237369766854,-1.3772911920244715
-2.647050330199924,-2.9780510017186,-1.3771694692360708
