stim*contrast,previous,bias
-2.874744470335073,-3.067974510946483,-1.4111136958198474
-2.875881226684079,-3.0692119966453775,-1.41193283077676
-2.8708389327864485,-3.0639738437478816,-1.4085597792677573
-2.8721624285207943,-3.065353876067054,-1.4093825953730441
-2.876351818223921,-3.0697090794783763,-1.4122565589187945
-2.8756045542033624,-3.068913290718598,-1.4117334448989318
-2.8751092526663538,-3.0684480222203945,-1.411438680723275
-2.8759873756625995,-3.069311622505439,-1.4119945046699927
-2.873685638852063,-3.066844118881309,-1.4104206271277564
-2.8758536451274175,-3.0691697811128877,-1.411917121665898
-2.87377216382746,-3.066946923895808,-1.4105545021323205
-2.875168392301463,-3.0684112102642915,-1.411376961003648
-2.8745066532402364,-3.0677091728033807,-1.4109459945439304
-2.8759849098867063,-3.0693165610479523,-1.4119972389355178
-2.8761607023977325,-3.069504158578097,-1.4121185214537124
-2.8728597246599152,-3.066102514870274,-1.4099649814238555
-2.876356332996473,-3.0697122196625455,-1.4122598839786598
-2.8760398033708015,-3.0693702237500333,-1.4120315886463075
-2.871615323111211,-3.0646256768690963,-1.4089297058829342
-2.87640710975501,-3.0697669688816998,-1.4122941951703394
-2.8758493014478215,-3.0691900693752068,-1.4119411752424669
-2.873848578954994,-3.067022888570792,-1.4105385563940076
-2.8755979795002746,-3.0689045884429937,-1.4117670874811825
-2.8763085537568367,-3.069662134856891,-1.4122242228243118
-2.872798748365629,-3.0658998881298327,-1.4097822275291811
-2.8739944407511313,-3.067221143113584,-1.4106076978757975
-2.872292511848971,-3.065379273368679,-1.4096385172477237
-2.8753663539189884,-3.068644381309353,-1.4115635981093115
-2.870879764987036,-3.0640891517257267,-1.4086447677363172
-2.8705942624725784,-3.063775881301026,-1.4084784225008644
-2.8763875371002423,-3.0697457201950678,-1.4122802279474465
-2.8763917065268996,-3.0697506522324547,-1.4122830539603293
-2.8758381449522616,-3.0691539681782207,-1.4118958874784793
-2.8716049918456124,-3.064547518633283,-1.4088069233184004
-2.8755086556240768,-3.0688198490831677,-1.411689807664464
-2.876407013974471,-3.0697668769518702,-1.412294294959317
-2.875506483840036,-3.0688072079022226,-1.4116336240188596
-2.873595329224962,-3.0667229032974523,-1.410303648878282
-2.8747100350880954,-3.0679660264814292,-1.4110864725952947
-2.8737197292978203,-3.0668936924856935,-1.4104174465213548
-2.8762894631940634,-3.0696399192235675,-1.4122108120384518
-2.875973652591192,-3.0693074717540103,-1.411995067109079
-2.872513947618892,-3.0655768359629807,-1.4095795769768555
-2.8752494704792855,-3.0685456716804635,-1.4114962634665391
-2.8763944848331424,-3.06975338559018,-1.4122856335202782
