stim*contrast,previous,bias
-3.004886009146447,-3.113928823374836,-1.285310626622118
-3.0068657099302794,-3.1160742810034674,-1.2857874357686516
-3.00461679387598,-3.113670233123063,-1.285240157860988
-3.00704756862924,-3.1162687876654425,-1.2858312733102892
-3.007257548268228,-3.1164928406784536,-1.2858835023786916
-3.0072900440955626,-3.116527650973914,-1.2858912798807256
-3.0072959233780714,-3.116533725445391,-1.2858933172317908
-3.0047782570374553,-3.1138439198173304,-1.2852858437973642
-3.005804673291666,-3.114942538049579,-1.2855259113260653
-3.0073255646877106,-3.1165654057890326,-1.2859004334116695
-3.0048485495339508,-3.113919603896786,-1.2852812190960226
-3.005776668645768,-3.114912375836456,-1.2855148318889325
-3.0025196753106114,-3.1114345872863263,-1.28473810147603
-3.007047282393644,-3.1162680004413152,-1.2858324308760338
-3.0072084023146086,-3.1164406475279227,-1.2858706764561647
-3.0070296973460913,-3.1162490567167103,-1.2858279541216415
-2.9998035589212337,-3.108526935282643,-1.2840756048336321
-3.005851157139243,-3.1149896220489306,-1.2855394692388367
-3.0063026704093376,-3.1154754028896408,-1.285638220041465
-3.0072637716093547,-3.1164996213488725,-1.285884704962238
-3.003864176474119,-3.112886765350623,-1.2849693683916696
-3.0060369460341128,-3.1151888809253023,-1.2855854101222521
-3.004615477519137,-3.113669264629837,-1.2852503099738648
-3.002796535669772,-3.111734779695214,-1.284763358458162
-3.007171191883855,-3.1164004420451374,-1.2858625366115812
-3.0073117330055656,-3.1165505538734535,-1.2858970574101585
-2.9995857200009897,-3.108291138016393,-1.284041444916978
-3.0046214846767327,-3.1136830418367345,-1.2852095664585121
-3.0058022443715475,-3.114941158305051,-1.2855217513412418
-3.006004127762855,-3.1151544942386753,-1.2855772461604607
-3.007313233547012,-3.116552153272111,-1.2858977072586046
-3.005859615247842,-3.115006961057703,-1.2855254908172555
-3.007301525914031,-3.1165398601566014,-1.2858942386521865
-3.007149717507678,-3.116377493742101,-1.2858572695308723
-3.0073353191476007,-3.11657582163097,-1.2859028861010875
-3.0064209326963836,-3.1156011268771926,-1.2856693103682293
-3.0019616601335377,-3.1108319199317997,-1.2846044218787025
-3.0072889326256704,-3.1165265111970855,-1.2858909057549528
-3.0072917506306114,-3.116529053551476,-1.2858925863956756
-3.004005098462608,-3.113017696814371,-1.28509073555689
-3.007274991389918,-3.1165116219804077,-1.2858874951405739
-3.0041315380036484,-3.1131581333837786,-1.2851116430487601
-3.000578744682565,-3.1093670224676475,-1.2842362733827815
-3.0073364406701337,-3.116576990162353,-1.2859033112615992
-2.9999575801187444,-3.108732137401994,-1.2839227036732332
-3.0041283369585354,-3.113170132461005,-1.285076325107476
-3.002441306918988,-3.111362285628717,-1.2846830841153694
-3.0055081884095376,-3.1146227028839357,-1.2854572659778423
-2.99968847189039,-3.10837750745488,-1.2841390832888218
-3.0072420810523948,-3.116476124401444,-1.2858800535250619
-3.005350764236534,-3.1144588006730016,-1.2854057381967519
-3.0021346508038578,-3.111045749341349,-1.2845892495078615
-3.0072759943336402,-3.116512621737217,-1.2858878413958252
-2.9997203073978476,-3.1084640139465884,-1.2840149128340492
-3.0072969388909967,-3.1165348097469727,-1.2858934378863769
-3.0072766068209984,-3.116513198094394,-1.2858881694243103
-3.007295002333626,-3.1165329554863352,-1.2858922280915228
-3.0072832633156437,-3.116520218034144,-1.2858899444781562
-3.007304914755513,-3.116545121658422,-1.285892823931742
-3.0072367714186776,-3.116470518777129,-1.2858786366452137
-3.006774700608518,-3.1159769958206587,-1.2857657255787334
-3.005029309447664,-3.114115536393256,-1.285327918380768
-3.005374555710816,-3.1144798365565287,-1.2854251039964597
-3.0045440067825844,-3.113601880060149,-1.285207241500652
-3.0069862373417457,-3.116203664149575,-1.2858150762173337
-3.0073333207570845,-3.1165736499894554,-1.2859024994062216
-3.0073124716803963,-3.116551422582549,-1.2858971783009179
-3.0048522742540014,-3.1139310081215656,-1.2852747098879058
-3.007285424958737,-3.11652259247854,-1.2858903820831569
-3.0031361632110385,-3.1120977661086875,-1.2848672816853797
-3.0069094177788367,-3.1161202934407743,-1.2857989142817503
-3.0073315538882137,-3.1165717923966203,-1.2859019573202404
-3.0072207692779935,-3.116453773800531,-1.2858738990105025
-3.0019368544580027,-3.110782661505107,-1.2846603522574538
-3.0054933625681057,-3.114613315838555,-1.2854404548719531
-3.0047151140591346,-3.1137783226280185,-1.2852627893913744
-3.007218206011793,-3.116451062713766,-1.285873213645349
-3.007274602104627,-3.1165111238744667,-1.2858875174044613
-3.0049557852691993,-3.114048460242664,-1.2852552562680222
-3.007326078533488,-3.1165659058243045,-1.2859006897629663
-3.0028282643630186,-3.1117878618837427,-1.2847537321857516
-3.0052256718290047,-3.114326149719594,-1.2853799029258426
-3.0049085051634394,-3.1139803091308633,-1.285315982324919
-3.0072385305116107,-3.1164723421060945,-1.2858793476920063
-3.0073271821004472,-3.1165671280734544,-1.2859009085067699
-3.0073218975466327,-3.116561366704233,-1.2858997278606699
-3.005612628543515,-3.114739516149108,-1.2854737077776217
-3.0058776430027625,-3.1150153907257176,-1.285551395565732
-3.0066933251824257,-3.1158891872201893,-1.2857441138288035
-3.005936137593224,-3.1150810687177604,-1.285568824954994
-3.0072979610591424,-3.116535890912771,-1.2858936382115722
-3.002505379327224,-3.1114205028564483,-1.2847279604126645
-3.00571796516484,-3.114846887009162,-1.2855067294827378
-3.0054841455710197,-3.1146048620489113,-1.2853972103041378
-3.0071782904289104,-3.116427805445679,-1.2858674075707437
-3.0072580542275564,-3.1164935199377757,-1.2858832870293957
-3.002252874297296,-3.111148117650895,-1.2846482127368644
-3.0073152292594396,-3.116554405019689,-1.2858977412117973
-3.005387215538468,-3.1145044901974175,-1.285404870079525
-3.004733822027521,-3.1137953691717373,-1.285268595040189
