stim*contrast,previous,bias
-4.098560262931642,-3.557872523781805,-1.9119930795578182
-4.098110819223229,-3.5554970854782675,-1.909628865649803
-4.098506919478422,-3.5576054902177066,-1.9117262034377047
-3.996091924057024,-3.5504831921794646,-1.9054573286473357
-4.046736339794367,-3.5522830931732265,-1.906832417063464
-3.9560628973390486,-3.544800459237934,-1.900131047294773
-4.097709205590728,-3.5567679579083307,-1.9109488796858494
-4.098307882477726,-3.5565152208640964,-1.9106417705308496
-4.105488836263933,-3.5579266409279113,-1.9119952437098287
-3.9887442527862023,-3.5444736745909915,-1.8995235995201722
-4.098491447402431,-3.5574730917849218,-1.9115940680203176
-4.095467730293024,-3.550556607177637,-1.90483648233278
-4.040529743447825,-3.5499709879880426,-1.9045737573051236
-4.098163883098099,-3.5574195053374136,-1.9115694149553935
-4.0493662832243835,-3.5556059470885795,-1.9101406508868501
-4.098195137080374,-3.5550547417885077,-1.9091829303804015
-4.015797249681435,-3.5499393150539067,-1.9047459872842958
-3.9469560075743053,-3.5449700413204015,-1.9003882866649182
-4.088749380740591,-3.5472401025726437,-1.9022069358382565
-4.098042596268734,-3.5541101832289503,-1.9082428942739407
-4.098557468667218,-3.557844357672073,-1.911964490207684
-4.080983756273896,-3.557773849520397,-1.9120450437020322
-4.02334475726584,-3.5528811034663144,-1.9076249185418284
-4.071522619884881,-3.5544268668524,-1.9087711554684181
-4.097701435852197,-3.553638551314072,-1.9077851474533765
-4.098311799965307,-3.5574665608089164,-1.9116010959622647
-4.0980129348932,-3.5574913926042724,-1.9116661067428753
-4.098225744374746,-3.5551962505421093,-1.9093235131809312
-4.074974381798671,-3.555002418817625,-1.9093179108628813
-4.026752128342939,-3.556572154879564,-1.9113052260005123
-4.097190545995538,-3.5575336979943746,-1.9117481254871813
-3.9351136216033726,-3.5482259294225384,-1.9037435299200531
-3.9991153347056665,-3.551705870091919,-1.9066538283301118
-4.091608460509862,-3.5569672261126772,-1.9111446014350748
-4.070873020272175,-3.5573531825318403,-1.9117158407547272
-4.09765445558609,-3.553712190337363,-1.907859948688315
-4.057947530108341,-3.556307429955263,-1.910766588204307
-4.095877128491118,-3.5531689155748465,-1.9074038569381158
-4.098521919791039,-3.557846694235222,-1.9119695395914453
-4.098181462077349,-3.557434797407553,-1.9115830647255225
-4.098418089677814,-3.556918338477565,-1.9110408732401927
-4.098129944120682,-3.557120496889238,-1.9112652871011369
-4.0513638443418625,-3.5545026963622375,-1.909014784133221
-4.0009921932425465,-3.550618635786079,-1.9055497410066944
-4.098392736756354,-3.557477820422542,-1.911604098229736
-4.089482095539946,-3.5476741528592837,-1.902560139396422
-4.071598454927683,-3.557512652132736,-1.911868330666157
-4.058641759326531,-3.5503633098914213,-1.9048172303658413
-4.087898964729658,-3.5503952975208035,-1.9053639860261893
-4.098463687952955,-3.557579353578205,-1.911702074662081
-4.047789869161716,-3.5569582885823743,-1.9115068729618447
-4.097843652403655,-3.554194939890408,-1.9083361644849262
-3.981028798501873,-3.552194286715117,-1.907330133077291
-4.038988425602666,-3.556156184719449,-1.9107986485321151
-4.029851052141272,-3.5502148225221566,-1.9049042368158988
-4.098252368050027,-3.555323089200519,-1.9094496227495545
-4.025096819290123,-3.550388568995155,-1.9051175791918422
-4.097911366379766,-3.5560190172604673,-1.9101617639020627
-3.967347622035004,-3.5521011492878483,-1.9073474123304346
-4.098173923943259,-3.5571430309776204,-1.9112798317114694
-3.936508803752559,-3.5514582160903494,-1.9069653211699407
-4.097827813218367,-3.5543375096074032,-1.9084787254848345
-4.031808803792895,-3.5510956578690296,-1.9057686828179747
-4.070415486682399,-3.5576505146085005,-1.9120285258375929
-4.042831976785369,-3.556897037513857,-1.9114902391148376
-4.084266558044823,-3.5578466237455006,-1.9120853544486824
-4.02456254992506,-3.5537017403629996,-1.9084367015546073
-4.068623939566498,-3.5538604199665964,-1.9082289901842309
-3.988187162009811,-3.5503510637124367,-1.9053943574708923
-4.0249522450975785,-3.5567649784203783,-1.9114975426824303
-4.014783675780781,-3.552507719518916,-1.9073229841569033
-4.04346815825897,-3.556413719773942,-1.9109943202364876
-3.9657802590055664,-3.543920377001392,-1.899178196674461
-4.004901763504261,-3.54680201338068,-1.9016957044161458
-4.058554701081499,-3.5535369598637434,-1.90798821482724
-4.061821955992971,-3.5570900432918617,-1.9115153633680841
-4.097734641254939,-3.553573146272661,-1.9077180395351672
-4.0860035025744965,-3.5563136621874483,-1.9105375798286968
-3.9454537962565603,-3.549682696162419,-1.9051169499777263
-4.052677013095101,-3.552273263357555,-1.9067738206843514
-4.09854329919072,-3.5578294730695004,-1.9119502466466471
-4.097885065364997,-3.557055373285617,-1.9112254125670913
-4.089696783870668,-3.5467552227515453,-1.9015709392930757
-4.0946156739694075,-3.549344431760886,-1.9036814182532562
-3.9628543117374337,-3.544271241014476,-1.8995235354379076
-3.9829521385889235,-3.552968337000652,-1.9080721594892196
-4.0203230327055355,-3.5552191170720358,-1.9100025201313267
-4.097978089784368,-3.557120287820177,-1.9112821298812173
-4.098297072360298,-3.555803828611122,-1.9099292639284233
-4.095346370216404,-3.550187064675038,-1.9044727702360942
-3.975156713375533,-3.5496670657092526,-1.9048247641439155
-4.098102952890437,-3.5546354382852483,-1.908766498117946
-4.052990879683392,-3.5534637377336002,-1.9079612028727073
-4.098325891295792,-3.556304057368063,-1.9104290016874863
-4.015426015353535,-3.549723402259456,-1.904533040370753
-4.097986691305007,-3.555237793068841,-1.909375037866012
-4.098459396068583,-3.5576020758855664,-1.9117256948572063
-4.09851700008847,-3.5575218359962615,-1.911642094933441
-4.029559652356192,-3.5559350878500777,-1.910639058669541
-4.074674227981963,-3.5577428792957937,-1.9120629553174597
