perm_idx,state_idx,BIC
0,1,11035.348713818303
0,2,10987.401573965482
1,1,11035.348719361371
1,2,10935.111043657947
2,1,11035.348773944206
2,2,10934.168373401597
3,1,11035.348712270159
3,2,10935.110707169933
4,1,11035.348711379047
4,2,10926.290520441202
5,1,11035.348711850045
5,2,10922.284366789432
6,1,11035.348711340197
6,2,10932.734503385263
7,1,11035.348711464847
7,2,10935.110199751925
8,1,11035.348712414987
8,2,10935.110663215419
9,1,11035.34871144915
9,2,10932.004652757376
10,1,11035.348711675004
10,2,10983.043369027537
11,1,11035.349092950002
11,2,10938.684522221401
12,1,11035.348731332353
12,2,10933.910398146052
13,1,11035.348713818188
13,2,10932.338074572892
14,1,11035.348711800469
14,2,10937.392490889026
15,1,11035.348711395318
15,2,10933.790867732425
16,1,11035.348711677487
16,2,10935.110069300279
17,1,11035.348759624876
17,2,10935.317491261208
18,1,11035.348769251872
18,2,10934.118947294088
19,1,11035.348711742108
19,2,10935.145156019058
20,1,11035.348711770146
20,2,10931.33093114872
21,1,11035.34871138903
21,2,10932.021830976084
22,1,11035.348711644881
22,2,10934.943430342273
23,1,11035.348711341021
23,2,10935.111218403621
24,1,11035.34871161575
24,2,10923.515057716475
25,1,11035.348711514527
25,2,10935.524004262597
26,1,11035.348975620724
26,2,10923.08760800446
27,1,11035.348711637804
27,2,10928.186459652925
28,1,11035.348711442675
28,2,10933.14290426379
29,1,11035.348711363175
29,2,10930.180995788573
30,1,11035.348711738632
30,2,10930.368279839257
31,1,11035.348711357088
31,2,10935.110916429434
32,1,11035.348711358125
32,2,10923.621770530503
33,1,11035.34871197559
33,2,10929.177332460402
34,1,11035.34871320256
34,2,10930.241565533193
35,1,11035.348711429997
35,2,10915.920940589744
36,1,11035.348713597592
36,2,10936.539078890244
37,1,11035.348711808138
37,2,10926.427226404123
38,1,11035.348711681534
38,2,10935.110422369362
39,1,11035.348717223822
39,2,10938.394851854102
40,1,11035.34908639728
40,2,10934.373552519277
41,1,11035.349121998435
41,2,10927.88570768685
42,1,11035.348711391092
42,2,10930.789049700768
43,1,11035.348711391569
43,2,10923.049266964983
44,1,11035.34871132392
44,2,10935.111340262678
45,1,11035.348711629109
45,2,10922.92119747382
46,1,11035.348711342338
46,2,10937.39068812419
47,1,11035.348720391366
47,2,10927.244198676957
48,1,11035.348711384362
48,2,10926.22770488126
49,1,11035.349000826753
49,2,10935.818204378294
50,1,11035.348737170456
50,2,10931.86174329744
51,1,11035.348711691195
51,2,10934.989592260144
52,1,11035.348711476398
52,2,10934.637770783858
53,1,11035.348716962813
53,2,10935.110108288201
54,1,11035.349057282432
54,2,10934.282320313092
55,1,11035.348712758352
55,2,10926.09769481075
56,1,11035.348711519548
56,2,10929.740050748764
57,1,11035.348711703462
57,2,10930.151016403272
58,1,11035.348711824938
58,2,10929.98909870804
59,1,11035.348716145421
59,2,10931.976419906068
60,1,11035.348933451834
60,2,10935.111074975477
61,1,11035.348711602794
61,2,10935.111103238722
62,1,11035.348711566769
62,2,10935.110698111777
63,1,11035.34871132016
63,2,10932.06700069555
64,1,11035.348711859031
64,2,10929.263562938351
65,1,11035.348711353596
65,2,10976.636293610896
66,1,11035.348713832986
66,2,10930.280404322488
67,1,11035.348711363647
67,2,10932.804505356306
68,1,11035.348716135608
68,2,10978.334789498122
69,1,11035.348724208598
69,2,10935.110078049467
70,1,11035.348712338626
70,2,10924.976498698099
71,1,11035.348926782277
71,2,10930.767594254774
72,1,11035.348711626844
72,2,10935.110267465278
73,1,11035.3490081069
73,2,10922.0399928553
74,1,11035.348719726566
74,2,10980.746118843803
75,1,11035.348711492625
75,2,10935.110168202575
76,1,11035.348711513983
76,2,10928.822551421435
77,1,11035.34871138515
77,2,10929.873732274622
78,1,11035.3487114211
78,2,10928.827511211499
79,1,11035.348874888708
79,2,10927.73761588284
80,1,11035.348711570774
80,2,10934.853700266563
81,1,11035.348711320788
81,2,10935.113416286174
82,1,11035.348711375362
82,2,10937.975081630739
83,1,11035.348711413748
83,2,10935.11006237733
84,1,11035.348711357747
84,2,10937.390899742624
85,1,11035.348711834538
85,2,10911.723285859132
86,1,11035.348714913029
86,2,10933.610085150955
87,1,11035.348711434499
87,2,10923.275800230378
88,1,11035.348713404219
88,2,10932.94548623835
89,1,11035.348724334835
89,2,10933.354169245424
90,1,11035.348711440027
90,2,10933.969675918916
91,1,11035.348711781256
91,2,10935.110608624113
92,1,11035.348736336282
92,2,10934.642454413917
93,1,11035.348713490263
93,2,10932.334164604383
94,1,11035.348833921864
94,2,10935.217384396336
95,1,11035.348717364868
95,2,10935.111196518299
96,1,11035.348736310745
96,2,10933.237031109024
97,1,11035.348718376554
97,2,10924.87292851639
98,1,11035.34871138578
98,2,10933.450211375557
99,1,11035.348717156397
99,2,10937.392163175145
