theta,prev_resp,bias
-0.8730552843630992,-0.2838519842574949,-0.12386398565444141
-0.8730546518662415,-0.2838546519563398,-0.12385823872908973
-0.8730447648562834,-0.2838520623651453,-0.12385785366230004
-0.8730508987507661,-0.2838528058192279,-0.12386082057806112
-0.8730548910598935,-0.2838543310557084,-0.12385790854606303
-0.8733234018503103,-0.2840610795507928,-0.12398513731407577
-0.873053409640067,-0.28384956041789955,-0.12386861171389447
-0.8730560572120353,-0.28385309456247165,-0.12386054708756528
-0.8730627297022279,-0.2838728948856922,-0.12387560564961289
-0.8730457620920307,-0.2838544225329364,-0.12385101381807005
-0.8730436134207511,-0.28385715113785814,-0.12385279009313964
-0.8730566076281586,-0.2838529058451929,-0.12387177909285038
-0.8730432652184857,-0.2838116451972326,-0.12390625682738836
-0.8730571588415466,-0.2838418167039779,-0.12386154129373848
-0.8730472604480376,-0.28385010094495683,-0.12385626112343265
-0.8730460447399337,-0.28386288369946666,-0.12385011144813063
-0.8730543411641379,-0.28386492042619704,-0.12386092587482718
-0.8730544662020896,-0.28385365307793836,-0.12386095100827219
-0.8730359932479784,-0.28385711159422267,-0.1238319704885874
-0.873054203913182,-0.2838525838930695,-0.12385419591451281
-0.8730575752275387,-0.2838530568584054,-0.12386144085890581
-0.8730517140245927,-0.28384869843185345,-0.1238675511475803
-0.8730341934572514,-0.2838357574346708,-0.1238861099605453
-0.8730596264976499,-0.28385755259390455,-0.12387242732945976
-0.8730477972194952,-0.2838457509522187,-0.12387413806378267
-0.8729714389236783,-0.2838203879355332,-0.12420684363090893
-0.8730518809281015,-0.28385611562211827,-0.12387089598388369
-0.8730485383602612,-0.283847083724662,-0.12386504661075864
-0.8730478446659213,-0.28385814545016386,-0.12384760515681555
-0.8730197602204431,-0.28384944568408516,-0.12385343095604277
-0.873051360164286,-0.28384657412841535,-0.12386461555171226
-0.8730550816236877,-0.2838515294666093,-0.1238650064380598
-0.8730550882653908,-0.2838519448349461,-0.12385320677322777
-0.8730564318153564,-0.2838525669176727,-0.12385766155781673
-0.8730456469554243,-0.28385461443979093,-0.12386359974176062
-0.8729506305669916,-0.28381222782727117,-0.12379786894183725
-0.873053215342992,-0.28385285689638573,-0.12385174653955763
-0.8730219231073109,-0.28385312138510566,-0.12382805237213663
-0.8730506037706673,-0.28385463134957517,-0.12385330850892033
-0.8730513434759792,-0.2838768842948912,-0.12383544383369695
-0.8730491211115844,-0.2838458240658707,-0.12387193394838086
-0.8730567152934384,-0.2838477483421579,-0.1238676088348612
-0.8730421082622289,-0.2838547313741203,-0.12384805622690828
-0.8730662294387219,-0.2838600443735926,-0.1238638730021449
-0.8729373057773331,-0.28386595068417103,-0.12383007051259133
-0.8730509949386849,-0.28385202017446076,-0.12385556269719832
-0.8730466309784736,-0.2838549563947718,-0.12385028215163632
-0.8730556118825243,-0.28385977526505923,-0.12385370352317411
-0.8730524119621264,-0.2838591957532279,-0.12384977281321927
-0.8730546751909662,-0.2838502770257405,-0.12386325887530084
-0.8730517823896591,-0.28384982555636046,-0.12385294087384505
-0.8730553463666338,-0.28385460549043007,-0.12385829683870263
-0.873059343223217,-0.28385915430875186,-0.12385967204525324
-0.8730578725732386,-0.28385737684616347,-0.12385909182008474
-0.8730477979569374,-0.2838510784950936,-0.1238579107852921
-0.8730634046349126,-0.28386314608138496,-0.12386510472450492
-0.8730535755006066,-0.28385502977852317,-0.1238574121967665
-0.8730346111011347,-0.28386730073783295,-0.12384471819230283
-0.8730480011181523,-0.2838502222510625,-0.12385682475713923
-0.8730353295406841,-0.28384885818687483,-0.1238401453716706
-0.8730567343895902,-0.2838505085042805,-0.12386486048281445
-0.8730551869680836,-0.28385172529024866,-0.1238645450887776
-0.8730541578208327,-0.2838524133088282,-0.12386153908096721
-0.8730524909598203,-0.2838526650933547,-0.12385434769937226
-0.87305160434433,-0.2838516371365606,-0.12385804927109174
-0.8730550822301214,-0.28385228159963277,-0.12386303113421736
-0.8730025785119925,-0.28382671128120546,-0.12389342953900608
-0.8728907556476674,-0.28382167169322464,-0.12384537795859611
-0.8730464770419377,-0.28385470080347813,-0.12385036988218863
-0.8730496458249053,-0.2838482351275797,-0.12386593113770272
-0.8730600727408684,-0.2838506038482962,-0.12385968767892357
-0.8729959054454238,-0.28380976496232113,-0.12387064014502727
-0.8730487585541108,-0.2838529447042871,-0.12386206547501769
-0.8728932600616982,-0.28382606665059357,-0.12376849916262438
-0.873050159661887,-0.28385289311752343,-0.12385513800109059
-0.8730538769273376,-0.2838538889416798,-0.12385733900732897
-0.8730567111436511,-0.2837600536628212,-0.12372154165842907
-0.8730510163804025,-0.2838446615636278,-0.12387559161948716
-0.8729787930370729,-0.28369356496103265,-0.1238687030171159
-0.8730535566305353,-0.2838494361806186,-0.12386362948157568
-0.8730548090553772,-0.28385211515985714,-0.12385460559958825
-0.8730552312105178,-0.2838548263181693,-0.12385794021995891
-0.8730555760316734,-0.2838544590179239,-0.1238575997238436
-0.8728442511963351,-0.2837100944793449,-0.12380663332082036
-0.8730603574791109,-0.2838616607834288,-0.12391033424120161
-0.8728824865558473,-0.2837157431950203,-0.12384755706950079
-0.8730377755526777,-0.2838666553810901,-0.12384745920910048
-0.8730289117562183,-0.28390126180629854,-0.12380871319951141
-0.8730594949848128,-0.28385927197409266,-0.12385969609003543
-0.8728732778814408,-0.2841131471994766,-0.12358838325888404
-0.8730506280172727,-0.2838538193185252,-0.12385543834222956
-0.8730374783369418,-0.28384066097064903,-0.12385677115678362
-0.8730349879402188,-0.28385492039702315,-0.1237935523375089
-0.8730221863015126,-0.28384048584047183,-0.12386993079750122
-0.873025483794803,-0.28383648752815005,-0.12386160671139129
-0.8731070138332367,-0.28390266499300354,-0.12389247065221501
-0.8730548695554837,-0.28385091421262265,-0.12386269603823141
-0.8730527522372564,-0.2838538419275674,-0.12386081317421263
-0.8730494572125779,-0.28385618802141055,-0.1238542138098701
-0.8729147516674282,-0.28372085579363715,-0.12384391081866707
