theta,prev_resp,bias
-0.8778971599631658,-0.28175803092907276,-0.1260744689026327
-0.8779070932675328,-0.2817570446111955,-0.1260852209887572
-0.8778319863520714,-0.28167771980979334,-0.12611052285087226
-0.8778946418737772,-0.28175799854839834,-0.1260738516957526
-0.8779537668912735,-0.2816787242399397,-0.12623325565140356
-0.8779059999209818,-0.2817580274182526,-0.12608096699255775
-0.8778620013864615,-0.2817330299331538,-0.1260635307472517
-0.8778915597032695,-0.28176303562269883,-0.1260864239598688
-0.8774634238866952,-0.2814826204191708,-0.1261185784375265
-0.8778705979610817,-0.28174499712230394,-0.12607435623883706
-0.8779054728945901,-0.28175120574178014,-0.12609482946203787
-0.8778961989586906,-0.2817581086176757,-0.1260720944772318
-0.8779105832700752,-0.2817631956651632,-0.12608291095727822
-0.8779056591082562,-0.2817533324403816,-0.12609546413524403
-0.8778184133004981,-0.28167822450719354,-0.12609608998614089
-0.8779069896369917,-0.28175135830868037,-0.1260982404818161
-0.877917107334343,-0.28175239697317006,-0.12608891173019307
-0.8777477144067888,-0.28177137968657545,-0.12602154302513058
-0.8779010031852615,-0.2817579281948019,-0.12607875990391093
-0.8779026482536753,-0.28175173997448,-0.1261023652909158
-0.8778867743245338,-0.2817562691427169,-0.12607106638558221
-0.8777972843743319,-0.2817305448139263,-0.12602111108279845
-0.8778875907369472,-0.28175177370138293,-0.1260760526994461
-0.8777411597667935,-0.2817134040911019,-0.12601356785471987
-0.8779465116398959,-0.28177102597648046,-0.1261071757055719
-0.8779119984431405,-0.2817693442228336,-0.126079373287004
-0.8779067108010419,-0.28175466177693764,-0.1260954688774241
-0.8777775237157012,-0.2817629106340051,-0.1259991365613661
-0.8779095138618663,-0.28176616897762435,-0.12608731756310998
-0.8778866807489276,-0.2817458276269899,-0.12608142645416306
-0.877946056098156,-0.28165823631409875,-0.12617755270857428
-0.8778971101003171,-0.28175591342525724,-0.12608048905000122
-0.8779084473215247,-0.2817543834118917,-0.12609315819152075
-0.8778955851207383,-0.2817595916133098,-0.1260756266957076
-0.8778865228058539,-0.2817505761819916,-0.12614136464924494
-0.8779021882925124,-0.28175738122682115,-0.12608627458492727
-0.877884862001038,-0.28175357649946003,-0.12607790355335297
-0.8779001611065478,-0.2817578398622338,-0.12607274347301245
-0.8779051574970858,-0.28175849288484517,-0.12608473362689818
-0.8779108539508393,-0.28175086133928945,-0.12609354107539772
-0.8777419531694104,-0.2817057226358945,-0.12603715201372323
-0.8779053597150029,-0.28176586883105303,-0.1260763284522806
-0.8779074449890377,-0.2817593547398815,-0.12609679950420302
-0.8778546972803153,-0.2816731846454184,-0.1261808068244542
-0.8777853885826569,-0.2814702835442501,-0.1261287972328894
-0.8779165217570067,-0.2817620157518578,-0.12612276954382345
-0.8779115086117636,-0.28176290642520146,-0.1260762613544994
-0.8778186524870113,-0.28172596410961287,-0.12603775173174492
-0.8778131158191915,-0.28152215579262374,-0.12605202051868433
-0.8779107858414966,-0.28175887219404216,-0.12608372889291167
-0.87790250739743,-0.2817481249861827,-0.12606059744475678
-0.8779172794226308,-0.2817637025502956,-0.12609765845340168
-0.8779077521464742,-0.28176951634212083,-0.12611153022043364
-0.8779095914524296,-0.2817571475848329,-0.12608665477567993
-0.8779099185814693,-0.2817635554317843,-0.12608285850246104
-0.8779090297469229,-0.2817579571037133,-0.12608728529999966
-0.8778990449205817,-0.28175927894045955,-0.12608069165418506
-0.8779019466562522,-0.2817542794560258,-0.12607382254040705
-0.8778891467059932,-0.2817584135576122,-0.12613801837544802
-0.8778768104959399,-0.28177049003542154,-0.1260392993662659
-0.8779489197444533,-0.281709136053263,-0.12630744160723814
-0.8779026522015461,-0.28175656220130707,-0.1260851256243729
-0.8778360687443993,-0.28170154827899,-0.12615622415402344
