perm_idx,state_idx,BIC
0,1,8842.1466166958
0,2,8756.319722539414
1,1,8842.146822639515
1,2,8756.3192403449
2,1,8842.146580697008
2,2,8754.85088711818
3,1,8842.146699599061
3,2,8753.550984130976
4,1,8842.146565148543
4,2,8756.319219394058
5,1,8842.146608238509
5,2,8756.31989371528
6,1,8842.146566422438
6,2,8756.319189498738
7,1,8842.146565687506
7,2,8756.31963150396
8,1,8842.146566348727
8,2,8756.319267763056
9,1,8842.14660536837
9,2,8756.319646696498
10,1,8842.146578921032
10,2,8756.319906188448
11,1,8842.146567924143
11,2,8756.320517393135
12,1,8842.146565114826
12,2,8756.319293511968
13,1,8842.14659118164
13,2,8795.516863218094
14,1,8842.14660342787
14,2,8758.240995942448
15,1,8842.146575999439
15,2,8756.082020744121
16,1,8842.146581262145
16,2,8756.325107884582
17,1,8842.14656476758
17,2,8755.777491267338
18,1,8842.146565497958
18,2,8756.31921342203
19,1,8842.146611990893
19,2,8756.31928440841
20,1,8842.146621268697
20,2,8756.320147276489
21,1,8842.146569649882
21,2,8757.331245063511
22,1,8842.146718326294
22,2,8756.31927167839
23,1,8842.146569229664
23,2,8756.32000013951
24,1,8842.146579710308
24,2,8754.09262848813
25,1,8842.146564443241
25,2,8754.043866345608
26,1,8842.146564729017
26,2,8756.319272955696
27,1,8842.146579253578
27,2,8756.319329863134
28,1,8842.146565020894
28,2,8754.906364504095
29,1,8842.146564551278
29,2,8756.320013993287
30,1,8842.146589853084
30,2,8756.319724130171
31,1,8842.146564355173
31,2,8756.322181587544
32,1,8842.146589709087
32,2,8756.319271144668
33,1,8842.146598743515
33,2,8756.319570995418
34,1,8842.146564302586
34,2,8756.320111366409
35,1,8842.14656464729
35,2,8756.31948497925
36,1,8842.146564264192
36,2,8756.899026432917
37,1,8842.146564279594
37,2,8756.32017469478
38,1,8842.14658494562
38,2,8756.319463043417
39,1,8842.14656531312
39,2,8756.319537749241
40,1,8842.146567692469
40,2,8753.487175576718
41,1,8842.146570839366
41,2,8756.31928525133
42,1,8842.146571465788
42,2,8756.319341676593
43,1,8842.146565101126
43,2,8756.319320330787
44,1,8842.146566603844
44,2,8755.94907698322
45,1,8842.146569704015
45,2,8756.319572929899
46,1,8842.146632268024
46,2,8756.319361815033
47,1,8842.146564260585
47,2,8756.31933635243
48,1,8842.14656483901
48,2,8751.261831685499
49,1,8842.146566326142
49,2,8756.319576003392
50,1,8842.146564250037
50,2,8756.319517321306
51,1,8842.146573491866
51,2,8756.319417599314
52,1,8842.146734933964
52,2,8756.321078262004
53,1,8842.146564951112
53,2,8752.281703377133
54,1,8842.14656504922
54,2,8756.319586209991
55,1,8842.146581983643
55,2,8756.319513797574
56,1,8842.146570016219
56,2,8756.32009264458
57,1,8842.146599970727
57,2,8741.691438209755
58,1,8842.14662947243
58,2,8756.319322176363
59,1,8842.146565345114
59,2,8756.320183724489
60,1,8842.14656427531
60,2,8756.319766003417
61,1,8842.1466016191
61,2,8757.034286421835
62,1,8842.14656437028
62,2,8756.31937968007
63,1,8842.14660250841
63,2,8756.319837852461
64,1,8842.1466093158
64,2,8757.370745672128
65,1,8842.146794079687
65,2,8755.844428516202
66,1,8842.146566009818
66,2,8756.32061294395
67,1,8842.146655740096
67,2,8754.367797910725
68,1,8842.146564266668
68,2,8756.319972172398
69,1,8842.146706756606
69,2,8756.319236625259
70,1,8842.146566346397
70,2,8756.320344682514
71,1,8842.146565111032
71,2,8756.32308961934
72,1,8842.146574624685
72,2,8756.319275818736
73,1,8842.146577089281
73,2,8756.095790849653
74,1,8842.146573808848
74,2,8756.057702177304
75,1,8842.146576335741
75,2,8753.103930197927
76,1,8842.146568340615
76,2,8756.315914747469
77,1,8842.146564496566
77,2,8756.319471487579
78,1,8842.146564318242
78,2,8756.319805595023
79,1,8842.14658020571
79,2,8756.31962092759
80,1,8842.146564549003
80,2,8754.86763073449
81,1,8842.146565271354
81,2,8756.319490966904
82,1,8842.14660358236
82,2,8756.319805694671
83,1,8842.146564868457
83,2,8759.85397864226
84,1,8842.146655351926
84,2,8756.319358774035
85,1,8842.146652399175
85,2,8756.319209741509
86,1,8842.146578428317
86,2,8752.542660071325
87,1,8842.146608352301
87,2,8756.322010895745
88,1,8842.146564298875
88,2,8795.58338710792
89,1,8842.146570612074
89,2,8756.319407436991
90,1,8842.146565477373
90,2,8756.319660168052
91,1,8842.146838064707
91,2,8755.356288361938
92,1,8842.146677667582
92,2,8756.319670114774
93,1,8842.146569398275
93,2,8752.47964350639
94,1,8842.14656623434
94,2,8755.099311143673
95,1,8842.14657004197
95,2,8752.869332636594
96,1,8842.146571431571
96,2,8756.31966241154
97,1,8842.1465642269
97,2,8754.948057939455
98,1,8842.146595657317
98,2,8756.319882388496
99,1,8842.146564733264
99,2,8756.319545276958
