perm_idx,state_idx,BIC
0,1,11055.03472175896
0,2,10963.417911266579
1,1,11055.034721655818
1,2,10963.418664443874
2,1,11055.034721625558
2,2,10963.417974818154
3,1,11055.03472182245
3,2,10963.418330925972
4,1,11055.034729393636
4,2,10963.420517837312
5,1,11055.034721747308
5,2,10957.965033935723
6,1,11055.034721624248
6,2,10963.418705064994
7,1,11055.034721689093
7,2,10963.419322928768
8,1,11055.034722226545
8,2,10963.356526666732
9,1,11055.034722457709
9,2,10963.419888318313
10,1,11055.034721620506
10,2,10960.487669882756
11,1,11055.034721680482
11,2,10964.179545037827
12,1,11055.035056518722
12,2,10956.659553160373
13,1,11055.034721637829
13,2,10962.178906469366
14,1,11055.034726743024
14,2,10961.919346639257
15,1,11055.034721695383
15,2,10961.082793371852
16,1,11055.034811586556
16,2,10962.11043589265
17,1,11055.034721620743
17,2,10956.873579880537
18,1,11055.034721619717
18,2,10952.63401094172
19,1,11055.034721631357
19,2,10958.883761659112
20,1,11055.034721687922
20,2,10963.41837647624
21,1,11055.034721621312
21,2,10958.590765532967
22,1,11055.034721625834
22,2,10946.20284146851
23,1,11055.034721638165
23,2,10961.87757670257
24,1,11055.034731788308
24,2,10966.348001150116
25,1,11055.034735234452
25,2,10963.419228064373
26,1,11055.034721628514
26,2,10967.848850429591
27,1,11055.034721643357
27,2,10961.925827499652
28,1,11055.034721674452
28,2,10961.296249986883
29,1,11055.03476398822
29,2,10961.832313023097
30,1,11055.034721685764
30,2,10959.826506726105
31,1,11055.034721633774
31,2,10965.88346746778
32,1,11055.034721680273
32,2,10951.015733971759
33,1,11055.034821557063
33,2,10962.918208051917
34,1,11055.034822576088
34,2,10958.115587155075
35,1,11055.034721838952
35,2,10963.200096995786
36,1,11055.034721649816
36,2,11100.656686527229
37,1,11055.034760974377
37,2,10956.740315704556
38,1,11055.034721657861
38,2,10968.052643330297
39,1,11055.034721641749
39,2,10957.996577611675
40,1,11055.034721621792
40,2,10963.417891701129
41,1,11055.034721626163
41,2,10963.417976999204
42,1,11055.034721890353
42,2,10963.418972754282
43,1,11055.034721636026
43,2,10969.264078519864
44,1,11055.034721684582
44,2,10954.072747350654
45,1,11055.034721640712
45,2,10962.44654486011
46,1,11055.034721619742
46,2,10963.40865817205
47,1,11055.034721620481
47,2,10959.180942560797
48,1,11055.034721650525
48,2,10963.442890300934
49,1,11055.034721644772
49,2,10963.666137571263
50,1,11055.034721620283
50,2,10963.426022271276
51,1,11055.03473606667
51,2,10950.413375168657
52,1,11055.034722136746
52,2,10960.243425544339
53,1,11055.034722693137
53,2,10965.192779930063
54,1,11055.03472177159
54,2,10959.60244241546
55,1,11055.034721644462
55,2,10965.073109937126
56,1,11055.034721675644
56,2,10963.418722373197
57,1,11055.034721650201
57,2,10957.381489712126
58,1,11055.03472162275
58,2,10959.227251536919
59,1,11055.03477687209
59,2,10963.41862824715
60,1,11055.03472162484
60,2,10968.931184748662
61,1,11055.034722097407
61,2,10952.82913489733
62,1,11055.03476105176
62,2,10961.651376698062
63,1,11055.034722235285
63,2,10965.260776620162
64,1,11055.034721621463
64,2,10957.646517225163
65,1,11055.034954020508
65,2,10959.423529652793
66,1,11055.034721625461
66,2,10967.963229245182
67,1,11055.0347307153
67,2,10954.910779708114
68,1,11055.034721647959
68,2,10967.75253374252
69,1,11055.034784167814
69,2,10965.87180791583
70,1,11055.034727636188
70,2,10963.418366361788
71,1,11055.034829187896
71,2,10963.41792558205
72,1,11055.034722883733
72,2,10964.764620159443
73,1,11055.034726445801
73,2,10960.854619642914
74,1,11055.034721661958
74,2,10962.887582064935
75,1,11055.034721879803
75,2,10959.7688027104
76,1,11055.03472162
76,2,10964.784420114798
77,1,11055.034721624252
77,2,10964.044892960104
78,1,11055.034721630958
78,2,10961.55113323183
79,1,11055.034740125682
79,2,10963.072304209589
80,1,11055.034721799395
80,2,10963.230377468233
81,1,11055.034721659888
81,2,10952.550819093734
82,1,11055.03472162429
82,2,10963.418441290341
83,1,11055.034721663314
83,2,10962.602597124323
84,1,11055.034724495297
84,2,10961.668968667469
85,1,11055.034745649084
85,2,10957.757055740462
86,1,11055.034721655755
86,2,10963.419990608621
87,1,11055.034721678838
87,2,10962.517315608355
88,1,11055.034728861809
88,2,10969.108193925129
89,1,11055.0347216573
89,2,10955.211306474415
90,1,11055.034732404381
90,2,10967.964510528835
91,1,11055.03472163328
91,2,10959.285496739205
92,1,11055.034722683973
92,2,10967.159653409317
93,1,11055.034721834194
93,2,10947.254862344982
94,1,11055.034721974225
94,2,10963.417899615692
95,1,11055.034722448763
95,2,10956.308349772427
96,1,11055.034725039033
96,2,11100.660386341837
97,1,11055.034721769223
97,2,10963.41869004974
98,1,11055.034721914622
98,2,10959.198347683068
99,1,11055.034721647073
99,2,10966.934758326828
