,obs,resp,stimulus,previous,contrast,state
0,1,1,-1,-1,0.02,2
1,1,-1,-1,1,0.05,2
2,1,-1,-1,-1,0.05,2
3,1,1,1,-1,0.01,2
4,1,1,1,-1,0.05,2
5,1,1,-1,-1,0.01,2
6,1,1,-1,-1,0.05,2
7,1,-1,-1,1,0.05,2
8,1,1,-1,1,0.02,2
9,1,1,1,-1,0.05,2
10,1,1,1,1,0.05,2
11,1,1,-1,-1,0.01,2
12,1,-1,-1,-1,0.02,2
13,1,1,-1,1,0.01,2
14,1,1,1,-1,0.02,2
15,1,1,1,1,0.02,2
16,1,1,1,1,0.01,2
17,1,1,1,1,0.01,2
18,1,-1,-1,1,0.05,2
19,1,-1,-1,1,0.02,2
20,1,-1,-1,1,0.05,2
21,1,-1,-1,-1,0.05,2
22,1,-1,-1,1,0.02,2
23,1,1,-1,-1,0.02,2
24,1,1,1,-1,0.02,2
25,1,1,-1,1,0.02,2
26,1,-1,1,-1,0.05,1
27,1,1,-1,1,0.05,1
28,1,1,-1,1,0.02,1
29,1,-1,1,-1,0.05,1
30,1,-1,-1,1,0.02,1
31,1,-1,-1,-1,0.05,1
32,1,-1,-1,-1,0.01,1
33,1,1,-1,1,0.05,1
34,1,-1,-1,1,0.05,1
35,1,-1,-1,-1,0.02,1
36,1,1,1,-1,0.05,2
37,1,-1,-1,1,0.01,2
38,1,1,-1,1,0.01,2
39,1,1,1,-1,0.02,2
40,1,1,1,1,0.01,2
41,1,1,-1,-1,0.01,2
42,1,-1,-1,-1,0.05,2
43,1,1,-1,-1,0.02,2
44,1,1,1,-1,0.02,2
45,1,-1,-1,1,0.01,2
46,1,1,-1,1,0.02,2
47,1,-1,-1,1,0.02,2
48,1,1,-1,-1,0.02,2
49,1,1,-1,1,0.05,2
50,1,-1,-1,1,0.05,2
51,1,1,-1,1,0.01,2
52,1,1,-1,1,0.02,2
53,1,-1,-1,1,0.05,2
54,1,1,1,-1,0.02,2
55,1,-1,-1,-1,0.05,2
56,1,1,1,-1,0.05,2
57,1,-1,1,-1,0.05,2
58,1,1,-1,-1,0.01,1
59,1,1,1,-1,0.01,1
60,1,1,-1,-1,0.01,1
61,1,1,-1,-1,0.01,2
62,1,1,-1,1,0.01,2
63,1,1,1,-1,0.02,2
64,1,1,-1,-1,0.01,2
65,1,1,1,-1,0.05,2
66,1,1,1,-1,0.05,2
67,1,-1,1,1,0.02,2
68,1,1,-1,-1,0.01,2
69,1,-1,1,1,0.02,2
70,1,-1,-1,-1,0.05,2
71,1,1,-1,1,0.05,2
72,1,1,1,1,0.05,2
73,1,-1,-1,-1,0.02,2
74,1,1,1,-1,0.02,2
75,1,1,-1,1,0.02,2
76,1,1,-1,-1,0.05,2
