obs,resp,stimulus,previous,contrast,state
1,-1,-1,0,0.02,1
1,-1,-1,-1,0.01,1
1,-1,1,-1,0.1,1
1,-1,-1,-1,0.01,1
1,1,-1,1,0.01,2
1,1,-1,1,0.1,1
1,-1,1,1,0.01,1
1,-1,-1,-1,0.01,1
1,-1,1,-1,0.1,1
1,1,-1,1,0.1,1
1,1,-1,1,0.05,1
1,1,-1,1,0.05,1
1,-1,-1,-1,0.1,2
1,1,1,-1,0.02,2
1,-1,-1,1,0.05,2
1,-1,-1,1,0.1,2
1,-1,1,1,0.05,2
1,1,1,-1,0.1,2
1,1,-1,-1,0.05,2
1,-1,1,-1,0.02,2
1,-1,1,-1,0.02,2
1,1,-1,1,0.02,2
1,-1,-1,1,0.05,2
1,-1,-1,1,0.1,2
1,-1,1,1,0.01,2
1,1,1,-1,0.01,2
1,-1,-1,-1,0.05,2
1,-1,-1,1,0.1,1
1,1,1,1,0.1,1
1,-1,-1,-1,0.1,2
1,1,-1,-1,0.01,2
1,-1,-1,1,0.01,2
1,-1,1,1,0.05,2
1,-1,1,-1,0.05,2
1,1,-1,-1,0.01,2
1,1,1,-1,0.02,2
1,-1,-1,1,0.02,2
1,-1,-1,-1,0.02,2
1,1,1,-1,0.01,2
1,1,-1,1,0.1,2
1,1,-1,-1,0.1,2
1,1,1,-1,0.01,2
1,1,1,1,0.1,2
1,1,-1,1,0.01,2
1,-1,1,-1,0.01,2
1,-1,1,1,0.05,2
1,-1,1,-1,0.1,2
1,1,1,1,0.02,2
1,1,1,-1,0.05,2
1,1,1,-1,0.01,2
1,1,1,1,0.1,1
1,-1,-1,-1,0.02,1
1,-1,1,-1,0.02,1
1,1,-1,1,0.01,1
1,1,-1,1,0.01,1
1,-1,1,-1,0.05,1
1,1,-1,1,0.01,1
1,1,1,-1,0.01,2
1,-1,-1,1,0.02,2
1,-1,-1,-1,0.02,2
1,-1,-1,1,0.01,2
1,-1,1,-1,0.01,2
1,1,-1,-1,0.01,2
1,-1,-1,-1,0.05,2
1,-1,-1,-1,0.1,2
1,1,1,-1,0.02,2
1,1,1,1,0.1,2
1,1,-1,1,0.1,2
1,1,1,-1,0.05,2
1,-1,1,1,0.02,2
1,-1,-1,1,0.1,2
1,-1,-1,-1,0.01,2
1,-1,1,1,0.02,2
1,1,1,-1,0.1,1
1,1,-1,1,0.05,1
1,-1,-1,-1,0.1,1
1,1,-1,-1,0.01,1
1,-1,1,-1,0.1,1
1,-1,1,-1,0.02,1
1,1,1,1,0.02,1
1,1,-1,1,0.02,1
1,-1,-1,-1,0.1,1
1,-1,-1,-1,0.02,1
1,1,1,1,0.02,1
1,-1,-1,-1,0.1,1
1,1,1,-1,0.1,2
1,-1,-1,1,0.02,2
1,-1,1,-1,0.01,2
1,1,1,1,0.05,2
1,1,1,-1,0.05,2
1,1,1,-1,0.01,2
1,-1,1,-1,0.05,2
1,-1,-1,-1,0.05,2
1,1,-1,-1,0.01,2
1,-1,1,-1,0.05,2
1,1,-1,-1,0.02,2
1,-1,1,1,0.02,2
1,1,-1,1,0.01,1
1,1,1,-1,0.05,1
1,-1,1,-1,0.1,1
1,1,1,1,0.1,1
1,1,-1,1,0.02,1
1,1,1,1,0.05,1
1,1,-1,1,0.05,1
1,-1,1,1,0.05,1
1,1,-1,1,0.02,1
1,1,1,-1,0.05,2
1,1,-1,-1,0.02,2
1,1,1,1,0.05,2
1,-1,1,-1,0.01,2
1,1,1,1,0.01,2
1,-1,-1,1,0.05,2
1,-1,1,-1,0.05,1
1,1,1,-1,0.02,1
1,1,-1,1,0.1,1
1,-1,1,-1,0.01,1
1,1,1,1,0.05,1
1,1,-1,-1,0.01,2
1,-1,1,-1,0.1,2
1,-1,1,1,0.05,1
1,1,-1,1,0.01,1
1,-1,1,1,0.1,2
1,-1,-1,1,0.01,2
1,-1,1,1,0.1,2
1,1,-1,-1,0.05,2
1,-1,1,-1,0.02,2
1,-1,1,1,0.05,2
1,-1,1,-1,0.05,2
1,-1,1,-1,0.1,2
1,-1,1,-1,0.01,1
1,-1,1,-1,0.05,1
1,1,1,1,0.02,1
1,-1,-1,1,0.01,1
1,1,-1,1,0.05,1
1,-1,1,-1,0.02,1
1,-1,-1,-1,0.1,1
1,-1,1,-1,0.1,1
1,-1,-1,-1,0.02,1
1,-1,1,-1,0.02,1
1,-1,1,-1,0.01,1
1,-1,-1,1,0.05,1
1,1,-1,1,0.1,1
1,-1,-1,-1,0.02,1
1,1,1,1,0.1,1
1,1,1,1,0.02,1
1,-1,-1,-1,0.02,1
1,1,1,1,0.05,1
1,1,1,1,0.02,1
1,-1,-1,-1,0.02,1
1,1,-1,1,0.05,1
1,-1,1,1,0.1,1
1,1,1,-1,0.01,1
1,1,-1,1,0.02,1
1,-1,1,-1,0.05,1
1,1,-1,1,0.1,2
1,1,1,-1,0.1,2
1,1,-1,-1,0.02,2
1,-1,1,-1,0.1,2
1,1,-1,1,0.1,2
1,-1,-1,-1,0.1,2
1,1,1,-1,0.02,2
1,-1,-1,1,0.01,2
1,-1,-1,1,0.01,2
1,-1,1,1,0.01,2
1,1,1,1,0.02,2
1,1,-1,-1,0.01,1
1,1,-1,-1,0.1,2
1,1,-1,-1,0.1,2
1,-1,1,-1,0.01,2
1,1,-1,1,0.1,2
1,-1,-1,1,0.1,2
1,1,-1,-1,0.02,2
1,1,1,-1,0.1,2
1,1,-1,-1,0.01,2
1,-1,-1,-1,0.1,2
1,-1,1,1,0.02,2
1,1,-1,-1,0.05,2
1,1,-1,-1,0.02,1
1,1,1,1,0.01,1
1,1,-1,1,0.05,1
1,1,-1,1,0.01,1
1,-1,1,-1,0.05,1
1,1,1,1,0.02,1
1,-1,1,1,0.01,1
1,1,1,-1,0.1,1
1,1,-1,1,0.01,1
1,1,-1,1,0.02,1
1,1,-1,1,0.01,1
1,-1,1,-1,0.1,1
1,-1,1,-1,0.05,1
1,1,1,1,0.01,1
1,1,-1,1,0.1,1
1,-1,1,-1,0.05,1
1,-1,1,-1,0.01,1
1,1,-1,-1,0.05,1
1,-1,1,-1,0.05,1
1,1,1,1,0.01,1
1,1,-1,-1,0.1,1
1,-1,-1,-1,0.05,1
1,1,-1,1,0.1,1
1,-1,-1,-1,0.01,1
1,-1,1,-1,0.02,2
1,1,-1,-1,0.1,2
1,-1,1,1,0.05,2
1,-1,1,-1,0.01,2
1,-1,-1,1,0.05,2
1,-1,-1,1,0.02,2
1,1,1,1,0.1,2
1,1,-1,-1,0.01,1
1,-1,1,-1,0.05,1
1,1,-1,-1,0.01,1
1,-1,-1,1,0.01,2
1,1,-1,1,0.01,2
1,-1,1,-1,0.05,2
1,-1,-1,-1,0.05,1
1,1,1,1,0.05,1
1,1,1,1,0.01,2
1,-1,1,1,0.1,2
1,-1,1,-1,0.02,2
1,-1,1,1,0.1,2
1,-1,1,-1,0.05,2
1,-1,-1,1,0.01,2
1,-1,1,-1,0.01,2
