,obs,resp,stimulus,previous,contrast,state
0,1,-1,-1,0,0.02,2
1,1,-1,-1,-1,0.01,2
2,1,1,1,-1,0.1,2
3,1,-1,-1,-1,0.01,2
4,1,1,-1,1,0.01,1
5,1,1,-1,1,0.1,2
6,1,1,1,1,0.01,2
7,1,-1,-1,-1,0.01,2
8,1,1,1,-1,0.1,2
9,1,1,-1,1,0.1,2
10,1,1,-1,1,0.05,2
11,1,1,-1,1,0.05,2
12,1,-1,-1,-1,0.1,1
13,1,1,1,-1,0.02,1
14,1,-1,-1,1,0.05,1
15,1,-1,-1,1,0.1,1
16,1,1,1,1,0.05,1
17,1,1,1,-1,0.1,1
18,1,-1,-1,-1,0.05,1
19,1,-1,1,-1,0.02,1
20,1,-1,1,-1,0.02,1
21,1,1,-1,1,0.02,1
22,1,-1,-1,1,0.05,1
23,1,-1,-1,1,0.1,1
24,1,1,1,1,0.01,1
25,1,1,1,-1,0.01,1
26,1,-1,-1,-1,0.05,1
27,1,-1,-1,1,0.1,2
28,1,1,1,1,0.1,2
29,1,-1,-1,-1,0.1,1
30,1,-1,-1,-1,0.01,1
31,1,1,-1,1,0.01,1
32,1,1,1,1,0.05,1
33,1,1,1,-1,0.05,1
34,1,-1,-1,-1,0.01,1
35,1,1,1,-1,0.02,1
36,1,1,-1,1,0.02,1
37,1,-1,-1,-1,0.02,1
38,1,1,1,-1,0.01,1
39,1,-1,-1,1,0.1,1
40,1,-1,-1,-1,0.1,1
41,1,1,1,-1,0.01,1
42,1,1,1,1,0.1,1
43,1,1,-1,1,0.01,1
44,1,-1,1,-1,0.01,1
45,1,1,1,1,0.05,1
46,1,1,1,-1,0.1,1
47,1,1,1,1,0.02,1
48,1,1,1,-1,0.05,1
49,1,1,1,-1,0.01,1
50,1,1,1,1,0.1,2
51,1,-1,-1,-1,0.02,2
52,1,-1,1,-1,0.02,2
53,1,1,-1,1,0.01,2
54,1,1,-1,1,0.01,2
55,1,-1,1,-1,0.05,2
56,1,1,-1,1,0.01,2
57,1,1,1,-1,0.01,1
58,1,1,-1,1,0.02,1
59,1,-1,-1,-1,0.02,1
60,1,1,-1,1,0.01,1
61,1,-1,1,-1,0.01,1
62,1,1,-1,-1,0.01,1
63,1,-1,-1,-1,0.05,1
64,1,-1,-1,-1,0.1,1
65,1,1,1,-1,0.02,1
66,1,1,1,1,0.1,1
67,1,-1,-1,1,0.1,1
68,1,1,1,-1,0.05,1
69,1,1,1,1,0.02,1
70,1,-1,-1,1,0.1,1
71,1,-1,-1,-1,0.01,1
72,1,1,1,1,0.02,1
73,1,1,1,-1,0.1,2
74,1,1,-1,1,0.05,2
75,1,-1,-1,-1,0.1,2
76,1,-1,-1,-1,0.01,2
77,1,1,1,-1,0.1,2
78,1,-1,1,-1,0.02,2
79,1,1,1,1,0.02,2
80,1,1,-1,1,0.02,2
81,1,-1,-1,-1,0.1,2
82,1,-1,-1,-1,0.02,2
83,1,1,1,1,0.02,2
84,1,-1,-1,-1,0.1,2
85,1,1,1,-1,0.1,1
86,1,1,-1,1,0.02,1
87,1,-1,1,-1,0.01,1
88,1,1,1,1,0.05,1
89,1,1,1,-1,0.05,1
90,1,1,1,-1,0.01,1
91,1,1,1,-1,0.05,1
92,1,-1,-1,-1,0.05,1
93,1,-1,-1,-1,0.01,1
94,1,1,1,-1,0.05,1
95,1,-1,-1,-1,0.02,1
96,1,1,1,1,0.02,1
97,1,1,-1,1,0.01,2
98,1,1,1,-1,0.05,2
99,1,1,1,-1,0.1,2
100,1,1,1,1,0.1,2
101,1,1,-1,1,0.02,2
102,1,1,1,1,0.05,2
103,1,1,-1,1,0.05,2
104,1,1,1,1,0.05,2
105,1,1,-1,1,0.02,2
106,1,1,1,-1,0.05,1
107,1,1,-1,-1,0.02,1
108,1,1,1,1,0.05,1
109,1,-1,1,-1,0.01,1
110,1,1,1,1,0.01,1
111,1,-1,-1,1,0.05,1
112,1,1,1,-1,0.05,2
113,1,-1,1,-1,0.02,2
114,1,1,-1,1,0.1,2
115,1,-1,1,-1,0.01,2
116,1,1,1,1,0.05,2
117,1,-1,-1,-1,0.01,1
118,1,1,1,-1,0.1,1
119,1,1,1,1,0.05,2
120,1,1,-1,1,0.01,2
121,1,1,1,1,0.1,1
122,1,1,-1,1,0.01,1
123,1,1,1,1,0.1,1
124,1,-1,-1,-1,0.05,1
125,1,-1,1,-1,0.02,1
126,1,1,1,1,0.05,1
127,1,1,1,-1,0.05,1
128,1,1,1,-1,0.1,1
129,1,-1,1,-1,0.01,2
130,1,-1,1,-1,0.05,2
131,1,1,1,1,0.02,2
132,1,1,-1,1,0.01,2
133,1,1,-1,1,0.05,2
134,1,-1,1,-1,0.02,2
135,1,-1,-1,-1,0.1,2
136,1,1,1,-1,0.1,2
137,1,-1,-1,-1,0.02,2
138,1,-1,1,-1,0.02,2
139,1,-1,1,-1,0.01,2
140,1,1,-1,1,0.05,2
141,1,1,-1,1,0.1,2
142,1,-1,-1,-1,0.02,2
143,1,1,1,1,0.1,2
144,1,1,1,1,0.02,2
145,1,-1,-1,-1,0.02,2
146,1,1,1,1,0.05,2
147,1,1,1,1,0.02,2
148,1,-1,-1,-1,0.02,2
149,1,1,-1,1,0.05,2
150,1,1,1,1,0.1,2
151,1,1,1,-1,0.01,2
152,1,1,-1,1,0.02,2
153,1,-1,1,-1,0.05,2
154,1,-1,-1,1,0.1,1
155,1,1,1,-1,0.1,1
156,1,-1,-1,-1,0.02,1
157,1,1,1,-1,0.1,1
158,1,-1,-1,1,0.1,1
159,1,-1,-1,-1,0.1,1
160,1,1,1,-1,0.02,1
161,1,1,-1,1,0.01,1
162,1,1,-1,1,0.01,1
163,1,1,1,1,0.01,1
164,1,1,1,1,0.02,1
165,1,1,-1,-1,0.01,2
166,1,-1,-1,-1,0.1,1
167,1,-1,-1,-1,0.1,1
168,1,-1,1,-1,0.01,1
169,1,1,-1,1,0.1,1
170,1,-1,-1,1,0.1,1
171,1,-1,-1,-1,0.02,1
172,1,1,1,-1,0.1,1
173,1,-1,-1,-1,0.01,1
174,1,-1,-1,-1,0.1,1
175,1,1,1,1,0.02,1
176,1,-1,-1,-1,0.05,1
177,1,-1,-1,-1,0.02,2
178,1,1,1,1,0.01,2
179,1,1,-1,1,0.05,2
180,1,1,-1,1,0.01,2
181,1,-1,1,-1,0.05,2
182,1,1,1,1,0.02,2
183,1,1,1,1,0.01,2
184,1,1,1,-1,0.1,2
185,1,1,-1,1,0.01,2
186,1,1,-1,1,0.02,2
187,1,1,-1,1,0.01,2
188,1,-1,1,-1,0.1,2
189,1,1,1,-1,0.05,2
190,1,1,1,1,0.01,2
191,1,1,-1,1,0.1,2
192,1,-1,1,-1,0.05,2
193,1,-1,1,-1,0.01,2
194,1,-1,-1,-1,0.05,2
195,1,-1,1,-1,0.05,2
196,1,1,1,1,0.01,2
197,1,-1,-1,-1,0.1,2
198,1,-1,-1,-1,0.05,2
199,1,1,-1,1,0.1,2
200,1,-1,-1,-1,0.01,2
201,1,1,1,-1,0.02,1
202,1,-1,-1,-1,0.1,1
203,1,1,1,1,0.05,1
204,1,-1,1,-1,0.01,1
205,1,-1,-1,1,0.05,1
206,1,1,-1,1,0.02,1
207,1,1,1,1,0.1,1
208,1,-1,-1,-1,0.01,2
209,1,-1,1,-1,0.05,2
210,1,1,-1,-1,0.01,2
211,1,1,-1,1,0.01,1
212,1,1,-1,1,0.01,1
213,1,1,1,-1,0.05,1
214,1,-1,-1,-1,0.05,2
215,1,1,1,1,0.05,2
216,1,1,1,1,0.01,1
217,1,1,1,1,0.1,1
218,1,1,1,-1,0.02,1
219,1,1,1,1,0.1,1
220,1,1,1,-1,0.05,1
221,1,1,-1,1,0.01,1
222,1,-1,1,-1,0.01,1
223,1,1,-1,1,0.05,1
224,1,-1,1,-1,0.01,1
225,1,1,1,1,0.02,1
226,1,-1,-1,-1,0.1,1
227,1,1,1,1,0.01,1
228,1,1,1,-1,0.01,1
229,1,-1,-1,-1,0.05,1
230,1,-1,-1,1,0.1,1
231,1,1,1,1,0.01,1
232,1,1,-1,1,0.05,1
233,1,1,1,1,0.01,1
234,1,-1,-1,-1,0.01,1
235,1,1,1,1,0.02,1
236,1,1,1,1,0.01,1
237,1,1,1,-1,0.01,1
238,1,1,-1,1,0.01,1
239,1,1,1,-1,0.1,1
240,1,-1,-1,-1,0.1,1
241,1,1,-1,1,0.01,1
242,1,1,1,1,0.1,1
243,1,1,1,1,0.1,1
244,1,-1,-1,-1,0.02,1
245,1,-1,-1,1,0.1,1
246,1,1,1,-1,0.1,1
247,1,-1,1,-1,0.01,2
248,1,1,1,-1,0.05,2
249,1,-1,-1,-1,0.1,2
250,1,-1,-1,-1,0.02,1
251,1,1,-1,1,0.01,1
252,1,1,-1,1,0.01,1
253,1,1,-1,-1,0.02,1
254,1,-1,-1,1,0.1,1
255,1,-1,-1,1,0.1,1
256,1,1,-1,1,0.01,1
257,1,1,1,1,0.1,1
258,1,-1,-1,-1,0.05,1
259,1,-1,-1,-1,0.02,1
260,1,1,1,-1,0.05,1
261,1,1,1,1,0.01,1
262,1,1,1,-1,0.02,1
263,1,-1,-1,-1,0.05,1
264,1,1,1,-1,0.05,1
265,1,-1,-1,1,0.02,1
266,1,-1,-1,-1,0.05,1
267,1,1,-1,1,0.05,1
268,1,1,1,1,0.01,1
269,1,-1,-1,-1,0.1,2
270,1,1,-1,1,0.01,2
271,1,-1,-1,-1,0.02,2
272,1,-1,-1,-1,0.1,2
273,1,1,1,1,0.02,2
274,1,1,-1,1,0.05,2
275,1,1,1,-1,0.05,2
276,1,-1,-1,-1,0.02,2
277,1,1,1,-1,0.05,2
278,1,-1,1,-1,0.02,2
279,1,1,-1,1,0.01,2
280,1,1,-1,1,0.05,2
281,1,1,1,-1,0.01,2
282,1,1,1,1,0.05,2
283,1,1,-1,1,0.02,1
284,1,1,1,-1,0.02,1
285,1,1,1,1,0.01,1
286,1,1,-1,1,0.05,1
287,1,1,-1,1,0.02,1
288,1,1,1,1,0.1,1
289,1,1,-1,1,0.05,1
290,1,-1,1,-1,0.02,2
291,1,-1,-1,-1,0.02,2
292,1,-1,-1,-1,0.02,2
293,1,1,-1,1,0.02,2
294,1,1,1,1,0.1,2
295,1,1,-1,1,0.01,2
296,1,-1,-1,1,0.1,2
297,1,-1,-1,1,0.05,1
298,1,-1,-1,-1,0.05,1
299,1,1,1,-1,0.02,1
300,1,1,1,1,0.02,1
301,1,1,-1,1,0.02,1
302,1,1,1,1,0.02,1
303,1,1,1,1,0.02,1
304,1,1,1,1,0.05,1
305,1,1,1,1,0.05,1
306,1,1,1,-1,0.01,1
307,1,-1,-1,1,0.1,1
308,1,1,-1,1,0.01,1
309,1,1,1,1,0.1,1
310,1,-1,-1,-1,0.01,1
311,1,1,1,1,0.1,1
312,1,-1,-1,1,0.05,1
313,1,-1,-1,-1,0.02,1
314,1,1,1,1,0.02,1
315,1,1,1,1,0.05,2
316,1,1,1,1,0.1,2
317,1,-1,-1,-1,0.02,2
318,1,-1,1,-1,0.02,2
319,1,1,1,1,0.1,2
320,1,1,1,-1,0.1,2
321,1,-1,1,-1,0.01,2
322,1,1,1,1,0.1,2
323,1,1,-1,1,0.05,2
324,1,-1,-1,-1,0.01,2
325,1,-1,-1,-1,0.02,2
326,1,-1,-1,-1,0.1,2
327,1,1,1,1,0.1,2
328,1,-1,-1,-1,0.1,2
329,1,1,-1,1,0.1,2
330,1,-1,-1,-1,0.01,2
331,1,1,1,1,0.1,2
332,1,1,1,-1,0.05,2
333,1,1,-1,1,0.05,2
334,1,-1,-1,-1,0.02,2
335,1,1,1,-1,0.05,2
336,1,1,-1,1,0.1,2
337,1,1,-1,1,0.05,2
338,1,1,1,-1,0.1,2
339,1,1,1,1,0.02,2
340,1,-1,-1,-1,0.01,2
341,1,1,1,1,0.1,2
342,1,-1,-1,1,0.02,1
343,1,1,-1,1,0.02,1
344,1,1,1,-1,0.05,1
345,1,1,1,1,0.05,1
346,1,-1,-1,-1,0.1,1
347,1,1,1,1,0.05,1
348,1,1,1,1,0.1,1
349,1,1,1,1,0.02,1
350,1,-1,-1,-1,0.1,1
351,1,1,-1,1,0.01,1
352,1,1,1,-1,0.1,1
353,1,1,1,1,0.01,1
354,1,-1,-1,-1,0.02,1
355,1,-1,-1,1,0.1,1
356,1,1,1,1,0.02,1
357,1,1,-1,-1,0.01,1
358,1,-1,-1,1,0.1,1
359,1,1,1,1,0.01,1
360,1,-1,1,-1,0.02,2
361,1,-1,1,-1,0.01,2
362,1,1,1,-1,0.1,2
363,1,-1,-1,-1,0.05,2
364,1,1,1,-1,0.1,2
365,1,1,-1,1,0.01,2
366,1,-1,-1,-1,0.02,2
367,1,1,-1,1,0.1,2
368,1,-1,-1,-1,0.1,2
369,1,-1,-1,-1,0.01,2
370,1,1,-1,1,0.01,2
371,1,-1,1,-1,0.01,1
372,1,1,-1,1,0.1,2
373,1,-1,1,-1,0.01,2
374,1,1,-1,1,0.02,1
375,1,1,1,-1,0.05,1
376,1,1,1,-1,0.1,1
377,1,1,1,-1,0.05,2
378,1,-1,-1,-1,0.05,2
379,1,-1,-1,-1,0.1,2
380,1,1,-1,1,0.01,2
381,1,-1,-1,-1,0.05,2
382,1,1,1,1,0.01,2
383,1,1,1,-1,0.05,1
384,1,1,1,1,0.02,1
385,1,1,-1,1,0.01,1
386,1,-1,-1,1,0.05,1
387,1,-1,-1,1,0.1,1
388,1,-1,-1,-1,0.1,1
389,1,-1,-1,-1,0.02,1
390,1,-1,-1,-1,0.02,1
391,1,-1,-1,1,0.1,1
392,1,1,1,-1,0.1,1
393,1,-1,-1,-1,0.02,1
394,1,1,1,1,0.1,1
395,1,-1,-1,-1,0.05,1
396,1,1,1,1,0.1,1
397,1,1,1,-1,0.01,1
398,1,1,1,1,0.05,1
399,1,1,1,1,0.01,1
400,1,1,1,1,0.1,1
401,1,-1,-1,1,0.1,1
402,1,-1,-1,-1,0.1,1
403,1,1,1,-1,0.05,1
404,1,1,-1,1,0.01,1
405,1,1,1,-1,0.1,1
406,1,1,1,1,0.05,2
407,1,-1,-1,1,0.1,1
408,1,-1,-1,-1,0.05,1
409,1,-1,-1,-1,0.05,1
410,1,1,1,1,0.02,1
411,1,-1,-1,-1,0.1,2
412,1,1,1,-1,0.1,2
413,1,-1,-1,-1,0.05,2
414,1,1,1,-1,0.1,2
415,1,1,1,-1,0.1,2
416,1,1,-1,1,0.05,2
417,1,-1,-1,-1,0.05,2
418,1,1,1,1,0.01,2
419,1,-1,1,-1,0.01,2
420,1,-1,-1,-1,0.05,2
421,1,1,-1,1,0.1,2
422,1,-1,-1,-1,0.1,2
423,1,-1,-1,-1,0.02,2
424,1,1,1,-1,0.05,2
425,1,1,1,1,0.1,2
426,1,1,1,1,0.02,1
427,1,1,1,-1,0.01,1
428,1,1,1,-1,0.1,1
429,1,-1,-1,-1,0.01,1
430,1,1,1,-1,0.1,1
431,1,1,1,1,0.1,1
432,1,-1,-1,-1,0.02,1
433,1,1,1,1,0.01,1
434,1,1,-1,1,0.01,1
435,1,1,1,-1,0.02,1
436,1,-1,-1,-1,0.01,1
437,1,-1,-1,1,0.05,1
438,1,-1,-1,-1,0.1,1
439,1,1,1,-1,0.1,2
440,1,-1,1,-1,0.02,2
441,1,-1,-1,-1,0.01,1
442,1,1,1,-1,0.05,1
443,1,1,-1,1,0.05,1
444,1,-1,-1,1,0.05,1
445,1,1,-1,1,0.02,2
446,1,1,-1,1,0.01,2
447,1,-1,1,-1,0.05,2
448,1,-1,-1,-1,0.1,2
449,1,1,-1,1,0.01,2
450,1,1,1,-1,0.02,1
451,1,-1,-1,-1,0.1,1
452,1,1,-1,1,0.01,1
453,1,-1,-1,-1,0.1,1
454,1,-1,-1,-1,0.02,2
455,1,1,1,1,0.05,2
456,1,1,1,-1,0.05,1
457,1,1,1,1,0.1,1
458,1,1,1,1,0.01,1
459,1,-1,-1,-1,0.1,1
460,1,-1,-1,-1,0.1,1
461,1,-1,-1,-1,0.05,1
462,1,1,1,1,0.1,1
463,1,-1,1,-1,0.01,1
464,1,-1,-1,-1,0.1,1
465,1,-1,-1,-1,0.02,1
466,1,1,1,-1,0.02,1
467,1,1,1,-1,0.1,1
468,1,1,-1,1,0.01,1
469,1,1,1,-1,0.01,1
470,1,1,1,-1,0.1,2
471,1,1,1,1,0.01,1
472,1,1,1,1,0.05,2
473,1,1,1,1,0.05,2
474,1,1,1,1,0.01,2
475,1,-1,-1,-1,0.01,1
476,1,1,-1,1,0.01,1
477,1,-1,-1,1,0.1,1
478,1,1,-1,1,0.02,2
479,1,1,1,1,0.1,2
480,1,-1,1,-1,0.05,2
481,1,1,-1,1,0.02,2
482,1,1,1,1,0.02,2
483,1,1,-1,1,0.01,2
484,1,-1,1,-1,0.02,2
485,1,-1,1,-1,0.05,2
486,1,-1,-1,-1,0.02,1
487,1,-1,-1,1,0.1,1
488,1,-1,-1,-1,0.05,1
489,1,-1,-1,-1,0.01,1
490,1,-1,-1,-1,0.02,1
491,1,-1,-1,-1,0.05,1
492,1,-1,-1,-1,0.01,1
493,1,1,1,1,0.02,1
494,1,-1,-1,-1,0.01,2
495,1,1,-1,1,0.05,2
496,1,-1,-1,-1,0.05,1
497,1,1,1,-1,0.02,1
498,1,1,1,1,0.02,1
499,1,-1,-1,-1,0.1,1
500,2,-1,-1,0,0.05,1
501,2,-1,1,-1,0.02,2
502,2,1,1,1,0.05,2
503,2,-1,-1,-1,0.02,2
504,2,1,-1,1,0.05,2
505,2,1,1,-1,0.02,1
506,2,1,1,-1,0.1,1
507,2,-1,-1,-1,0.1,1
508,2,1,-1,1,0.02,1
509,2,-1,-1,-1,0.02,1
510,2,-1,-1,-1,0.02,1
511,2,1,-1,1,0.01,1
512,2,1,-1,1,0.02,1
513,2,1,-1,1,0.01,1
514,2,1,1,1,0.1,1
515,2,-1,-1,-1,0.02,1
516,2,-1,1,-1,0.01,1
517,2,1,1,-1,0.1,1
518,2,1,1,1,0.02,1
519,2,1,1,-1,0.02,1
520,2,-1,-1,-1,0.05,1
521,2,-1,-1,-1,0.1,2
522,2,1,-1,1,0.01,2
523,2,-1,1,-1,0.05,2
524,2,1,1,1,0.1,2
525,2,1,1,1,0.01,2
526,2,1,1,-1,0.05,2
527,2,-1,-1,-1,0.01,2
528,2,-1,-1,-1,0.05,2
529,2,1,1,1,0.05,1
530,2,1,1,-1,0.05,1
531,2,1,1,-1,0.1,1
532,2,1,1,-1,0.1,1
533,2,-1,-1,-1,0.01,1
534,2,1,-1,1,0.01,1
535,2,1,1,1,0.02,1
536,2,-1,-1,-1,0.02,1
537,2,-1,-1,-1,0.01,1
538,2,-1,-1,1,0.05,1
539,2,1,-1,1,0.05,1
540,2,1,1,-1,0.05,1
541,2,1,1,-1,0.05,1
542,2,1,-1,1,0.02,1
543,2,1,-1,-1,0.01,1
544,2,-1,1,-1,0.02,1
545,2,1,1,-1,0.02,1
546,2,1,1,1,0.01,1
547,2,1,-1,1,0.01,1
548,2,-1,-1,1,0.05,1
549,2,-1,1,-1,0.1,2
550,2,1,1,-1,0.05,2
551,2,1,1,-1,0.05,2
552,2,1,1,-1,0.1,2
553,2,-1,-1,1,0.1,1
554,2,1,1,1,0.02,1
555,2,-1,-1,-1,0.01,2
556,2,1,1,-1,0.05,2
557,2,-1,-1,-1,0.1,1
558,2,1,1,1,0.01,1
559,2,1,1,-1,0.02,1
560,2,-1,-1,-1,0.05,1
561,2,1,1,1,0.02,1
562,2,-1,-1,-1,0.02,2
563,2,-1,1,-1,0.05,2
564,2,-1,1,-1,0.02,2
565,2,1,-1,1,0.01,2
566,2,-1,1,-1,0.05,2
567,2,1,1,1,0.05,1
568,2,1,1,-1,0.1,1
569,2,1,-1,-1,0.01,1
570,2,1,1,-1,0.01,1
571,2,-1,-1,-1,0.1,1
572,2,-1,-1,-1,0.05,1
573,2,1,1,1,0.02,1
574,2,1,-1,1,0.01,1
575,2,1,1,-1,0.1,2
576,2,1,1,-1,0.02,2
577,2,1,-1,1,0.01,2
578,2,-1,1,-1,0.01,2
579,2,1,-1,-1,0.01,2
580,2,1,1,1,0.05,2
581,2,1,1,1,0.05,2
582,2,-1,1,-1,0.01,2
583,2,1,1,1,0.05,2
584,2,-1,-1,-1,0.01,2
585,2,1,-1,-1,0.01,2
586,2,1,1,-1,0.1,2
587,2,1,1,-1,0.1,2
588,2,-1,1,-1,0.01,2
589,2,1,1,1,0.05,2
590,2,1,1,1,0.02,2
591,2,-1,-1,-1,0.1,2
592,2,1,-1,1,0.05,2
593,2,-1,1,-1,0.02,2
594,2,1,1,-1,0.1,2
595,2,-1,-1,-1,0.05,2
596,2,1,1,1,0.01,2
597,2,1,1,-1,0.01,2
598,2,1,1,-1,0.02,2
599,2,1,-1,1,0.05,2
600,2,-1,-1,-1,0.02,2
601,2,-1,-1,-1,0.05,2
602,2,-1,1,-1,0.05,2
603,2,1,-1,1,0.05,2
604,2,-1,1,-1,0.05,2
605,2,-1,-1,-1,0.01,2
606,2,-1,-1,-1,0.01,2
607,2,-1,-1,-1,0.1,2
608,2,-1,1,-1,0.01,2
609,2,-1,-1,-1,0.1,2
610,2,1,1,-1,0.1,1
611,2,1,1,1,0.05,1
612,2,1,1,-1,0.1,1
613,2,-1,-1,-1,0.02,1
614,2,-1,-1,-1,0.1,1
615,2,1,1,-1,0.05,1
616,2,1,1,-1,0.1,1
617,2,1,1,1,0.05,1
618,2,-1,-1,-1,0.02,1
619,2,-1,-1,-1,0.05,1
620,2,1,1,-1,0.05,1
621,2,-1,-1,-1,0.1,1
622,2,1,1,-1,0.05,1
623,2,1,1,1,0.02,1
624,2,1,1,-1,0.02,1
625,2,1,-1,1,0.05,2
626,2,1,1,1,0.05,2
627,2,1,1,1,0.1,2
628,2,1,1,1,0.01,1
629,2,-1,-1,-1,0.05,1
630,2,1,1,1,0.05,2
631,2,1,1,1,0.05,2
632,2,-1,-1,-1,0.01,2
633,2,1,-1,1,0.01,2
634,2,1,-1,1,0.01,2
635,2,1,1,-1,0.1,2
636,2,1,-1,1,0.05,2
637,2,1,-1,1,0.02,2
638,2,1,1,1,0.02,1
639,2,-1,-1,-1,0.05,1
640,2,-1,-1,-1,0.05,1
641,2,-1,-1,-1,0.05,1
642,2,1,1,-1,0.1,2
643,2,-1,1,-1,0.05,2
644,2,1,-1,1,0.02,2
645,2,-1,-1,-1,0.01,2
646,2,1,1,1,0.1,2
647,2,1,1,1,0.02,2
648,2,1,-1,1,0.01,2
649,2,-1,-1,-1,0.01,2
650,2,-1,1,-1,0.05,2
651,2,-1,-1,-1,0.02,2
652,2,1,1,-1,0.05,1
653,2,1,1,-1,0.05,1
654,2,1,-1,1,0.02,1
655,2,-1,-1,-1,0.02,1
656,2,-1,-1,-1,0.05,2
657,2,1,1,1,0.05,2
658,2,1,1,-1,0.02,2
659,2,1,1,1,0.05,2
660,2,1,1,1,0.01,2
661,2,-1,1,-1,0.02,2
662,2,1,1,1,0.05,2
663,2,1,-1,1,0.05,2
664,2,-1,1,-1,0.02,2
665,2,-1,1,-1,0.01,2
666,2,1,-1,1,0.01,2
667,2,-1,-1,-1,0.05,2
668,2,-1,-1,1,0.05,1
669,2,1,1,1,0.01,1
670,2,1,1,-1,0.05,1
671,2,-1,1,-1,0.01,1
672,2,1,1,1,0.05,1
673,2,1,1,-1,0.05,1
674,2,1,1,-1,0.02,1
675,2,-1,-1,-1,0.01,1
676,2,1,1,-1,0.1,1
677,2,1,1,-1,0.01,1
678,2,-1,-1,-1,0.02,1
679,2,-1,-1,-1,0.01,1
680,2,-1,-1,-1,0.01,1
681,2,1,1,-1,0.02,1
682,2,-1,-1,1,0.05,1
683,2,1,-1,1,0.02,1
684,2,1,1,-1,0.1,1
685,2,1,1,1,0.1,1
686,2,1,1,-1,0.1,1
687,2,-1,-1,-1,0.1,1
688,2,1,1,-1,0.02,1
689,2,1,-1,1,0.02,1
690,2,1,1,1,0.02,1
