,obs,resp,stimulus,previous,contrast,state
0,1,1,1,0,1.25,1
1,1,1,1,1,1.25,1
2,1,-1,-1,1,1.5,1
3,1,1,1,-1,0.75,1
4,1,1,1,1,0.75,1
5,1,1,-1,1,0.5,1
6,1,-1,-1,-1,1.5,1
7,1,1,1,-1,1.25,1
8,1,1,1,1,0.75,1
9,1,1,1,1,1.25,1
10,1,-1,-1,-1,1.25,1
11,1,1,1,-1,1.25,1
12,1,1,1,-1,1.25,1
13,1,1,-1,1,1.25,1
14,1,1,1,1,1.25,1
15,1,-1,-1,1,1.5,1
16,1,1,-1,1,0.5,2
17,1,-1,1,-1,0.5,2
18,1,1,1,1,0.5,2
19,1,1,1,1,0.5,2
20,1,-1,1,-1,0.75,2
21,1,1,-1,1,0.75,2
22,1,1,1,-1,0.75,1
23,1,1,1,1,1.5,1
24,1,1,1,-1,1.25,1
25,1,1,1,-1,1.5,1
26,1,1,1,-1,1.5,1
27,1,-1,-1,1,1.5,1
28,1,1,1,-1,0.5,1
29,1,-1,-1,-1,0.5,2
30,1,1,1,-1,1.25,2
31,1,1,-1,1,0.5,2
32,1,-1,-1,-1,1.25,2
33,1,1,-1,1,1.25,2
34,1,1,-1,1,1.5,2
35,1,1,1,-1,0.75,2
36,1,-1,1,-1,0.75,2
37,1,-1,-1,-1,1.25,2
38,1,1,1,-1,1.25,2
39,1,-1,-1,-1,1.25,2
40,1,-1,-1,-1,0.75,2
41,1,-1,-1,-1,0.5,2
42,1,1,1,1,1.25,2
43,1,1,1,1,0.75,2
44,1,-1,-1,-1,0.5,2
45,1,-1,-1,1,1.5,1
46,1,1,-1,1,0.5,1
47,1,1,1,-1,0.75,1
48,1,1,1,-1,1.25,1
49,1,1,1,-1,0.75,1
50,1,-1,-1,-1,1.25,1
51,1,1,1,-1,0.75,1
52,1,1,1,1,1.25,1
53,1,-1,-1,1,1.25,1
54,1,-1,-1,-1,0.75,1
55,1,-1,-1,-1,0.5,1
56,1,1,1,-1,0.75,1
57,1,1,-1,1,0.75,1
58,1,1,1,-1,0.75,1
59,1,1,-1,1,0.5,2
60,1,1,1,1,1.5,2
61,1,1,-1,1,0.75,2
62,1,1,1,-1,1.5,2
63,1,-1,1,-1,0.75,2
64,1,-1,1,-1,1.5,2
65,1,-1,1,-1,0.75,2
66,1,1,1,-1,1.5,2
67,1,-1,-1,-1,1.5,2
68,1,1,-1,1,0.75,2
69,1,1,-1,1,0.5,1
70,1,1,1,1,1.5,1
71,1,-1,-1,-1,1.5,1
72,1,1,1,1,0.75,2
73,1,-1,-1,-1,1.25,2
74,1,-1,1,-1,0.75,2
75,1,-1,-1,-1,1.5,2
76,1,-1,-1,-1,1.5,2
77,1,1,-1,1,0.5,2
78,1,1,1,1,1.5,2
79,1,-1,-1,-1,1.5,2
80,1,1,-1,1,1.25,2
81,1,1,1,1,1.5,2
82,1,1,1,-1,1.25,2
83,1,1,1,1,0.5,2
84,1,1,1,-1,0.5,1
85,1,-1,-1,-1,0.75,1
86,1,1,1,-1,1.25,1
87,1,1,1,-1,1.5,1
88,1,-1,-1,1,1.5,1
89,1,1,1,-1,0.75,1
90,1,-1,-1,-1,1.25,2
91,1,-1,-1,-1,0.5,1
92,1,-1,1,-1,0.5,1
93,1,1,1,1,0.5,1
94,1,1,1,1,1.25,1
95,1,1,-1,1,0.75,1
96,1,1,1,1,0.5,1
97,1,-1,-1,-1,0.75,1
98,1,1,-1,-1,0.5,1
99,1,-1,-1,-1,0.5,1
100,1,-1,-1,1,1.5,1
101,1,1,1,1,1.25,1
102,1,-1,-1,1,1.5,1
103,1,1,1,1,1.25,1
104,1,-1,-1,-1,1.25,1
105,1,1,1,1,1.5,1
106,1,-1,-1,-1,1.5,1
107,1,1,1,-1,1.5,1
108,1,1,1,-1,0.5,1
109,1,1,1,-1,1.5,1
110,1,-1,-1,-1,1.25,1
111,1,-1,-1,1,1.5,1
112,1,-1,-1,1,1.25,1
113,1,1,1,1,0.75,1
114,1,1,-1,1,1.5,1
115,1,1,1,-1,0.5,1
116,1,1,1,1,0.75,1
117,1,1,1,-1,1.5,1
118,1,-1,-1,-1,1.25,1
119,1,-1,-1,1,1.5,1
120,1,-1,-1,1,1.25,1
121,1,1,1,1,1.25,1
122,1,1,-1,1,0.5,1
123,1,1,1,1,1.25,1
124,1,-1,1,-1,0.5,2
125,1,1,1,1,1.25,2
126,1,-1,-1,-1,1.25,1
127,1,-1,-1,1,1.25,1
128,1,-1,-1,-1,1.5,1
129,1,1,1,1,1.5,1
130,1,-1,-1,-1,1.5,1
131,1,1,1,1,1.25,1
132,1,-1,-1,1,1.5,1
133,1,-1,-1,1,1.25,1
134,1,1,-1,1,0.5,1
135,1,-1,-1,-1,0.5,1
136,1,1,1,-1,1.5,1
137,1,1,1,1,0.75,1
138,1,1,1,-1,1.5,1
139,1,1,-1,1,0.5,1
140,1,1,1,-1,1.25,1
141,1,1,1,-1,1.25,1
142,1,1,-1,1,0.5,1
143,1,1,1,-1,1.25,1
144,1,-1,-1,-1,0.75,1
145,1,-1,-1,-1,0.5,1
146,1,-1,-1,-1,0.75,1
147,1,-1,-1,-1,0.5,1
148,1,1,-1,1,0.5,1
149,1,-1,-1,-1,0.5,2
150,1,1,-1,1,0.5,2
151,1,-1,-1,-1,0.5,2
152,1,-1,1,-1,0.5,2
153,1,-1,1,-1,1.25,2
154,1,-1,-1,-1,0.75,2
155,1,-1,-1,-1,1.25,1
156,1,-1,-1,-1,1.25,1
157,1,1,1,-1,0.75,1
158,1,-1,-1,-1,1.25,1
159,1,-1,-1,-1,0.75,1
160,1,1,1,-1,0.5,1
161,1,-1,-1,-1,0.75,1
162,1,-1,-1,-1,1.5,1
163,1,-1,-1,-1,1.5,1
164,1,1,-1,1,0.75,1
165,1,1,-1,1,0.5,1
166,1,1,1,1,1.25,1
167,1,1,1,1,1.25,1
168,1,1,1,1,0.75,1
169,1,-1,-1,-1,0.5,1
170,1,-1,-1,1,1.5,1
171,1,1,-1,1,0.5,1
172,1,1,1,1,0.5,2
173,1,1,-1,1,0.5,2
174,1,1,-1,1,0.5,2
175,1,1,-1,1,1.25,2
176,1,1,1,-1,1.25,2
177,1,-1,1,-1,0.5,2
178,1,1,1,1,1.5,1
179,1,-1,-1,-1,1.25,1
180,1,1,1,1,1.25,1
181,1,1,-1,1,0.5,1
182,1,1,1,1,1.5,1
183,1,-1,-1,1,1.5,1
184,1,1,1,-1,1.5,1
185,1,-1,-1,-1,1.5,1
186,1,-1,-1,-1,1.5,1
